,season,player,team,games_played,minutes_per_game,Number of Games,percentage of games missed,height,weight,player_salary,number of games missed
1517,00-01,Todd MacCulloch,PHI,63,9.5,82,23.2,7-0,280,0,19
1518,01-02,Todd MacCulloch,BRK,62,24.2,82,24.4,7-0,280,4,20
1519,02-03,Todd MacCulloch,PHI,42,19.4,82,48.8,7-0,280,4,40
1520,00-01,Vonteego Cummings,GSW,66,22.7,82,19.5,6-3,185,0,16
1521,01-02,Vonteego Cummings,PHI,58,8.6,82,29.3,6-3,185,0,24
1522,00-01,Voshon Lenard,DEN,80,29.1,82,2.4,6-4,200,3,2
1523,01-02,Voshon Lenard,DEN,71,23.5,82,13.4,6-4,200,4,11
1524,02-03,Voshon Lenard,TOR,63,30.6,82,23.2,6-4,200,0,19
1525,03-04,Voshon Lenard,DEN,73,30.6,82,11.0,6-4,200,1,9
1526,00-01,Wally Szczerbiak,MIN,82,34.8,82,0.0,6-7,244,2,0
1527,01-02,Wally Szczerbiak,MIN,82,38.0,82,0.0,6-7,244,2,0
1528,02-03,Wally Szczerbiak,MIN,52,35.3,82,36.6,6-7,244,2,30
1529,03-04,Wally Szczerbiak,MIN,28,22.2,82,65.9,6-7,244,8,54
1530,04-05,Wally Szczerbiak,MIN,81,31.6,82,1.2,6-7,244,9,1
1531,05-06,Wally Szczerbiak,BOS,72,37.9,82,12.2,6-7,244,10,10
1532,06-07,Wally Szczerbiak,BOS,32,28.1,82,61.0,6-7,244,11,50
1533,07-08,Wally Szczerbiak,CLE,75,23.2,82,8.5,6-7,244,12,7
1534,08-09,Wally Szczerbiak,CLE,74,20.6,82,9.8,6-7,244,13,8
1535,00-01,Calvin Booth,DAL,55,17.0,82,32.9,6-11,230,0,27
1536,02-03,Calvin Booth,OKC,47,12.2,82,42.7,6-11,230,4,35
1537,03-04,Calvin Booth,OKC,71,17.0,82,13.4,6-11,230,5,11
1538,00-01,Chris Mihm,CLE,59,19.8,82,28.0,7-0,265,1,23
1539,01-02,Chris Mihm,CLE,74,22.4,82,9.8,7-0,265,2,8
1540,02-03,Chris Mihm,CLE,52,15.6,82,36.6,7-0,265,2,30
1541,03-04,Chris Mihm,BOS,76,17.5,82,7.3,7-0,265,2,6
1542,04-05,Chris Mihm,LAL,75,24.9,82,8.5,7-0,265,3,7
1543,05-06,Chris Mihm,LAL,59,26.1,82,28.0,7-0,265,3,23
1544,00-01,Chris Porter,GSW,51,22.5,82,37.8,6-7,218,0,31
1545,00-01,Courtney Alexander,WAS,65,21.3,82,20.7,6-5,205,1,17
1546,01-02,Courtney Alexander,WAS,56,23.7,82,31.7,6-5,205,1,26
1547,02-03,Courtney Alexander,NOP,66,20.6,82,19.5,6-5,205,1,16
1548,00-01,Daniel Santiago,PHX,54,10.8,82,34.1,7-1,256,0,28
1549,03-04,Daniel Santiago,MIL,54,13.1,82,34.1,7-1,256,1,28
1550,00-01,Darius Miles,LAC,81,26.3,82,1.2,6-9,210,2,1
1551,01-02,Darius Miles,LAC,82,27.2,82,0.0,6-9,210,3,0
1552,02-03,Darius Miles,CLE,67,30.0,82,18.3,6-9,210,3,15
1553,03-04,Darius Miles,POR,79,26.3,82,3.7,6-9,210,4,3
1554,04-05,Darius Miles,POR,63,27.0,82,23.2,6-9,210,6,19
1555,05-06,Darius Miles,POR,40,32.1,82,51.2,6-9,210,7,42
1556,00-01,DerMarr Johnson,ATL,78,16.8,82,4.9,6-9,201,2,4
1557,01-02,DerMarr Johnson,ATL,72,24.0,82,12.2,6-9,201,2,10
1558,04-05,DerMarr Johnson,DEN,71,17.4,82,13.4,6-9,201,0,11
1559,05-06,DerMarr Johnson,DEN,58,15.9,82,29.3,6-9,201,0,24
1560,00-01,Desmond Mason,OKC,78,19.5,82,4.9,6-7,224,1,4
1561,01-02,Desmond Mason,OKC,75,32.3,82,8.5,6-7,224,1,7
1562,02-03,Desmond Mason,MIL,80,34.5,82,2.4,6-7,224,1,2
1563,03-04,Desmond Mason,MIL,82,30.9,82,0.0,6-7,224,1,0
1564,04-05,Desmond Mason,MIL,80,36.2,82,2.4,6-7,224,6,2
1565,05-06,Desmond Mason,NOP,70,30.0,82,14.6,6-7,224,7,12
1566,06-07,Desmond Mason,NOP,75,34.3,82,8.5,6-7,224,8,7
1567,07-08,Desmond Mason,MIL,59,28.8,82,28.0,6-7,224,5,23
1568,08-09,Desmond Mason,OKC,39,27.3,82,52.4,6-7,224,5,43
1569,00-01,Devean George,LAL,59,10.1,82,28.0,6-8,220,0,23
1570,01-02,Devean George,LAL,82,21.5,82,0.0,6-8,220,0,0
1571,02-03,Devean George,LAL,71,22.7,82,13.4,6-8,220,4,11
1572,03-04,Devean George,LAL,82,23.8,82,0.0,6-8,220,4,0
1573,05-06,Devean George,LAL,71,21.7,82,13.4,6-8,220,5,11
1574,06-07,Devean George,DAL,60,21.4,82,26.8,6-8,220,1,22
1575,07-08,Devean George,DAL,53,15.5,82,35.4,6-8,220,2,29
1576,08-09,Devean George,DAL,43,16.5,82,47.6,6-8,220,1,39
1577,09-10,Devean George,GSW,45,16.9,82,45.1,6-8,220,1,37
1578,00-01,Dion Glover,ATL,57,16.3,82,30.5,6-5,228,0,25
1579,01-02,Dion Glover,ATL,55,21.0,82,32.9,6-5,228,1,27
1580,02-03,Dion Glover,ATL,76,24.9,82,7.3,6-5,228,1,6
1581,03-04,Dion Glover,TOR,69,23.8,82,15.9,6-5,228,1,13
1582,00-01,Dragan Tarlac,CHI,43,13.9,82,47.6,6-10,260,2,39
1583,00-01,Eddie House,MIA,50,11.0,82,39.0,6-1,180,0,32
1584,01-02,Eddie House,MIA,64,19.2,82,22.0,6-1,180,0,18
1585,02-03,Eddie House,MIA,55,18.6,82,32.9,6-1,180,0,27
1586,03-04,Eddie House,LAC,60,19.8,82,26.8,6-1,180,0,22
1587,04-05,Eddie House,SAC,68,13.1,82,17.1,6-1,180,1,14
1588,05-06,Eddie House,PHX,81,17.5,82,1.2,6-1,180,0,1
1589,06-07,Eddie House,BRK,56,16.9,82,31.7,6-1,180,1,26
1590,07-08,Eddie House,BOS,78,19.0,82,4.9,6-1,180,1,4
1591,08-09,Eddie House,BOS,81,18.3,82,1.2,6-1,180,2,1
1592,09-10,Eddie House,NYK,68,17.9,82,17.1,6-1,180,2,14
1593,10-11,Eddie House,MIA,56,17.5,82,31.7,6-1,180,1,26
1594,00-01,Eduardo Najera,DAL,40,10.8,82,51.2,6-8,240,0,42
1595,01-02,Eduardo Najera,DAL,62,21.9,82,24.4,6-8,240,0,20
1596,02-03,Eduardo Najera,DAL,48,23.0,82,41.5,6-8,240,3,34
1597,03-04,Eduardo Najera,DAL,58,12.4,82,29.3,6-8,240,3,24
1598,04-05,Eduardo Najera,DEN,68,17.4,82,17.1,6-8,240,3,14
1599,05-06,Eduardo Najera,DEN,64,22.6,82,22.0,6-8,240,4,18
1600,06-07,Eduardo Najera,DEN,75,22.1,82,8.5,6-8,240,4,7
1601,07-08,Eduardo Najera,DEN,78,21.3,82,4.9,6-8,240,4,4
1602,09-10,Eduardo Najera,DAL,46,14.9,82,43.9,6-8,240,3,36
1603,00-01,Evan Eschmeyer,BRK,74,18.0,82,9.8,6-11,255,0,8
1604,00-01,Hanno Mottola,ATL,73,13.5,82,11.0,6-11,249,0,9
1605,01-02,Hanno Mottola,ATL,82,16.7,82,0.0,6-11,249,0,0
1606,00-01,Jamaal Magloire,CHA,74,14.8,82,9.8,6-11,259,0,8
1607,01-02,Jamaal Magloire,CHA,82,18.9,82,0.0,6-11,259,1,0
1608,02-03,Jamaal Magloire,NOP,82,29.8,82,0.0,6-11,259,1,0
1609,03-04,Jamaal Magloire,NOP,82,33.9,82,0.0,6-11,259,1,0
1610,04-05,Jamaal Magloire,NOP,23,30.6,82,72.0,6-11,259,8,59
1611,05-06,Jamaal Magloire,MIL,82,30.0,82,0.0,6-11,259,8,0
1612,06-07,Jamaal Magloire,POR,81,21.0,82,1.2,6-11,259,8,1
1613,08-09,Jamaal Magloire,MIA,55,12.9,82,32.9,6-11,259,1,27
1614,00-01,Jamal Crawford,CHI,61,17.2,82,25.6,6-5,185,1,21
1615,02-03,Jamal Crawford,CHI,80,24.9,82,2.4,6-5,185,2,2
1616,03-04,Jamal Crawford,CHI,80,35.1,82,2.4,6-5,185,2,2
1617,04-05,Jamal Crawford,NYK,70,38.4,82,14.6,6-5,185,5,12
1618,05-06,Jamal Crawford,NYK,79,32.3,82,3.7,6-5,185,6,3
1619,06-07,Jamal Crawford,NYK,59,37.3,82,28.0,6-5,185,7,23
1620,07-08,Jamal Crawford,NYK,80,39.9,82,2.4,6-5,185,7,2
1621,08-09,Jamal Crawford,GSW,65,38.1,82,20.7,6-5,185,8,17
1622,09-10,Jamal Crawford,ATL,79,31.1,82,3.7,6-5,185,9,3
1623,10-11,Jamal Crawford,ATL,76,30.2,82,7.3,6-5,185,10,6
1624,11-12,Jamal Crawford,POR,60,26.9,66,9.1,6-5,185,5,6
1625,12-13,Jamal Crawford,LAC,76,29.3,82,7.3,6-5,185,5,6
1626,13-14,Jamal Crawford,LAC,69,30.4,82,15.9,6-5,185,5,13
1627,14-15,Jamal Crawford,LAC,64,26.6,82,22.0,6-5,185,5,18
1628,15-16,Jamal Crawford,LAC,79,26.9,82,3.7,6-5,185,5,3
1629,16-17,Jamal Crawford,LAC,82,26.3,82,0.0,6-5,185,13,0
1630,17-18,Jamal Crawford,MIN,80,20.7,82,2.4,6-5,185,15,2
1631,00-01,Jeff Foster,IND,71,16.2,82,13.4,6-11,236,0,11
1632,01-02,Jeff Foster,IND,82,21.8,82,0.0,6-11,236,0,0
1633,02-03,Jeff Foster,IND,77,10.6,82,6.1,6-11,236,1,5
1634,03-04,Jeff Foster,IND,82,23.9,82,0.0,6-11,236,4,0
1635,04-05,Jeff Foster,IND,61,26.1,82,25.6,6-11,236,4,21
1636,05-06,Jeff Foster,IND,63,25.1,82,23.2,6-11,236,5,19
1637,06-07,Jeff Foster,IND,75,23.2,82,8.5,6-11,236,5,7
1638,07-08,Jeff Foster,IND,77,24.5,82,6.1,6-11,236,5,5
1639,08-09,Jeff Foster,IND,74,24.7,82,9.8,6-11,236,5,8
1640,10-11,Jeff Foster,IND,56,16.8,82,31.7,6-11,236,6,26
1641,00-01,Jonathan Bender,IND,59,9.7,82,28.0,6-11,202,2,23
1642,01-02,Jonathan Bender,IND,78,21.1,82,4.9,6-11,202,2,4
1643,02-03,Jonathan Bender,IND,46,17.8,82,43.9,6-11,202,3,36
1644,00-01,Jumaine Jones,PHI,65,13.3,82,20.7,6-8,218,0,17
1645,01-02,Jumaine Jones,CLE,81,26.4,82,1.2,6-8,218,0,1
1646,02-03,Jumaine Jones,CLE,80,27.6,82,2.4,6-8,218,1,2
1647,04-05,Jumaine Jones,LAL,76,24.1,82,7.3,6-8,218,1,6
1648,05-06,Jumaine Jones,CHA,76,27.5,82,7.3,6-8,218,1,6
1649,00-01,Kenyon Martin,BRK,68,33.4,82,17.1,6-9,234,3,14
1650,01-02,Kenyon Martin,BRK,73,34.3,82,11.0,6-9,234,3,9
1651,02-03,Kenyon Martin,BRK,77,34.1,82,6.1,6-9,234,4,5
1652,03-04,Kenyon Martin,BRK,65,34.6,82,20.7,6-9,234,5,17
1653,04-05,Kenyon Martin,DEN,70,32.4,82,14.6,6-9,234,9,12
1654,05-06,Kenyon Martin,DEN,56,27.6,82,31.7,6-9,234,10,26
1655,07-08,Kenyon Martin,DEN,71,30.4,82,13.4,6-9,234,13,11
1656,08-09,Kenyon Martin,DEN,66,32.0,82,19.5,6-9,234,14,16
1657,09-10,Kenyon Martin,DEN,58,34.2,82,29.3,6-9,234,15,24
1658,10-11,Kenyon Martin,DEN,48,25.7,82,41.5,6-9,234,16,34
1659,11-12,Kenyon Martin,LAC,42,22.4,66,36.4,6-9,234,2,24
1660,12-13,Kenyon Martin,NYK,18,24.0,82,78.0,6-9,234,0,64
1661,13-14,Kenyon Martin,NYK,32,19.8,82,61.0,6-9,234,1,50
1662,00-01,Kevin Edwards,MEM,46,13.8,82,43.9,6-3,190,1,36
1663,00-01,Kevin Ollie,PHI,70,13.2,82,14.6,6-4,195,0,12
1664,01-02,Kevin Ollie,IND,81,21.2,82,1.2,6-4,195,0,1
1665,02-03,Kevin Ollie,OKC,82,23.1,82,0.0,6-4,195,1,0
1666,03-04,Kevin Ollie,CLE,82,17.1,82,0.0,6-4,195,2,0
1667,05-06,Kevin Ollie,PHI,70,15.3,82,14.6,6-4,195,2,12
1668,06-07,Kevin Ollie,PHI,53,17.3,82,35.4,6-4,195,3,29
1669,08-09,Kevin Ollie,MIN,50,17.0,82,39.0,6-4,195,1,32
1670,00-01,Keyon Dooling,LAC,76,16.2,82,7.3,6-3,196,1,6
1671,02-03,Keyon Dooling,LAC,55,17.6,82,32.9,6-3,196,1,27
1672,03-04,Keyon Dooling,LAC,58,19.6,82,29.3,6-3,196,2,24
1673,04-05,Keyon Dooling,MIA,74,16.0,82,9.8,6-3,196,0,8
1674,05-06,Keyon Dooling,ORL,50,22.7,82,39.0,6-3,196,3,32
1675,06-07,Keyon Dooling,ORL,66,21.7,82,19.5,6-3,196,3,16
1676,07-08,Keyon Dooling,ORL,72,18.5,82,12.2,6-3,196,3,10
1677,08-09,Keyon Dooling,BRK,77,26.9,82,6.1,6-3,196,3,5
1678,09-10,Keyon Dooling,BRK,53,18.3,82,35.4,6-3,196,3,29
1679,10-11,Keyon Dooling,MIL,80,22.0,82,2.4,6-3,196,2,2
1680,11-12,Keyon Dooling,BOS,46,14.4,66,30.3,6-3,196,2,20
1681,00-01,Khalid El-Amin,CHI,50,18.7,82,39.0,5-10,200,0,32
1682,00-01,Laron Profit,WAS,35,17.3,82,57.3,6-5,204,0,47
1683,00-01,Larry Robinson,ATL,34,18.6,82,58.5,6-3,180,0,48
1684,00-01,Mahmoud Abdul-Rauf,MEM,46,14.4,82,43.9,6-1,162,0,36
1685,00-01,Marc Jackson,GSW,48,29.4,82,41.5,6-10,270,0,34
1686,01-02,Marc Jackson,MIN,39,12.7,82,52.4,6-10,270,3,43
1687,02-03,Marc Jackson,MIN,77,13.5,82,6.1,6-10,270,3,5
1688,03-04,Marc Jackson,PHI,22,27.2,82,73.2,6-10,270,3,60
1689,04-05,Marc Jackson,PHI,81,24.4,82,1.2,6-10,270,4,1
1690,05-06,Marc Jackson,NOP,64,16.1,82,22.0,6-10,270,4,18
1691,06-07,Marc Jackson,NOP,56,18.3,82,31.7,6-10,270,4,26
1692,00-01,Marcus Fizer,CHI,72,21.9,82,12.2,6-9,262,2,10
1693,01-02,Marcus Fizer,CHI,76,25.8,82,7.3,6-9,262,2,6
1694,02-03,Marcus Fizer,CHI,38,21.3,82,53.7,6-9,262,2,44
1695,03-04,Marcus Fizer,CHI,46,16.0,82,43.9,6-9,262,3,36
1696,04-05,Marcus Fizer,MIL,54,16.7,82,34.1,6-9,262,0,28
1697,00-01,Mark Blount,BOS,64,17.2,82,22.0,7-0,230,0,18
1698,02-03,Mark Blount,BOS,81,17.3,82,1.2,7-0,230,0,1
1699,03-04,Mark Blount,BOS,82,29.3,82,0.0,7-0,230,0,0
1700,04-05,Mark Blount,BOS,82,26.0,82,0.0,7-0,230,4,0
1701,05-06,Mark Blount,MIN,81,27.6,82,1.2,7-0,230,5,1
1702,06-07,Mark Blount,MIN,82,31.0,82,0.0,7-0,230,7,0
1703,07-08,Mark Blount,MIA,69,22.3,82,15.9,7-0,230,7,13
1704,00-01,Mark Madsen,LAL,70,9.2,82,14.6,6-9,240,0,12
1705,01-02,Mark Madsen,LAL,59,11.0,82,28.0,6-9,240,0,23
1706,02-03,Mark Madsen,LAL,54,14.5,82,34.1,6-9,240,0,28
1707,03-04,Mark Madsen,MIN,72,17.3,82,12.2,6-9,240,0,10
1708,04-05,Mark Madsen,MIN,41,14.7,82,50.0,6-9,240,0,41
1709,05-06,Mark Madsen,MIN,62,10.9,82,24.4,6-9,240,2,20
1710,00-01,Mark Pope,MIL,63,15.0,82,23.2,6-10,235,0,19
1711,00-01,Mateen Cleaves,DET,78,16.3,82,4.9,6-2,205,1,4
1712,00-01,Mike Miller,ORL,82,29.1,82,0.0,6-8,218,2,0
1713,01-02,Mike Miller,ORL,63,33.7,82,23.2,6-8,218,2,19
1714,02-03,Mike Miller,MEM,65,33.6,82,20.7,6-8,218,2,17
1715,03-04,Mike Miller,MEM,65,27.2,82,20.7,6-8,218,3,17
1716,04-05,Mike Miller,MEM,76,30.0,82,7.3,6-8,218,6,6
1717,05-06,Mike Miller,MEM,74,30.6,82,9.8,6-8,218,6,8
1718,06-07,Mike Miller,MEM,70,39.1,82,14.6,6-8,218,7,12
1719,07-08,Mike Miller,MEM,70,35.3,82,14.6,6-8,218,8,12
1720,08-09,Mike Miller,MIN,73,32.3,82,11.0,6-8,218,9,9
1721,09-10,Mike Miller,WAS,54,33.4,82,34.1,6-8,218,9,28
1722,10-11,Mike Miller,MIA,41,20.4,82,50.0,6-8,218,5,41
1723,11-12,Mike Miller,MIA,39,19.3,66,40.9,6-8,218,5,27
1724,12-13,Mike Miller,MIA,59,15.2,82,28.0,6-8,218,5,23
1725,13-14,Mike Miller,MEM,82,20.8,82,0.0,6-8,218,7,0
1726,14-15,Mike Miller,CLE,52,13.5,82,36.6,6-8,218,9,30
1727,00-01,Mike Penberthy,LAL,53,16.1,82,35.4,6-3,185,0,29
1728,00-01,Milt Palacio,BOS,58,19.7,82,29.3,6-3,195,0,24
1729,01-02,Milt Palacio,PHX,69,11.4,82,15.9,6-3,195,0,13
1730,02-03,Milt Palacio,CLE,80,24.7,82,2.4,6-3,195,0,2
1731,03-04,Milt Palacio,TOR,59,20.5,82,28.0,6-3,195,0,23
1732,04-05,Milt Palacio,TOR,80,19.1,82,2.4,6-3,195,0,2
1733,05-06,Milt Palacio,UTA,71,19.4,82,13.4,6-3,195,1,11
1734,00-01,Morris Peterson,TOR,80,22.6,82,2.4,6-7,218,0,2
1735,01-02,Morris Peterson,TOR,63,31.6,82,23.2,6-7,218,0,19
1736,02-03,Morris Peterson,TOR,82,36.0,82,0.0,6-7,218,1,0
1737,03-04,Morris Peterson,TOR,82,26.2,82,0.0,6-7,218,1,0
1738,04-05,Morris Peterson,TOR,82,30.6,82,0.0,6-7,218,4,0
1739,05-06,Morris Peterson,TOR,82,38.3,82,0.0,6-7,218,4,0
1740,06-07,Morris Peterson,TOR,71,21.3,82,13.4,6-7,218,4,11
1741,07-08,Morris Peterson,NOP,76,23.6,82,7.3,6-7,218,5,6
1742,08-09,Morris Peterson,NOP,43,12.0,82,47.6,6-7,218,5,39
1743,09-10,Morris Peterson,NOP,46,21.1,82,43.9,6-7,218,6,36
1744,00-01,Nazr Mohammed,ATL,58,15.7,82,29.3,6-10,235,0,24
1745,01-02,Nazr Mohammed,ATL,82,26.4,82,0.0,6-10,235,4,0
1746,03-04,Nazr Mohammed,NYK,80,20.1,82,2.4,6-10,235,5,2
1747,04-05,Nazr Mohammed,SAS,77,25.1,82,6.1,6-10,235,5,5
1748,05-06,Nazr Mohammed,SAS,80,17.4,82,2.4,6-10,235,5,2
1749,06-07,Nazr Mohammed,DET,51,15.2,82,37.8,6-10,235,5,31
1750,07-08,Nazr Mohammed,CHA,82,20.1,82,0.0,6-10,235,5,0
1751,09-10,Nazr Mohammed,CHA,58,17.0,82,29.3,6-10,235,6,24
1752,10-11,Nazr Mohammed,OKC,75,17.1,82,8.5,6-10,235,6,7
1753,11-12,Nazr Mohammed,OKC,63,11.0,66,4.5,6-10,235,3,3
1754,12-13,Nazr Mohammed,CHI,63,11.0,82,23.2,6-10,235,1,19
1755,13-14,Nazr Mohammed,CHI,80,7.0,82,2.4,6-10,235,1,2
1756,00-01,Paul McPherson,GSW,55,10.8,82,32.9,6-4,210,0,27
1757,00-01,Popeye Jones,WAS,45,14.2,82,45.1,6-8,250,2,37
1758,01-02,Popeye Jones,WAS,79,24.3,82,3.7,6-8,250,1,3
1759,00-01,Quentin Richardson,LAC,76,17.9,82,7.3,6-6,223,1,6
1760,01-02,Quentin Richardson,LAC,81,26.6,82,1.2,6-6,223,1,1
1761,02-03,Quentin Richardson,LAC,59,23.2,82,28.0,6-6,223,1,23
1762,03-04,Quentin Richardson,LAC,65,36.0,82,20.7,6-6,223,1,17
1763,04-05,Quentin Richardson,PHX,79,35.9,82,3.7,6-6,223,5,3
1764,05-06,Quentin Richardson,NYK,55,26.2,82,32.9,6-6,223,6,27
1765,06-07,Quentin Richardson,NYK,49,33.1,82,40.2,6-6,223,7,33
1766,07-08,Quentin Richardson,NYK,65,28.3,82,20.7,6-6,223,8,17
1767,08-09,Quentin Richardson,NYK,72,26.3,82,12.2,6-6,223,8,10
1768,09-10,Quentin Richardson,MIA,76,27.4,82,7.3,6-6,223,9,6
1769,10-11,Quentin Richardson,ORL,57,16.8,82,30.5,6-6,223,2,25
1770,11-12,Quentin Richardson,ORL,48,18.0,66,27.3,6-6,223,2,18
1771,00-01,Reggie Slater,MIN,55,12.5,82,32.9,6-7,215,0,27
1772,00-01,Rodney Buford,PHI,47,12.2,82,42.7,6-5,189,0,35
1773,01-02,Rodney Buford,MEM,63,28.1,82,23.2,6-5,189,0,19
1774,04-05,Rodney Buford,BRK,64,20.5,82,22.0,6-5,189,0,18
1775,00-01,Stephen Jackson,BRK,77,21.5,82,6.1,6-8,218,0,5
1776,02-03,Stephen Jackson,SAS,80,28.1,82,2.4,6-8,218,0,2
1777,03-04,Stephen Jackson,ATL,80,36.8,82,2.4,6-8,218,1,2
1778,04-05,Stephen Jackson,IND,51,35.4,82,37.8,6-8,218,5,31
1779,05-06,Stephen Jackson,IND,81,35.9,82,1.2,6-8,218,5,1
1780,06-07,Stephen Jackson,GSW,75,33.0,82,8.5,6-8,218,6,7
1781,07-08,Stephen Jackson,GSW,73,39.1,82,11.0,6-8,218,6,9
1782,08-09,Stephen Jackson,GSW,59,39.6,82,28.0,6-8,218,7,23
1783,09-10,Stephen Jackson,CHA,81,38.6,82,1.2,6-8,218,7,1
1784,10-11,Stephen Jackson,CHA,67,35.9,82,18.3,6-8,218,8,15
1785,11-12,Stephen Jackson,SAS,47,25.8,66,28.8,6-8,218,9,19
1786,12-13,Stephen Jackson,SAS,55,19.5,82,32.9,6-8,218,10,27
1787,00-01,Stromile Swift,MEM,80,16.4,82,2.4,6-9,225,3,2
1788,01-02,Stromile Swift,MEM,68,26.5,82,17.1,6-9,225,3,14
1789,02-03,Stromile Swift,MEM,67,22.1,82,18.3,6-9,225,3,15
1790,03-04,Stromile Swift,MEM,77,19.8,82,6.1,6-9,225,4,5
1791,04-05,Stromile Swift,MEM,60,21.3,82,26.8,6-9,225,5,22
1792,05-06,Stromile Swift,HOU,66,20.4,82,19.5,6-9,225,5,16
1793,06-07,Stromile Swift,MEM,54,19.1,82,34.1,6-9,225,5,28
1794,07-08,Stromile Swift,BRK,56,15.1,82,31.7,6-9,225,5,26
1795,00-01,Trajan Langdon,CLE,65,17.2,82,20.7,6-3,197,1,17
1796,00-01,Tyronn Lue,LAL,38,12.3,82,53.7,6-0,180,0,44
1797,01-02,Tyronn Lue,WAS,71,20.5,82,13.4,6-0,180,1,11
1798,02-03,Tyronn Lue,WAS,75,26.5,82,8.5,6-0,180,1,7
1799,03-04,Tyronn Lue,ORL,76,30.7,82,7.3,6-0,180,1,6
1800,04-05,Tyronn Lue,ATL,70,28.7,82,14.6,6-0,180,1,12
1801,05-06,Tyronn Lue,ATL,51,24.2,82,37.8,6-0,180,3,31
1802,06-07,Tyronn Lue,ATL,56,26.6,82,31.7,6-0,180,3,26
1803,07-08,Tyronn Lue,DAL,50,14.7,82,39.0,6-0,180,3,32
1804,08-09,Tyronn Lue,ORL,44,11.8,82,46.3,6-0,180,2,38
1805,00-01,Zan Tabak,IND,55,14.1,82,32.9,7-0,245,1,27
1806,00-01,Zydrunas Ilgauskas,CLE,24,25.7,82,70.7,7-3,238,10,58
1807,01-02,Zydrunas Ilgauskas,CLE,62,21.4,82,24.4,7-3,238,11,20
1808,02-03,Zydrunas Ilgauskas,CLE,81,30.0,82,1.2,7-3,238,12,1
1809,03-04,Zydrunas Ilgauskas,CLE,81,31.3,82,1.2,7-3,238,13,1
1810,04-05,Zydrunas Ilgauskas,CLE,78,33.5,82,4.9,7-3,238,14,4
1811,05-06,Zydrunas Ilgauskas,CLE,78,29.3,82,4.9,7-3,238,8,4
1812,06-07,Zydrunas Ilgauskas,CLE,78,27.3,82,4.9,7-3,238,9,4
1813,07-08,Zydrunas Ilgauskas,CLE,73,30.4,82,11.0,7-3,238,10,9
1814,08-09,Zydrunas Ilgauskas,CLE,65,27.2,82,20.7,7-3,238,10,17
1815,09-10,Zydrunas Ilgauskas,CLE,64,20.9,82,22.0,7-3,238,11,18
1816,10-11,Zydrunas Ilgauskas,MIA,72,15.9,82,12.2,7-3,238,1,10
1817,01-02,Andrei Kirilenko,UTA,82,26.2,82,0.0,7-0,245,0,0
1818,02-03,Andrei Kirilenko,UTA,80,27.7,82,2.4,7-0,245,0,2
1819,03-04,Andrei Kirilenko,UTA,78,37.1,82,4.9,7-0,245,0,4
1820,04-05,Andrei Kirilenko,UTA,41,32.9,82,50.0,7-0,245,1,41
1821,05-06,Andrei Kirilenko,UTA,69,37.7,82,15.9,7-0,245,10,13
1822,06-07,Andrei Kirilenko,UTA,70,29.3,82,14.6,7-0,245,12,12
1823,07-08,Andrei Kirilenko,UTA,72,30.8,82,12.2,7-0,245,13,10
1824,08-09,Andrei Kirilenko,UTA,67,27.3,82,18.3,7-0,245,15,15
1825,09-10,Andrei Kirilenko,UTA,58,29.0,82,29.3,7-0,245,16,24
1826,10-11,Andrei Kirilenko,UTA,64,31.2,82,22.0,7-0,245,17,18
1827,12-13,Andrei Kirilenko,MIN,64,31.8,82,22.0,7-0,245,9,18
1828,13-14,Andrei Kirilenko,BRK,45,19.1,82,45.1,7-0,245,3,37
1829,01-02,Art Long,OKC,63,15.7,82,23.2,6-9,225,0,19
1830,01-02,Brendan Haywood,WAS,62,20.4,82,24.4,7-0,268,0,20
1831,02-03,Brendan Haywood,WAS,81,23.8,82,1.2,7-0,268,1,1
1832,03-04,Brendan Haywood,WAS,77,19.3,82,6.1,7-0,268,1,5
1833,04-05,Brendan Haywood,WAS,68,27.4,82,17.1,7-0,268,1,14
1834,05-06,Brendan Haywood,WAS,79,23.8,82,3.7,7-0,268,4,3
1835,06-07,Brendan Haywood,WAS,77,22.6,82,6.1,7-0,268,4,5
1836,07-08,Brendan Haywood,WAS,80,27.8,82,2.4,7-0,268,5,2
1837,09-10,Brendan Haywood,DAL,77,30.6,82,6.1,7-0,268,6,5
1838,10-11,Brendan Haywood,DAL,72,18.5,82,12.2,7-0,268,6,10
1839,11-12,Brendan Haywood,DAL,54,21.2,66,18.2,7-0,268,7,12
1840,12-13,Brendan Haywood,CHA,61,19.1,82,25.6,7-0,268,8,21
1841,01-02,Cal Bowdler,ATL,52,11.2,82,36.6,6-10,245,1,30
1842,01-02,Dalibor Bagaric,CHI,50,12.8,82,39.0,7-1,255,0,32
1843,01-02,DeShawn Stevenson,UTA,67,16.9,82,18.3,6-5,210,0,15
1844,02-03,DeShawn Stevenson,UTA,61,12.5,82,25.6,6-5,210,0,21
1845,03-04,DeShawn Stevenson,ORL,80,30.6,82,2.4,6-5,210,1,2
1846,04-05,DeShawn Stevenson,ORL,55,19.8,82,32.9,6-5,210,2,27
1847,05-06,DeShawn Stevenson,ORL,82,32.3,82,0.0,6-5,210,2,0
1848,06-07,DeShawn Stevenson,WAS,82,29.5,82,0.0,6-5,210,0,0
1849,07-08,DeShawn Stevenson,WAS,82,31.3,82,0.0,6-5,210,1,0
1850,08-09,DeShawn Stevenson,WAS,32,27.7,82,61.0,6-5,210,3,50
