player,year_min,height,weight
Norm Cook,1977,6-8,210
Omar Cook,2004,6-1,190
Quinn Cook,2017,6-2,179
Charles Cooke,2018,6-5,196
David Cooke,1986,6-8,230
Joe Cooke,1971,6-3,175
Jack Cooley,2015,6-9,260
Chuck Cooper,1951,6-5,210
Duane Cooper,1993,6-1,185
Joe Cooper,1982,6-10,230
Michael Cooper,1979,6-5,170
Wayne Cooper,1979,6-10,220
Tom Copa,1992,6-10,275
Chris Copeland,2013,6-9,239
Hollis Copeland,1980,6-6,180
Lanard Copeland,1990,6-6,190
Tyrone Corbin,1986,6-6,210
Chris Corchiani,1992,6-0,185
Ken Corley,1947,6-5,210
Ray Corley,1950,6-0,180
Dave Corzine,1979,6-11,250
Larry Costello,1955,6-1,186
Matt Costello,2018,6-9,245
Bryce Cotton,2015,6-1,165
Jack Cotton,1950,6-7,200
James Cotton,1998,6-5,220
John Coughran,1980,6-7,225
Mel Counts,1965,7-0,230
Steve Courtin,1965,6-1,188
Joe Courtney,1993,6-8,235
Marcus Cousin,2011,6-11,245
DeMarcus Cousins,2011,6-11,270
Bob Cousy,1951,6-1,175
Robert Covington,2014,6-9,225
Dave Cowens,1971,6-9,230
Chubby Cox,1983,6-2,180
Johnny Cox,1963,6-4,180
Wesley Cox,1978,6-6,215
Allen Crabbe,2014,6-6,212
Torrey Craig,2018,6-7,215
Chris Crawford,1998,6-9,235
Freddie Crawford,1967,6-4,189
Jamal Crawford,2001,6-5,185
Joe Crawford,2009,6-5,210
Jordan Crawford,2011,6-4,195
Jim Creighton,1976,6-8,200
Ron Crevier,1986,7-0,235
Hal Crisler,1947,6-3,215
Joe Crispin,2002,6-0,185
Charlie Criss,1978,5-8,165
Russell Critchfield,1969,5-10,150
Winston Crite,1988,6-7,233
Javaris Crittenton,2008,6-5,200
Dillard Crocker,1949,6-4,205
Bobby Croft,1971,6-10,200
Geoff Crompton,1979,6-11,280
Terry Crosby,1980,6-4,195
Austin Croshere,1998,6-9,235
Jeff Cross,1986,6-10,240
Pete Cross,1971,6-9,230
Russell Cross,1984,6-10,215
Chink Crossin,1948,6-1,165
John Crotty,1993,6-1,185
Bill Crow,1968,6-1,180
Mark Crow,1978,6-7,210
Corey Crowder,1992,6-5,214
Jae Crowder,2013,6-6,235
Al Cueto,1970,6-7,230
Pat Cummings,1980,6-9,230
Terry Cummings,1983,6-9,220
Vonteego Cummings,2000,6-3,185
Billy Cunningham,1966,6-6,210
Dante Cunningham,2010,6-8,230
Dick Cunningham,1969,6-10,245
Jared Cunningham,2013,6-4,195
William Cunningham,1998,6-11,250
Radisav Curcic,1993,6-10,275
Armand Cure,1947,6-0,198
Earl Cureton,1981,6-9,210
Bill Curley,1995,6-9,220
Fran Curran,1949,6-0,175
Dell Curry,1987,6-4,190
Eddy Curry,2002,7-0,295
JamesOn Curry,2010,6-3,190
Michael Curry,1994,6-5,210
Seth Curry,2014,6-2,185
Stephen Curry,2010,6-3,190
Rastko Cvetkovic,1996,7-1,260
Mike D'Antoni,1974,6-3,185
Mike Dabich,1968,7-0,242
Ed Dahler,1952,6-5,190
Quintin Dailey,1983,6-3,180
Samuel Dalembert,2002,6-11,255
Howie Dallmar,1947,6-4,200
Erick Dampier,1997,6-11,265
Louie Dampier,1968,6-0,170
Bob Dandridge,1970,6-6,195
Antonio Daniels,1998,6-4,195
Erik Daniels,2005,6-8,214
Lloyd Daniels,1993,6-7,205
Marquis Daniels,2004,6-6,200
Mel Daniels,1968,6-9,220
Troy Daniels,2014,6-4,205
Sasha Danilovic,1996,6-5,200
Adrian Dantley,1977,6-5,208
Pete Darcey,1953,6-7,217
Jimmy Darden,1950,6-1,170
Ollie Darden,1968,6-7,235
Yinka Dare,1995,7-0,265
Jesse Dark,1975,6-5,210
Rick Darnell,1976,6-10,215
Jimmy Darrow,1962,5-10,170
Luigi Datome,2014,6-8,215
Brad Daugherty,1987,7-0,245
Mack Daughtry,1971,6-3,175
Kornel David,1999,6-9,235
Jermareo Davidson,2008,6-10,230
Bob Davies,1949,6-1,175
Brandon Davies,2014,6-10,240
Anthony Davis,2013,6-10,253
Antonio Davis,1994,6-9,215
Aubrey Davis,1947,6-2,175
Baron Davis,2000,6-3,209
Ben Davis,1997,6-9,240
Bill Davis,1947,6-3,215
Bob Davis,1973,6-7,215
Brad Davis,1978,6-3,180
Brian Davis,1994,6-7,200
Charles Davis,1982,6-7,215
Charlie Davis,1972,6-2,160
Dale Davis,1992,6-11,230
Deyonta Davis,2017,6-11,237
Dwight Davis,1973,6-8,220
Ed Davis,2011,6-10,225
Emanual Davis,1997,6-4,195
Glen Davis,2008,6-9,289
Harry Davis,1979,6-7,220
Hubert Davis,1993,6-5,183
Jim Davis,1968,6-9,225
Johnny Davis,1977,6-2,170
Josh Davis,2004,6-8,235
Lee Davis,1969,6-8,235
Mark Davis,1989,6-6,195
Mark Davis,1996,6-7,210
Mel Davis,1974,6-6,220
Mickey Davis,1972,6-7,195
Mike Davis,1970,6-3,185
Mike Davis,1983,6-10,230
Monti Davis,1981,6-7,205
Paul Davis,2007,6-11,270
Ralph Davis,1961,6-4,180
Red Davis,1956,6-7,220
Ricky Davis,1999,6-6,195
Ron Davis,1977,6-6,198
Terry Davis,1990,6-9,225
Tyler Davis,2019,6-10,266
Walt Davis,1954,6-8,205
Walter Davis,1978,6-6,193
Warren Davis,1968,6-6,212
Willie Davis,1971,6-8,234
Andre Dawkins,2015,6-5,215
Darryl Dawkins,1976,6-11,251
Johnny Dawkins,1987,6-2,165
Paul Dawkins,1980,6-5,190
Branden Dawson,2016,6-6,225
Eric Dawson,2012,6-9,250
Jimmy Dawson,1968,6-0,175
Tony Dawson,1991,6-7,215
Todd Day,1993,6-6,188
Austin Daye,2010,6-11,220
Darren Daye,1984,6-8,220
Nando De Colo,2013,6-5,200
Greg Deane,1980,6-4,190
Billy DeAngelis,1971,6-1,180
Dave DeBusschere,1963,6-6,220
Andrew DeClercq,1996,6-10,230
Dewayne Dedmon,2014,7-0,245
Don Dee,1969,6-8,210
Archie Dees,1959,6-8,205
Terry Dehere,1994,6-2,190
Red Dehnert,1947,6-3,175
Bryce Dejean-Jones,2016,6-6,209
Sam Dekker,2016,6-9,230
Vinny Del Negro,1989,6-4,185
Malcolm Delaney,2017,6-3,190
Bison Dele,1992,6-9,235
Carlos Delfino,2005,6-6,230
Tony Delk,1997,6-1,189
Matthew Dellavedova,2014,6-4,200
Nate DeLong,1952,6-6,220
Fennis Dembo,1989,6-5,215
Larry Demic,1980,6-9,225
Dell Demps,1994,6-3,205
George Dempsey,1955,6-2,190
Luol Deng,2005,6-9,237
Kenny Dennard,1982,6-8,220
Blaine Denning,1953,6-2,175
Justin Dentmon,2012,5-11,185
Randy Denton,1972,6-10,240
Joe DePre,1971,6-3,185
Rod Derline,1975,6-0,175
DeMar DeRozan,2010,6-7,220
Marcus Derrickson,2019,6-7,249
Dave Deutsch,1967,6-1,170
Corky Devlin,1956,6-5,195
Hank DeZonie,1951,6-6,215
Derrick Dial,2000,6-4,184
Cheick Diallo,2017,6-9,220
Hamidou Diallo,2019,6-5,198
Boris Diaw,2004,6-8,250
Yakhouba Diawara,2007,6-7,225
Guillermo Diaz,2008,6-2,192
Dan Dickau,2003,6-0,190
Kaniel Dickens,2004,6-8,215
Henry Dickerson,1976,6-4,190
Michael Dickerson,1999,6-5,190
Clyde Dickey,1975,6-3,185
Derrek Dickey,1974,6-7,218
Dick Dickey,1952,6-1,175
John Dickson,1968,6-10,240
Travis Diener,2006,6-1,175
Gorgui Dieng,2014,6-11,252
Connie Dierking,1959,6-9,222
Coby Dietrick,1971,6-10,220
Ernie DiGregorio,1974,6-0,180
Craig Dill,1968,6-11,215
Dwaine Dillard,1976,6-6,230
Mickey Dillard,1982,6-3,170
Bob Dille,1947,6-3,190
Hook Dillon,1950,6-3,180
Byron Dinkins,1990,6-1,170
Jackie Dinkins,1972,6-5,210
Harry Dinnel,1968,6-4,200
Bill Dinwiddie,1968,6-7,220
Spencer Dinwiddie,2015,6-6,210
Ike Diogu,2006,6-8,250
DeSagana Diop,2002,7-0,300
Terry Dischinger,1963,6-7,189
Fred Diute,1955,6-3,210
Vlade Divac,1990,7-1,243
Donte DiVincenzo,2019,6-4,203
Juan Dixon,2003,6-3,164
Aleksandar Djordjevic,1997,6-2,198
Earl Dodd,1950,6-5,175
Michael Doleac,1999,6-11,262
Joe Dolhon,1950,6-0,175
Bob Doll,1947,6-5,195
James Donaldson,1981,7-2,275
Luka Doncic,2019,6-7,218
Bob Donham,1951,6-2,190
Billy Donovan,1988,5-11,171
Harry Donovan,1950,6-2,180
Keyon Dooling,2001,6-3,196
Jacky Dorsey,1978,6-7,230
Joey Dorsey,2009,6-8,268
Ron Dorsey,1972,6-4,200
Tyler Dorsey,2018,6-5,183
Damyean Dotson,2018,6-6,210
Quincy Douby,2007,6-3,175
Bruce Douglas,1987,6-3,195
John Douglas,1982,6-2,170
Leon Douglas,1977,6-10,230
Sherman Douglas,1990,6-0,180
Toney Douglas,2010,6-2,195
Chris Douglas-Roberts,2009,6-7,200
Sonny Dove,1968,6-7,198
Jerry Dover,1972,5-7,155
Zabian Dowdell,2011,6-3,191
Bill Downey,1948,6-6,210
Steve Downing,1974,6-8,225
Danny Doyle,1963,6-8,200
Milton Doyle,2018,6-4,185
PJ Dozier,2018,6-6,205
Terry Dozier,1990,6-9,210
Goran Dragic,2009,6-3,190
Zoran Dragic,2015,6-5,200
Greg Dreiling,1987,7-1,250
Bryce Drew,1999,6-2,185
John Drew,1975,6-6,205
Larry Drew,1981,6-1,170
Larry Drew,2015,6-2,180
Clyde Drexler,1984,6-7,210
Nate Driggers,1997,6-5,215
Terry Driscoll,1971,6-7,215
Predrag Drobnjak,2002,6-11,270
Ralph Drollinger,1981,7-2,250
Andre Drummond,2013,6-11,279
Dick Duckett,1958,6-1,185
Kevin Duckworth,1987,7-0,275
Charles Dudley,1973,6-2,180
Chris Dudley,1988,6-11,235
Jared Dudley,2008,6-7,237
Terry Duerod,1980,6-2,180
Bob Duffy,1947,6-4,175
Bob Duffy,1963,6-3,185
Chris Duhon,2005,6-1,185
Duje Dukan,2016,6-9,220
Walter Dukes,1956,7-0,220
Joe Dumars,1986,6-3,190
Rich Dumas,1969,6-3,170
Richard Dumas,1993,6-7,200
Tony Dumas,1995,6-6,190
Andy Duncan,1949,6-6,195
Tim Duncan,1998,6-11,250
Mike Dunleavy,1977,6-3,180
Mike Dunleavy,2003,6-9,230
Kris Dunn,2017,6-4,205
Pat Dunn,1958,6-2,170
T.R. Dunn,1978,6-4,192
Ronald Dupree,2004,6-7,209
Kevin Durant,2008,6-9,240
John Duren,1981,6-3,195
Jarrett Durham,1972,6-5,188
Pat Durham,1993,6-7,210
Devin Durrant,1985,6-7,200
Ken Durrett,1972,6-7,190
Dennis DuVal,1975,6-3,175
Jack Dwan,1949,6-4,200
Craig Dykema,1982,6-8,190
Gene Dyker,1954,6-6,225
Jerome Dyson,2012,6-3,180
Ledell Eackles,1989,6-5,220
Jim Eakins,1969,6-11,215
Acie Earl,1994,6-10,240
Ed Earle,1954,6-3,190
Cleanthony Early,2015,6-8,210
Penny Early,1969,5-3,114
Mark Eaton,1983,7-4,275
Jerry Eaves,1983,6-4,180
Devin Ebanks,2011,6-9,215
Bill Ebben,1958,6-4,190
Al Eberhard,1975,6-6,225
Ndudi Ebi,2004,6-9,200
Roy Ebron,1974,6-9,220
Jarell Eddie,2016,6-7,218
Patrick Eddie,1992,6-11,240
Dike Eddleman,1950,6-3,189
Kenton Edelin,1985,6-8,205
Charles Edge,1974,6-6,210
Bobby Edmonds,1968,6-6,220
Keith Edmonson,1983,6-5,195
Tyus Edney,1996,5-10,152
Bill Edwards,1994,6-8,215
Blue Edwards,1990,6-4,200
Corsley Edwards,2005,6-9,275
Doug Edwards,1994,6-7,220
Franklin Edwards,1982,6-1,170
James Edwards,1978,7-0,225
Jay Edwards,1990,6-4,185
John Edwards,2005,7-0,275
Kevin Edwards,1989,6-3,190
Shane Edwards,2014,6-7,220
Vince Edwards,2019,6-8,225
Johnny Egan,1962,5-11,180
Lonnie Eggleston,1949,6-0,170
Bulbs Ehlers,1948,6-3,198
Craig Ehlo,1984,6-6,180
Rich Eichhorst,1962,6-3,200
Howard Eisley,1995,6-2,177
Obinna Ekezie,2000,6-9,270
Khalid El-Amin,2001,5-10,200
Don Eliason,1947,6-2,210
Mario Elie,1991,6-5,210
Ray Ellefson,1949,6-8,230
Henry Ellenson,2017,6-11,245
Wayne Ellington,2010,6-5,200
Bob Elliott,1979,6-9,225
Sean Elliott,1990,6-8,205
Bo Ellis,1978,6-9,197
Boo Ellis,1959,6-5,185
Dale Ellis,1984,6-7,205
Harold Ellis,1994,6-5,200
Joe Ellis,1967,6-6,175
LaPhonso Ellis,1993,6-8,240
LeRon Ellis,1992,6-9,225
Leroy Ellis,1963,6-10,210
Monta Ellis,2006,6-3,185
Pervis Ellison,1990,6-9,210
Len Elmore,1975,6-9,220
Francisco Elson,2004,7-0,235
Darrell Elston,1975,6-4,190
Melvin Ely,2003,6-10,260
Joel Embiid,2017,7-0,250
Wayne Embry,1959,6-8,240
Andre Emmett,2005,6-5,230
Ned Endress,1947,6-2,200
Chris Engler,1983,6-11,245
Wayne Englestad,1989,6-8,245
A.J. English,1991,6-3,175
Alex English,1977,6-7,190
Claude English,1971,6-4,185
Jo Jo English,1993,6-4,195
Kim English,2013,6-6,200
Scott English,1973,6-6,205
Gene Englund,1950,6-5,205
James Ennis,2015,6-7,210
Tyler Ennis,2015,6-3,194
Ray Epps,1979,6-6,195
Semih Erden,2011,7-0,240
Bo Erias,1958,6-3,220
Keith Erickson,1966,6-5,195
Julius Erving,1972,6-7,210
Evan Eschmeyer,2000,6-11,255
Jack Eskridge,1949,6-5,200
Vincenzo Esposito,1996,6-3,198
Drew Eubanks,2019,6-10,245
Billy Evans,1970,6-0,170
Bob Evans,1950,6-2,175
Brian Evans,1997,6-8,220
Earl Evans,1980,6-8,202
Jacob Evans,2019,6-6,210
Jawun Evans,2018,6-0,185
Jeremy Evans,2011,6-9,200
Maurice Evans,2002,6-5,220
Mike Evans,1980,6-1,170
Reggie Evans,2003,6-8,245
Tyreke Evans,2010,6-6,220
Daniel Ewing,2006,6-3,185
Patrick Ewing,1986,7-0,240
Patrick Ewing,2011,6-8,235
Dante Exum,2015,6-6,190
Christian Eyenga,2011,6-5,210
Festus Ezeli,2013,6-11,255
Johnny Ezersky,1948,6-3,175
Joe Fabel,1947,6-1,190
John Fairchild,1966,6-8,205
Phil Farbman,1949,6-1,185
Kenneth Faried,2012,6-8,220
Dick Farley,1955,6-4,190
Jordan Farmar,2007,6-2,180
Desmon Farmer,2007,6-5,220
Jim Farmer,1988,6-4,190
Mike Farmer,1959,6-7,210
Tony Farmer,1998,6-9,244
Bob Faught,1947,6-5,185
Vitor Faverani,2014,6-11,260
Derrick Favors,2011,6-10,265
Nick Fazekas,2008,6-11,235
Dave Fedor,1963,6-6,190
Bob Feerick,1947,6-3,190
Butch Feher,1977,6-4,185
Jamie Feick,1997,6-9,255
Ron Feiereisel,1956,6-3,185
George Feigenbaum,1950,6-1,185
Dave Feitl,1987,6-11,235
Kay Felder,2017,5-9,176
Cristiano Felicio,2016,6-10,265
Carrick Felix,2014,6-6,201
Noel Felix,2006,6-9,225
Ray Felix,1954,6-11,220
Raymond Felton,2006,6-1,205
Jake Fendley,1952,6-0,180
Warren Fenley,1947,6-3,190
Desmond Ferguson,2004,6-7,203
Terrance Ferguson,2018,6-7,190
Rudy Fernandez,2009,6-6,185
Eric Fernsten,1976,6-10,205
Al Ferrari,1956,6-4,190
Rolando Ferreira,1989,7-1,240
Duane Ferrell,1989,6-7,209
Yogi Ferrell,2017,6-0,180
Arnie Ferrin,1949,6-2,180
Bob Ferry,1960,6-8,230
Danny Ferry,1991,6-10,230
Kyrylo Fesenko,2008,7-1,288
Bobby Fields,1972,6-3,175
Kenny Fields,1985,6-5,220
Landry Fields,2011,6-7,210
Ron Filipek,1968,6-5,205
Greg Fillmore,1971,7-1,240
Larry Finch,1974,6-2,185
Hank Finkel,1967,7-0,240
Michael Finley,1996,6-7,215
Danny Finn,1953,6-1,185
Dorian Finney-Smith,2017,6-8,220
Matt Fish,1995,6-11,235
Derek Fisher,1997,6-1,200
Richard Fisher,1972,6-5,215
Gerald Fitch,2006,6-3,188
Bob Fitzgerald,1947,6-5,190
Dick Fitzgerald,1947,6-2,175
Marcus Fizer,2001,6-9,262
Jerry Fleishman,1947,6-2,190
Al Fleming,1978,6-7,215
Ed Fleming,1956,6-3,189
Vern Fleming,1985,6-5,185
Luis Flores,2005,6-2,200
Bruce Flowers,1983,6-8,225
Sleepy Floyd,1983,6-3,170
Jonny Flynn,2010,6-0,185
Mike Flynn,1976,6-2,180
Larry Fogle,1976,6-5,205
Jack Foley,1963,6-3,170
Isaac Fontaine,2002,6-4,210
Levi Fontaine,1971,6-4,190
Jeff Foote,2012,7-0,265
Bryn Forbes,2017,6-3,190
Gary Forbes,2011,6-7,220
Alphonso Ford,1994,6-1,190
Alton Ford,2002,6-9,275
Bob Ford,1973,6-7,228
Chris Ford,1973,6-5,190
Don Ford,1976,6-9,215
Jake Ford,1971,6-3,180
Phil Ford,1979,6-2,175
Sharrod Ford,2006,6-9,225
Sherell Ford,1996,6-7,210
T.J. Ford,2004,6-0,165
Donnie Forman,1949,5-10,175
Bayard Forrest,1978,6-10,235
Joseph Forte,2002,6-4,194
Courtney Fortson,2012,5-11,185
Danny Fortson,1998,6-7,260
Fred Foster,1969,6-5,210
Greg Foster,1991,6-11,240
Jeff Foster,2000,6-11,236
Jimmy Foster,1975,6-1,175
Rod Foster,1984,6-1,160
Antonis Fotsis,2002,6-10,219
Evan Fournier,2013,6-7,205
Larry Foust,1951,6-9,215
Calvin Fowler,1970,6-0,175
Jerry Fowler,1952,6-8,230
Tremaine Fowlkes,2002,6-8,220
De'Aaron Fox,2018,6-3,175
Harold Fox,1973,6-2,175
Jim Fox,1968,6-10,230
Rick Fox,1992,6-7,230
Randy Foye,2007,6-4,213
Adonal Foyle,1998,6-10,250
Richie Frahm,2004,6-5,210
Steve Francis,2000,6-3,195
Tellis Frank,1988,6-10,225
Nat Frankel,1947,6-0,195
Jamaal Franklin,2014,6-5,191
William Franklin,1973,6-7,220
Ronald Franz,1968,6-7,205
Melvin Frazier,2019,6-6,200
Tim Frazier,2015,6-1,170
Walt Frazier,1968,6-4,200
Will Frazier,1966,6-7,210
Anthony Frederick,1989,6-7,205
Jimmer Fredette,2012,6-2,195
World B. Free,1976,6-2,185
Joel Freeland,2013,6-10,250
Donnie Freeman,1968,6-3,185
Gary Freeman,1971,6-9,210
Rod Freeman,1974,6-7,225
Matt Freije,2005,6-10,240
Frido Frey,1947,6-2,195
Larry Friend,1958,6-4,185
Pat Frink,1969,6-4,195
Jim Fritsche,1954,6-8,210
Channing Frye,2006,7-0,255
Bernie Fryer,1974,6-3,185
Frank Fucarino,1947,6-2,175
Herm Fuetsch,1948,6-0,170
Joe Fulks,1947,6-5,190
Carl Fuller,1971,6-9,225
Hiram Fuller,2004,6-9,240
Todd Fuller,1997,6-11,255
Tony Fuller,1981,6-4,180
Markelle Fultz,2018,6-4,200
Lawrence Funderburke,1998,6-9,230
Terry Furlow,1977,6-4,190
Bill Gabor,1950,5-11,170
Dan Gadzuric,2003,6-11,240
Deng Gai,2006,6-9,250
Elmer Gainer,1948,6-6,195
Bill Gaines,1969,6-4,185
Corey Gaines,1989,6-3,195
David Gaines,1968,6-1,170
Reece Gaines,2004,6-6,205
Sundiata Gaines,2010,6-1,185
Mike Gale,1972,6-4,185
Chad Gallagher,1994,6-10,255
Harry Gallatin,1949,6-6,210
Danilo Gallinari,2009,6-10,225
Langston Galloway,2015,6-2,200
Dave Gambee,1959,6-6,215
Kevin Gamble,1988,6-5,210
Bob Gantt,1947,6-4,205
Jorge Garbajosa,2007,6-9,245
Ruben Garces,2001,6-9,245
Alex Garcia,2004,6-3,220
Francisco Garcia,2006,6-7,195
Chuck Gardner,1968,6-8,205
Earl Gardner,1949,6-3,195
Kenneth Gardner,1976,6-5,205
Thomas Gardner,2008,6-5,225
Vern Gardner,1950,6-5,200
Jack Garfinkel,1947,6-0,190
Patricio Garino,2017,6-6,210
Gary Garland,1980,6-4,180
Winston Garland,1988,6-2,170
Dick Garmaker,1956,6-3,200
Bill Garner,1968,6-10,220
Chris Garner,1998,5-10,156
Bill Garnett,1983,6-9,225
Kevin Garnett,1996,6-11,240
Marlon Garnett,1999,6-2,186
Calvin Garrett,1981,6-7,190
Dean Garrett,1997,6-10,225
Diante Garrett,2013,6-4,190
Dick Garrett,1970,6-3,185
Rowland Garrett,1973,6-6,210
Tom Garrick,1989,6-2,185
John Garris,1984,6-8,205
Kiwane Garris,1998,6-2,183
Pat Garrity,1999,6-9,238
Jim Garvin,1974,6-7,200
Marc Gasol,2009,7-1,255
Pau Gasol,2002,7-0,250
Frank Gates,1950,6-0,160
Chris Gatling,1992,6-10,220
Kenny Gattison,1987,6-8,225
Rudy Gay,2007,6-8,230
Ed Gayda,1951,6-4,210
Andrew Gaze,1994,6-7,205
Michael Gbinije,2017,6-7,200
Reggie Geary,1997,6-2,187
Alonzo Gee,2010,6-6,225
Matt Geiger,1993,7-0,243
Mickael Gelabale,2007,6-7,215
Devean George,2000,6-8,220
Jack George,1954,6-2,190
Paul George,2011,6-9,220
Tate George,1991,6-5,190
Marcus Georges-Hunt,2017,6-5,216
Gus Gerard,1975,6-8,200
Derrick Gervin,1990,6-8,200
George Gervin,1973,6-7,180
Gorham Getchell,1947,6-4,205
John Gianelli,1973,6-10,220
Dick Gibbs,1972,6-5,210
Daniel Gibson,2007,6-2,190
Dee Gibson,1950,5-11,175
Hoot Gibson,1950,6-5,198
Jonathan Gibson,2017,6-2,185
Mel Gibson,1964,6-3,180
Mike Gibson,1984,6-10,205
Taj Gibson,2010,6-9,232
J.R. Giddens,2009,6-5,215
Trey Gilder,2010,6-9,185
Harry Giles,2019,6-10,240
Shai Gilgeous-Alexander,2019,6-6,181
Eddie Gill,2001,6-0,190
Kendall Gill,1991,6-5,195
Ben Gillery,1989,7-0,235
Jack Gillespie,1970,6-6,215
Gene Gillette,1947,6-2,205
Armen Gilliam,1988,6-9,230
Herm Gilliam,1970,6-3,190
Artis Gilmore,1972,7-2,240
Walt Gilmore,1971,6-6,225
Chuck Gilmur,1947,6-4,225
Manu Ginobili,2003,6-6,205
Gordan Giricek,2003,6-6,210
Jack Givens,1979,6-5,205
Mickell Gladness,2012,6-11,220
George Glamack,1949,6-6,225
Gerald Glass,1991,6-5,221
Mike Glenn,1978,6-2,175
Normie Glick,1950,6-7,190
Georgi Glouchkov,1986,6-8,235
Clarence Glover,1972,6-8,210
Dion Glover,2000,6-5,228
Andreas Glyniadakis,2007,7-1,280
Mike Gminski,1981,6-11,250
Rudy Gobert,2014,7-1,245
Dan Godfread,1991,6-10,250
Tom Gola,1956,6-6,205
Ben Goldfaden,1947,6-1,185
Anthony Goldwire,1996,6-1,182
Ryan Gomes,2006,6-7,250
Glen Gondrezick,1978,6-6,218
Grant Gondrezick,1987,6-5,205
Drew Gooden,2003,6-10,250
Gail Goodrich,1966,6-1,170
Steve Goodrich,2001,6-10,220
Archie Goodwin,2014,6-5,200
Brandon Goodwin,2019,6-2,180
Pop Goodwin,1947,6-2,203
Aaron Gordon,2015,6-9,220
Ben Gordon,2005,6-3,200
Drew Gordon,2015,6-9,245
Eric Gordon,2009,6-4,215
Lancaster Gordon,1985,6-3,185
Paul Gordon,1950,6-3,185
Marcin Gortat,2008,6-11,240
Leo Gottlieb,1947,5-11,180
Andrew Goudelock,2012,6-3,200
Gerald Govan,1968,6-10,220
Bato Govedarica,1954,5-11,185
Joe Graboski,1949,6-7,195
Ricky Grace,1994,6-1,180
Calvin Graham,1968,6-2,195
Devonte' Graham,2019,6-2,185
Greg Graham,1994,6-4,174
Joey Graham,2006,6-7,225
Mal Graham,1968,6-1,185
Orlando Graham,1989,6-8,220
Paul Graham,1992,6-6,200
Stephen Graham,2006,6-6,215
Treveon Graham,2017,6-5,225
Jim Grandholm,1991,7-0,235
Ron Grandison,1989,6-6,215
Danny Granger,2006,6-9,222
Stewart Granger,1984,6-3,190
Brian Grant,1995,6-9,254
Bud Grant,1950,6-3,195
Gary Grant,1989,6-3,185
Greg Grant,1990,5-7,140
Harvey Grant,1989,6-8,195
Horace Grant,1988,6-10,215
Jerami Grant,2015,6-9,220
Jerian Grant,2016,6-4,205
Josh Grant,1994,6-9,223
Paul Grant,1999,7-0,245
Travis Grant,1973,6-7,215
Don Grate,1950,6-2,185
Butch Graves,1985,6-3,200
Aaron Gray,2008,7-0,270
Devin Gray,1997,6-7,240
Ed Gray,1998,6-3,210
Evric Gray,1997,6-7,235
Gary Gray,1968,6-1,185
Josh Gray,2018,6-1,180
Leonard Gray,1975,6-8,240
Stuart Gray,1985,7-0,235
Sylvester Gray,1989,6-6,230
Wyndol Gray,1947,6-1,175
Jeff Grayer,1989,6-5,200
Bob Greacen,1970,6-7,206
A.C. Green,1986,6-9,220
Danny Green,2010,6-6,215
Devin Green,2006,6-7,210
Draymond Green,2013,6-7,230
Erick Green,2015,6-4,185
Gerald Green,2006,6-7,205
JaMychal Green,2015,6-9,227
Jeff Green,2008,6-9,235
Johnny Green,1960,6-5,200
Ken Green,1986,6-8,215
Kenny Green,1986,6-6,210
Lamar Green,1970,6-7,210
Litterial Green,1993,6-1,185
Luther Green,1970,6-7,190
Mike Green,1974,6-10,200
Rickey Green,1978,6-0,170
Sean Green,1992,6-5,210
Si Green,1957,6-2,185
Sidney Green,1984,6-9,220
Steve Green,1976,6-7,220
Taurean Green,2008,6-0,177
Tommie Green,1979,6-2,185
Willie Green,2004,6-4,200
Donte Greene,2009,6-11,226
Orien Greene,2006,6-4,208
Jerry Greenspan,1964,6-5,195
Dave Greenwood,1980,6-9,222
Hal Greer,1959,6-2,175
Lynn Greer,2007,6-2,175
Gary Gregor,1969,6-7,225
Claude Gregory,1986,6-8,205
John Greig,1983,6-7,215
Norm Grekin,1954,6-5,180
Kevin Grevey,1976,6-5,210
Dennis Grey,1969,6-8,215
Adrian Griffin,2000,6-5,217
Blake Griffin,2011,6-10,250
Eddie Griffin,2002,6-10,220
Greg Griffin,1978,6-7,190
Paul Griffin,1977,6-9,205
Taylor Griffin,2010,6-7,238
Darrell Griffith,1981,6-4,190
Chuck Grigsby,1955,6-5,190
Derek Grimm,1998,6-9,230
Woody Grimshaw,1947,6-1,185
Dick Groat,1953,5-11,180
Bob Gross,1976,6-6,200
Mike Grosso,1972,6-9,230
Jerry Grote,1965,6-4,215
Alex Groza,1950,6-7,218
Dick Grubar,1970,6-4,184
Anthony Grundy,2006,6-3,180
Ernie Grunfeld,1978,6-6,210
Gene Guarilia,1960,6-5,220
Petur Gudmundsson,1982,7-2,260
Richie Guerin,1957,6-4,195
Tom Gugliotta,1993,6-10,240
Andres Guibert,1994,6-10,225
Jay Guidinger,1993,6-10,255
Coulby Gunther,1947,6-4,190
Dave Gunther,1963,6-7,190
Al Guokas,1950,6-5,200
Matt Guokas,1947,6-3,195
Matt Guokas,1967,6-5,175
Jorge Gutierrez,2014,6-3,191
A.J. Guyton,2001,6-1,180
Rudy Hackett,1976,6-9,210
Hamed Haddadi,2009,7-2,254
Jim Hadnot,1968,6-10,235
Scott Haffner,1990,6-3,180
Cliff Hagan,1957,6-4,210
Glenn Hagan,1982,6-0,170
Tom Hagan,1970,6-3,185
Robert Hahn,1950,6-10,240
Al Hairston,1969,6-1,170
Happy Hairston,1965,6-7,225
Lindsay Hairston,1976,6-7,180
Malik Hairston,2009,6-6,220
