player,year_min,height,weight
Giannis Antetokounmpo,2014,6-11,242
Thanasis Antetokounmpo,2016,6-7,205
Carmelo Anthony,2004,6-8,240
Greg Anthony,1992,6-0,176
Joel Anthony,2008,6-9,245
Pero Antic,2014,6-11,260
OG Anunoby,2018,6-8,232
Keith Appling,2016,6-1,185
Rafael Araujo,2005,6-11,280
Stacey Arceneaux,1962,6-4,210
Robert Archibald,2003,6-11,250
Tiny Archibald,1971,6-1,150
Ryan Arcidiacono,2018,6-3,200
Jim Ard,1971,6-8,215
Gilbert Arenas,2002,6-3,191
Trevor Ariza,2005,6-8,215
Paul Arizin,1951,6-4,190
Joe Arlauckas,1988,6-9,230
B.J. Armstrong,1990,6-2,175
Bob Armstrong,1957,6-8,220
Brandon Armstrong,2002,6-5,188
Curly Armstrong,1949,5-11,170
Darrell Armstrong,1995,6-0,170
Hilton Armstrong,2007,6-11,235
Tate Armstrong,1978,6-3,175
Jesse Arnelle,1956,6-5,220
Jay Arnette,1964,6-2,175
Bob Arnzen,1970,6-5,205
Carlos Arroyo,2002,6-2,202
Darrell Arthur,2009,6-9,235
John Arthurs,1970,6-4,185
Jamel Artis,2018,6-7,213
Omer Asik,2011,7-0,255
Vincent Askew,1988,6-6,210
Keith Askins,1991,6-7,197
Don Asmonga,1954,6-2,185
Dick Atha,1956,6-2,190
Chucky Atkins,2000,5-11,160
Al Attles,1961,6-0,175
Chet Aubuchon,1947,5-10,137
Stacey Augmon,1992,6-8,205
D.J. Augustin,2009,6-0,183
James Augustine,2007,6-10,235
Isaac Austin,1992,6-10,255
Johnny Austin,1967,6-0,170
Ken Austin,1984,6-9,205
Anthony Avent,1993,6-9,235
Bird Averitt,1974,6-1,170
William Avery,2000,6-2,197
Dennis Awtrey,1971,6-10,235
Gustavo Ayon,2012,6-10,250
Jeff Ayres,2010,6-9,240
Deandre Ayton,2019,7-1,250
Kelenna Azubuike,2007,6-5,220
Chris Babb,2014,6-5,225
Luke Babbitt,2011,6-9,225
Milos Babic,1991,7-0,240
Johnny Bach,1949,6-2,180
Dwayne Bacon,2018,6-7,221
Henry Bacon,1973,6-3,205
Jim Baechtold,1953,6-4,205
Dalibor Bagaric,2001,7-1,255
John Bagley,1983,6-0,185
Marvin Bagley,2019,6-11,234
Carl Bailey,1982,7-0,210
Gus Bailey,1975,6-5,185
James Bailey,1980,6-9,220
Thurl Bailey,1984,6-11,215
Toby Bailey,1999,6-6,213
Cameron Bairstow,2015,6-9,250
Jimmie Baker,1976,6-9,220
LaMark Baker,1999,6-1,175
Maurice Baker,2005,6-1,175
Norm Baker,1947,6-0,180
Ron Baker,2017,6-4,220
Vin Baker,1994,6-11,232
Wade Baldwin,2017,6-4,200
Renaldo Balkman,2007,6-8,208
Cedric Ball,1991,6-8,210
Lonzo Ball,2018,6-6,190
Greg Ballard,1978,6-7,215
Herschel Baltimore,1947,6-4,195
Mohamed Bamba,2019,7-0,221
Gene Banks,1982,6-7,215
Marcus Banks,2004,6-2,200
Walker Banks,1971,6-10,205
Ken Bannister,1985,6-9,235
Mike Bantom,1974,6-9,200
John Barber,1957,6-6,210
Leandro Barbosa,2004,6-3,194
Steve Bardo,1992,6-5,190
J.J. Barea,2007,6-0,185
Andrea Bargnani,2007,7-0,245
Cliff Barker,1950,6-2,185
Tom Barker,1977,6-11,225
Charles Barkley,1985,6-6,252
Erick Barkley,2001,6-1,177
Don Barksdale,1952,6-6,200
Harrison Barnes,2013,6-8,225
Harry Barnes,1969,6-3,205
Jim Barnes,1965,6-8,210
Marvin Barnes,1975,6-8,210
Matt Barnes,2004,6-7,226
Dick Barnett,1960,6-4,190
Jim Barnett,1967,6-4,170
Nathaniel Barnett,1976,6-3,175
John Barnhill,1963,6-1,180
Norton Barnhill,1977,6-4,205
Leo Barnhorst,1950,6-4,190
John Barr,1947,6-3,205
Mike Barr,1973,6-3,180
Moe Barr,1971,6-4,195
Andre Barrett,2005,5-10,172
Ernie Barrett,1954,6-3,180
Mike Barrett,1970,6-2,155
Earl Barron,2006,7-0,250
Dana Barros,1990,5-11,163
Brent Barry,1996,6-6,185
Drew Barry,1998,6-5,191
Jon Barry,1993,6-4,195
Rick Barry,1966,6-7,205
Ed Bartels,1950,6-5,195
Vic Bartolome,1972,7-0,230
Will Barton,2013,6-6,190
Eddie Basden,2006,6-5,215
Jerry Baskerville,1976,6-7,190
Brandon Bass,2006,6-8,250
Tim Bassett,1974,6-8,225
Maceo Baston,2003,6-9,215
Mengke Bateer,2002,6-11,290
Billy Ray Bates,1980,6-4,210
Keita Bates-Diop,2019,6-9,229
Esteban Batista,2006,6-10,270
Mike Batiste,2003,6-8,225
Tony Battie,1998,6-11,230
Shane Battier,2002,6-8,220
John Battle,1986,6-2,175
Kenny Battle,1990,6-6,210
Dave Batton,1983,6-10,240
Lloyd Batts,1975,6-4,185
Nicolas Batum,2009,6-8,200
