season,player,team,games_played,minutes_per_game
2008-2009,Matt Carroll,DAL,55,11.2
2008-2009,Anthony Carter,DEN,78,22.9
2008-2009,Vince Carter,NJN,80,36.8
2008-2009,Mario Chalmers,MIA,82,32.0
2008-2009,Tyson Chandler,NOP,45,32.1
2008-2009,Wilson Chandler,NYK,82,33.4
2008-2009,Mardy Collins,LAC,48,18.5
2008-2009,Nick Collison,OKC,71,25.8
2008-2009,Mike Conley,MEM,82,30.6
2008-2009,Daequan Cook,MIA,75,24.4
2008-2009,Jamal Crawford,GSW,65,38.1
2008-2009,Javaris Crittenton,WAS,63,18.6
2008-2009,Samuel Dalembert,PHI,82,24.8
2008-2009,Erick Dampier,DAL,80,22.9
2008-2009,Antonio Daniels,NOP,74,13.8
2008-2009,Marquis Daniels,IND,54,31.5
2008-2009,Baron Davis,LAC,65,34.6
2008-2009,Glen Davis,BOS,76,21.5
2008-2009,Ricky Davis,LAC,36,21.8
2008-2009,Luol Deng,CHI,49,34.0
2008-2009,Boris Diaw,CHA,81,34.0
2008-2009,Yakhouba Diawara,MIA,63,13.5
2008-2009,Travis Diener,IND,55,13.1
2008-2009,DeSagana Diop,CHA,75,13.8
2008-2009,Juan Dixon,WAS,50,16.3
2008-2009,Keyon Dooling,NJN,77,26.9
2008-2009,Chris Douglas-Roberts,NJN,44,13.3
2008-2009,Goran Dragic,PHX,55,13.2
2008-2009,Jared Dudley,PHX,68,17.0
2008-2009,Chris Duhon,NYK,79,36.8
2008-2009,Tim Duncan,SAS,75,33.6
2008-2009,Kevin Durant,OKC,74,39.0
2008-2009,Monta Ellis,GSW,25,35.7
2008-2009,Francisco Elson,MIL,59,16.6
2008-2009,Maurice Evans,ATL,80,23.0
2008-2009,Reggie Evans,PHI,79,14.4
2008-2009,Jordan Farmar,LAL,65,18.3
2008-2009,Raymond Felton,CHA,82,37.6
2008-2009,Rudy Fernandez,POR,78,25.6
2007-2008,Gerald Wallace,CHA,62,38.3
2007-2008,Rasheed Wallace,DET,77,30.5
2007-2008,Luke Walton,LAL,74,23.4
2007-2008,Hakim Warrick,MEM,75,23.4
2007-2008,Earl Watson,SEA,78,29.1
2007-2008,Martell Webster,POR,75,28.4
2007-2008,Bonzi Wells,NOP,73,21.4
2007-2008,David West,NOP,76,37.8
2007-2008,Delonte West,CLE,61,25.1
2007-2008,Chris Wilcox,SEA,62,28.0
2007-2008,Damien Wilkins,SEA,76,24.3
2007-2008,Deron Williams,UTA,82,37.3
2007-2008,Jason Williams,MIA,67,28.2
2007-2008,Lou Williams,PHI,80,23.3
2007-2008,Marcus D. Williams,NJN,53,16.1
2007-2008,Marvin Williams,ATL,80,34.6
2007-2008,Mo Williams,MIL,66,36.5
2007-2008,Sean Williams,NJN,73,17.5
2007-2008,Shawne Williams,IND,65,14.9
2007-2008,Shelden Williams,SAC,64,12.1
2007-2008,Metta World Peace,SAC,57,38.1
2007-2008,Antoine Wright,DAL,56,22.0
2007-2008,Dorell Wright,MIA,44,25.1
2007-2008,Julian Wright,NOP,57,11.2
2007-2008,Jianlian Yi,MIL,66,24.9
2007-2008,Nick Young,WAS,75,15.4
2007-2008,Thaddeus Young,PHI,74,21.0
2007-2008,Mike Miller,MEM,70,35.3
2007-2008,Paul Millsap,UTA,82,20.8
2007-2008,Yao Ming,HOU,55,37.2
2007-2008,Cuttino Mobley,LAC,77,35.1
2007-2008,Nazr Mohammed,CHA,82,20.1
2007-2008,Jamario Moon,TOR,78,27.8
2007-2008,Mikki Moore,SAC,82,29.1
2007-2008,Troy Murphy,IND,75,28.1
2007-2008,Flip Murray,IND,42,20.8
2007-2008,Dikembe Mutombo,HOU,39,15.9
2007-2008,Bostjan Nachbar,NJN,75,22.1
2007-2008,Eduardo Najera,DEN,78,21.3
2007-2008,Steve Nash,PHX,81,34.3
2007-2008,Juan Carlos Navarro,MEM,82,25.8
2007-2008,Jameer Nelson,ORL,69,28.4
2007-2008,Rasho Nesterovic,TOR,71,20.9
2007-2008,Ira Newble,LAL,49,14.2
2007-2008,Joakim Noah,CHI,74,20.7
2007-2008,Andres Nocioni,CHI,82,24.6
2007-2008,Dirk Nowitzki,DAL,77,36.0
2007-2008,Jermaine O'Neal,IND,42,28.7
2007-2008,Shaquille O'Neal,PHX,61,28.7
2007-2008,Fabricio Oberto,SAS,82,20.0
2007-2008,Lamar Odom,LAL,77,37.9
2007-2008,Emeka Okafor,CHA,82,33.1
2007-2008,Mehmet Okur,UTA,72,33.2
2007-2008,Travis Outlaw,POR,82,26.7
2007-2008,Zaza Pachulia,ATL,62,15.2
2007-2008,Jannero Pargo,NOP,80,18.7
2007-2008,Anthony Parker,TOR,82,32.1
2007-2008,Smush Parker,LAC,28,21.2
2007-2008,Tony Parker,SAS,69,33.5
2007-2008,Chris Paul,NOP,80,37.6
2007-2008,Sasha Pavlovic,CLE,51,23.3
2007-2008,Kendrick Perkins,BOS,78,24.5
2007-2008,Morris Peterson,NOP,76,23.6
2007-2008,Johan Petro,SEA,72,18.2
2007-2008,Paul Pierce,BOS,80,35.9
2007-2008,Mickael Pietrus,GSW,66,19.9
2007-2008,James Posey,BOS,74,24.6
2007-2008,Leon Powe,BOS,56,14.5
2007-2008,Josh Powell,LAC,64,19.2
2007-2008,Ronnie Price,UTA,61,9.6
2007-2008,Tayshaun Prince,DET,82,32.9
2007-2008,Joel Przybilla,POR,77,23.6
2007-2008,Chris Quinn,MIA,60,22.3
2007-2008,Vladimir Radmanovic,LAL,65,22.8
2007-2008,Zach Randolph,NYK,69,32.5
2007-2008,Theo Ratliff,DET,26,16.8
2007-2008,Michael Redd,MIL,72,37.5
2007-2008,Chris Richard,MIN,52,10.7
2007-2008,Jason Richardson,CHA,82,38.4
