season,player,team,games_played,minutes_per_game
2013-2014,Wilson Chandler,DEN,62,31.1
2013-2014,Earl Clark,NYK,54,14.2
2013-2014,Norris Cole,MIA,82,24.6
2013-2014,Darren Collison,LAC,80,25.9
2013-2014,Nick Collison,OKC,81,16.7
2013-2014,Mike Conley,MEM,73,33.5
2013-2014,DeMarcus Cousins,SAC,71,32.4
2013-2014,Jamal Crawford,LAC,69,30.4
2013-2014,Jordan Crawford,GSW,81,23.0
2013-2014,Jae Crowder,DAL,78,16.1
2013-2014,Dante Cunningham,MIN,81,20.2
2013-2014,Stephen Curry,GSW,78,36.5
2013-2014,Samuel Dalembert,DAL,80,20.2
2013-2014,Brandon Davies,PHI,51,11.3
2013-2014,Anthony Davis,NOP,67,35.2
2013-2014,Ed Davis,MEM,63,15.2
2013-2014,Glen Davis,LAC,68,24.4
2013-2014,Nando De Colo,TOR,47,10.5
2013-2014,Matt Dellavedova,CLE,72,17.7
2013-2014,Luol Deng,CLE,63,35.1
2013-2014,DeMar DeRozan,TOR,79,38.2
2013-2014,Boris Diaw,SAS,79,25.0
2013-2014,Gorgui Dieng,MIN,60,13.6
2013-2014,Toney Douglas,MIA,51,13.2
2013-2014,Chris Douglas-Roberts,CHA,49,20.7
2013-2014,Goran Dragic,PHX,76,35.1
2013-2014,Andre Drummond,DET,81,32.3
2013-2014,Jared Dudley,LAC,74,23.4
2013-2014,Tim Duncan,SAS,74,29.2
2013-2014,Mike Dunleavy,CHI,82,31.5
2013-2014,Kevin Durant,OKC,81,38.5
2013-2014,Monta Ellis,DAL,82,36.9
2013-2014,Jeremy Evans,UTA,66,18.3
2012-2013,Jeff Teague,ATL,80,32.9
2012-2013,Mirza Teletovic,BRK,53,9.4
2012-2013,Sebastian Telfair,TOR,59,16.6
2012-2013,Garrett Temple,WAS,51,22.7
2012-2013,Jason Terry,BOS,79,26.9
2012-2013,Hasheem Thabeet,OKC,66,11.7
2012-2013,Isaiah Thomas,SAC,79,26.9
2012-2013,Lance Thomas,NOP,59,11.0
2012-2013,Jason Thompson,SAC,82,27.9
2012-2013,Klay Thompson,GSW,82,35.8
2012-2013,Tristan Thompson,CLE,82,31.3
2012-2013,Marcus Thornton,SAC,72,24.0
2012-2013,Jamaal Tinsley,UTA,66,18.5
2012-2013,Anthony Tolliver,ATL,62,15.5
2012-2013,P.J. Tucker,PHX,79,24.2
2012-2013,Ronny Turiaf,LAC,65,10.8
2012-2013,Evan Turner,PHI,82,35.3
2012-2013,Ekpe Udoh,MIL,76,17.3
2012-2013,Beno Udrih,ORL,66,22.1
2012-2013,Jonas Valanciunas,TOR,62,23.9
2012-2013,Anderson Varejao,CLE,25,36.0
2012-2013,Greivis Vasquez,NOP,78,34.4
2012-2013,Jan Vesely,WAS,51,11.8
2012-2013,Charlie Villanueva,DET,69,15.8
2012-2013,Nikola Vucevic,ORL,77,33.2
2012-2013,Dwyane Wade,MIA,69,34.6
2012-2013,Dion Waiters,CLE,61,28.8
2012-2013,Kemba Walker,CHA,82,34.9
2012-2013,John Wall,WAS,49,32.7
2012-2013,Gerald Wallace,BRK,69,30.1
2012-2013,Luke Walton,CLE,50,17.1
2012-2013,C.J. Watson,BRK,80,19.0
2012-2013,Earl Watson,UTA,48,17.3
2012-2013,Martell Webster,WAS,76,28.9
2012-2013,David West,IND,73,33.4
2012-2013,Russell Westbrook,OKC,82,34.9
2012-2013,Chris Wilcox,BOS,61,13.6
2012-2013,Damien Wilkins,PHI,61,18.0
2012-2013,Deron Williams,BRK,78,36.4
2012-2013,Derrick Williams,MIN,78,24.6
2012-2013,Lou Williams,ATL,39,28.7
2012-2013,Marvin Williams,UTA,73,23.7
2012-2013,Mo Williams,UTA,46,30.8
2012-2013,Metta World Peace,LAL,75,33.7
2012-2013,Brandan Wright,DAL,64,17.9
2012-2013,Dorell Wright,PHI,79,22.6
2012-2013,Nick Young,PHI,59,23.9
2012-2013,Sam Young,IND,56,12.4
2012-2013,Thaddeus Young,PHI,76,34.6
2012-2013,Tyler Zeller,CLE,77,26.4
2012-2013,Shaun Livingston,CLE,66,22.0
2012-2013,Brook Lopez,BRK,74,30.5
2012-2013,Robin Lopez,NOP,82,26.0
2012-2013,Kevin Love,MIN,18,34.3
2012-2013,Kyle Lowry,TOR,68,29.7
2012-2013,John Lucas,TOR,63,13.1
2012-2013,Ian Mahinmi,IND,80,16.5
2012-2013,Shawn Marion,DAL,67,30.0
2012-2013,Kendall Marshall,PHX,48,14.6
2012-2013,Cartier Martin,WAS,41,16.9
2012-2013,Kenyon Martin,NYK,18,24.0
2012-2013,Kevin Martin,OKC,77,27.7
2012-2013,Roger Mason,NOP,69,17.7
2012-2013,Wesley Matthews,POR,69,34.8
2012-2013,Jason Maxiell,DET,72,24.8
2012-2013,Eric Maynor,POR,64,15.0
2012-2013,O.J. Mayo,DAL,82,35.5
2012-2013,Luc Mbah a Moute,MIL,58,22.9
2012-2013,JaVale McGee,DEN,79,18.1
2012-2013,Josh McRoberts,CHA,67,22.2
2012-2013,Jodie Meeks,LAL,78,21.3
2012-2013,C.J. Miles,CLE,65,21.0
2012-2013,Andre Miller,DEN,82,26.2
2012-2013,Darius Miller,NOP,52,13.3
2012-2013,Mike Miller,MIA,59,15.2
2012-2013,Patty Mills,SAS,58,11.3
2012-2013,Paul Millsap,UTA,78,30.4
2012-2013,Nazr Mohammed,CHI,63,11.0
2012-2013,Greg Monroe,DET,81,33.2
2012-2013,E'Twaun Moore,ORL,75,22.4
2012-2013,Darius Morris,LAL,48,14.2
2012-2013,Marcus Morris,PHX,77,19.8
2012-2013,Markieff Morris,PHX,82,22.4
2012-2013,Donatas Motiejunas,HOU,44,12.2
2012-2013,Arnett Moultrie,PHI,47,11.5
2012-2013,Byron Mullens,CHA,53,26.9
2012-2013,Steve Nash,LAL,50,32.5
2012-2013,Gary Neal,SAS,68,21.8
2012-2013,Jameer Nelson,ORL,56,35.3
2012-2013,Maybyner Nene,WAS,61,27.2
2012-2013,Andrew Nicholson,ORL,75,16.7
2012-2013,Joakim Noah,CHI,66,36.8
2012-2013,Steve Novak,NYK,81,20.3
2012-2013,Dirk Nowitzki,DAL,53,31.3
2012-2013,Jermaine O'Neal,PHX,55,18.7
2012-2013,Kyle O'Quinn,ORL,57,11.2
2012-2013,Lamar Odom,LAC,82,19.7
2012-2013,Emeka Okafor,WAS,79,26.0
2012-2013,Zaza Pachulia,ATL,52,21.8
2012-2013,Jannero Pargo,CHA,32,15.9
2012-2013,Jeremy Pargo,PHI,39,16.8
2012-2013,Tony Parker,SAS,66,32.9
2012-2013,Chandler Parsons,HOU,76,36.3
2012-2013,Patrick Patterson,SAC,71,25.0
2012-2013,Chris Paul,LAC,70,33.4
2012-2013,Sasha Pavlovic,POR,39,13.5
2012-2013,Nikola Pekovic,MIN,62,31.6
2012-2013,Kendrick Perkins,OKC,78,25.1
2012-2013,Paul Pierce,BOS,77,33.4
2012-2013,Quincy Pondexter,MEM,59,21.1
2012-2013,A.J. Price,WAS,57,22.4
2012-2013,Ronnie Price,POR,39,13.1
2012-2013,Pablo Prigioni,NYK,78,16.2
2012-2013,Tayshaun Prince,MEM,82,32.1
2012-2013,Zach Randolph,MEM,76,34.3
2012-2013,J.J. Redick,MIL,78,30.5
2012-2013,Jason Richardson,PHI,33,28.4
2012-2013,Luke Ridnour,MIN,82,30.2
2012-2013,Austin Rivers,NOP,61,23.2
2012-2013,Brian Roberts,NOP,78,17.0
2012-2013,Nate Robinson,CHI,82,25.4
2012-2013,Thomas Robinson,HOU,70,15.1
2012-2013,Rajon Rondo,BOS,38,37.4
2012-2013,Terrence Ross,TOR,73,17.0
2012-2013,Ricky Rubio,MIN,57,29.7
2012-2013,John Salmons,SAC,76,30.0
2012-2013,Larry Sanders,MIL,71,27.3
2012-2013,Luis Scola,PHX,82,26.6
2012-2013,Thabo Sefolosha,OKC,81,27.5
2012-2013,Kevin Seraphin,WAS,79,21.8
2012-2013,Ramon Sessions,CHA,61,27.1
2012-2013,Iman Shumpert,NYK,45,22.1
2012-2013,Alexey Shved,MIN,77,23.9
2012-2013,Kyle Singler,DET,82,28.0
2012-2013,Chris Singleton,WAS,57,16.2
2012-2013,Greg Smith,HOU,70,15.9
2012-2013,Ish Smith,MIL,52,9.9
2012-2013,J.R. Smith,NYK,80,33.5
2012-2013,Jason Smith,NOP,51,17.2
2012-2013,Josh Smith,ATL,76,35.3
2012-2013,Marreese Speights,CLE,79,16.5
2012-2013,Tiago Splitter,SAS,81,24.7
2012-2013,Jerry Stackhouse,BRK,37,14.7
2012-2013,Lance Stephenson,IND,78,29.2
2012-2013,DeShawn Stevenson,ATL,56,20.7
2012-2013,Greg Stiemsma,MIN,76,15.9
2012-2013,Amar'e Stoudemire,NYK,29,23.5
2012-2013,Rodney Stuckey,DET,76,28.6
2012-2013,Jared Sullinger,BOS,45,19.8
2012-2013,Jeffery Taylor,CHA,77,19.6
2012-2013,Reggie Evans,BRK,80,24.6
2012-2013,Tyreke Evans,SAC,65,31.0
2012-2013,Festus Ezeli,GSW,78,14.4
2012-2013,Kenneth Faried,DEN,80,28.1
2012-2013,Derrick Favors,UTA,77,23.2
2012-2013,Raymond Felton,NYK,68,34.0
2012-2013,Landry Fields,TOR,51,20.3
2012-2013,Derek Fisher,OKC,33,17.4
2012-2013,Randy Foye,UTA,82,27.4
2012-2013,Jimmer Fredette,SAC,69,14.0
2012-2013,Danilo Gallinari,DEN,71,32.5
2012-2013,Francisco Garcia,HOU,58,17.7
2012-2013,Kevin Garnett,BOS,68,29.7
2012-2013,Marc Gasol,MEM,80,35.0
2012-2013,Pau Gasol,LAL,49,33.8
2012-2013,Rudy Gay,TOR,75,35.8
2012-2013,Alonzo Gee,CLE,82,31.0
2012-2013,Mickael Gelabale,MIN,36,17.9
2012-2013,Paul George,IND,79,37.6
2012-2013,Daniel Gibson,CLE,46,20.0
2012-2013,Taj Gibson,CHI,65,22.5
2012-2013,Manu Ginobili,SAS,60,23.2
2012-2013,Ben Gordon,CHA,75,20.8
2012-2013,Eric Gordon,NOP,42,30.1
2012-2013,Marcin Gortat,PHX,61,30.7
2012-2013,Aaron Gray,TOR,43,11.9
2012-2013,Danny Green,SAS,80,27.5
2012-2013,Draymond Green,GSW,79,13.4
2012-2013,Gerald Green,IND,60,18.0
2012-2013,Jeff Green,BOS,81,27.8
2012-2013,Willie Green,LAC,72,16.5
2012-2013,Blake Griffin,LAC,80,32.5
2012-2013,Richard Hamilton,CHI,50,21.8
2012-2013,Tyler Hansbrough,IND,81,16.9
2012-2013,James Harden,HOU,78,38.3
2012-2013,Maurice Harkless,ORL,76,26.0
2012-2013,Devin Harris,ATL,58,24.5
2012-2013,Tobias Harris,ORL,55,23.6
2012-2013,Udonis Haslem,MIA,75,18.9
2012-2013,Spencer Hawes,PHI,82,27.2
2012-2013,Chuck Hayes,SAC,74,16.3
2012-2013,Gordon Hayward,UTA,72,29.2
2012-2013,Brendan Haywood,CHA,61,19.1
2012-2013,Gerald Henderson,CHA,68,31.4
2012-2013,Xavier Henry,NOP,50,12.5
2012-2013,John Henson,MIL,63,13.1
2012-2013,Roy Hibbert,IND,79,28.7
2012-2013,J.J. Hickson,POR,80,29.0
2012-2013,George Hill,IND,76,34.5
2012-2013,Jordan Hill,LAL,29,15.8
2012-2013,Kirk Hinrich,CHI,60,29.4
2012-2013,Jrue Holiday,PHI,78,37.5
2012-2013,Ryan Hollins,LAC,60,11.1
2012-2013,Al Horford,ATL,74,37.2
2012-2013,Dwight Howard,LAL,76,35.8
2012-2013,Kris Humphries,BRK,65,18.3
2012-2013,Serge Ibaka,OKC,80,31.1
2012-2013,Andre Iguodala,DEN,80,34.7
2012-2013,Ersan Ilyasova,MIL,73,27.6
2012-2013,Kyrie Irving,CLE,59,34.7
2012-2013,Royal Ivey,PHI,53,13.2
2012-2013,Jarrett Jack,GSW,79,29.7
2012-2013,Reggie Jackson,OKC,70,14.2
2012-2013,Stephen Jackson,SAS,55,19.5
2012-2013,LeBron James,MIA,76,37.9
2012-2013,Mike James,DAL,45,19.2
2012-2013,Antawn Jamison,LAL,76,21.5
2012-2013,Al Jefferson,UTA,78,33.1
2012-2013,Richard Jefferson,GSW,56,10.1
2012-2013,John Jenkins,ATL,61,14.8
2012-2013,Brandon Jennings,MIL,80,36.2
2012-2013,Jonas Jerebko,DET,49,18.2
2012-2013,Amir Johnson,TOR,81,28.7
2012-2013,Ivan Johnson,ATL,69,15.0
2012-2013,James Johnson,SAC,54,16.3
2012-2013,Joe Johnson,BRK,72,36.7
2012-2013,Orlando Johnson,IND,51,12.1
2012-2013,Wesley Johnson,PHX,50,19.1
2012-2013,Dahntay Jones,ATL,78,13.0
2012-2013,DeQuan Jones,ORL,63,12.7
2012-2013,DeAndre Jordan,LAC,82,24.5
2012-2013,Cory Joseph,SAS,28,13.9
2012-2013,Chris Kaman,DAL,66,20.7
2012-2013,Enes Kanter,UTA,70,15.4
2012-2013,Jason Kidd,NYK,76,26.9
2012-2013,Michael Kidd-Gilchrist,CHA,78,26.0
2012-2013,Andrei Kirilenko,MIN,64,31.8
2012-2013,Brandon Knight,DET,75,31.5
2012-2013,Kyle Korver,ATL,74,30.5
2012-2013,Kosta Koufos,DEN,81,22.4
2012-2013,Doron Lamb,ORL,47,12.3
2012-2013,Carl Landry,GSW,81,23.2
2012-2013,Ty Lawson,DEN,73,34.4
2012-2013,Courtney Lee,BOS,78,24.9
2012-2013,David Lee,GSW,79,36.8
2012-2013,Kawhi Leonard,SAS,58,31.2
2012-2013,Meyers Leonard,POR,69,17.5
2012-2013,Rashard Lewis,MIA,55,14.4
2012-2013,Damian Lillard,POR,82,38.6
2012-2013,Jeremy Lin,HOU,82,32.2
2012-2013,Jeff Adrien,CHA,52,13.7
2012-2013,Arron Afflalo,ORL,64,36.0
2012-2013,LaMarcus Aldridge,POR,74,37.7
2012-2013,Lavoy Allen,PHI,79,21.1
2012-2013,Ray Allen,MIA,79,25.8
2012-2013,Tony Allen,MEM,79,26.7
2012-2013,Al-Farouq Aminu,NOP,76,27.2
2012-2013,Chris Andersen,MIA,42,14.9
2012-2013,Alan Anderson,TOR,65,23.0
2012-2013,Ryan Anderson,NOP,81,30.9
2012-2013,Carmelo Anthony,NYK,67,37.0
2012-2013,Joel Anthony,MIA,62,9.1
2012-2013,Trevor Ariza,WAS,56,26.3
2012-2013,Darrell Arthur,MEM,59,16.4
2012-2013,Omer Asik,HOU,82,30.0
2012-2013,D.J. Augustin,IND,76,16.1
2012-2013,Gustavo Ayon,MIL,54,13.6
2012-2013,Luke Babbitt,POR,62,11.8
2012-2013,Leandro Barbosa,BOS,41,12.5
2012-2013,J.J. Barea,MIN,74,23.1
2012-2013,Andrea Bargnani,TOR,35,28.6
2012-2013,Harrison Barnes,GSW,81,25.4
2012-2013,Matt Barnes,LAC,80,25.7
2012-2013,Will Barton,POR,73,12.2
2012-2013,Brandon Bass,BOS,81,27.6
2012-2013,Shane Battier,MIA,72,24.8
2012-2013,Nicolas Batum,POR,73,38.4
2012-2013,Jerryd Bayless,MEM,80,22.1
2012-2013,Bradley Beal,WAS,56,31.2
2012-2013,Michael Beasley,PHX,75,20.7
2012-2013,Rodrigue Beaubois,DAL,45,12.2
2012-2013,Marco Belinelli,CHI,73,25.8
2012-2013,Patrick Beverley,HOU,41,17.4
2012-2013,Andris Biedrins,GSW,53,9.3
2012-2013,Chauncey Billups,LAC,22,19.0
2012-2013,Bismack Biyombo,CHA,80,27.3
2012-2013,DeJuan Blair,SAS,61,14.0
2012-2013,Steve Blake,LAL,45,26.1
2012-2013,Andray Blatche,BRK,82,19.0
2012-2013,Eric Bledsoe,LAC,76,20.4
2012-2013,Keith Bogans,BRK,74,19.0
2012-2013,Andrew Bogut,GSW,32,24.6
2012-2013,Matt Bonner,SAS,68,13.4
2012-2013,Trevor Booker,WAS,48,18.5
2012-2013,Carlos Boozer,CHI,79,32.2
2012-2013,Chris Bosh,MIA,74,33.2
2012-2013,Avery Bradley,BOS,50,28.7
2012-2013,Elton Brand,DAL,72,21.2
2012-2013,Corey Brewer,DEN,82,24.4
2012-2013,Ronnie Brewer,OKC,60,14.2
2012-2013,Aaron Brooks,HOU,53,18.8
2012-2013,MarShon Brooks,BRK,73,12.5
2012-2013,Shannon Brown,PHX,59,23.8
2012-2013,Kobe Bryant,LAL,78,38.6
2012-2013,Chase Budinger,MIN,23,22.1
2012-2013,Alec Burks,UTA,64,17.8
2012-2013,Caron Butler,LAC,78,24.1
2012-2013,Jimmy Butler,CHI,82,26.0
2012-2013,Will Bynum,DET,65,18.8
2012-2013,Jose Calderon,DET,73,29.6
2012-2013,DeMarre Carroll,UTA,66,16.8
2012-2013,Vince Carter,DAL,81,25.8
2012-2013,Omri Casspi,CLE,43,11.7
2012-2013,Mario Chalmers,MIA,77,26.9
2012-2013,Tyson Chandler,NYK,66,32.8
2012-2013,Wilson Chandler,DEN,43,25.1
2012-2013,Earl Clark,LAL,59,23.1
2012-2013,Victor Claver,POR,49,16.6
2012-2013,Norris Cole,MIA,80,19.9
2012-2013,Darren Collison,DAL,81,29.3
2012-2013,Nick Collison,OKC,81,19.5
2012-2013,Mike Conley,MEM,80,34.5
2012-2013,Chris Copeland,NYK,56,15.4
2012-2013,DeMarcus Cousins,SAC,75,30.5
2012-2013,Jamal Crawford,LAC,76,29.3
2012-2013,Jordan Crawford,BOS,70,24.4
2012-2013,Jae Crowder,DAL,78,17.3
2012-2013,Dante Cunningham,MIN,80,25.1
2012-2013,Stephen Curry,GSW,78,38.2
2012-2013,Samuel Dalembert,MIL,47,16.3
2012-2013,Marquis Daniels,MIL,59,18.4
2012-2013,Anthony Davis,NOP,64,28.8
2012-2013,Ed Davis,MEM,81,20.1
2012-2013,Glen Davis,ORL,34,31.3
2012-2013,Austin Daye,MEM,55,12.3
2012-2013,Nando De Colo,SAS,72,12.8
2012-2013,Carlos Delfino,HOU,67,25.2
2012-2013,Luol Deng,CHI,75,38.7
2012-2013,DeMar DeRozan,TOR,82,36.7
2012-2013,Boris Diaw,SAS,75,22.8
2012-2013,Toney Douglas,SAC,71,18.1
2012-2013,Goran Dragic,PHX,77,33.5
2012-2013,Andre Drummond,DET,60,20.7
2012-2013,Jared Dudley,PHX,79,27.5
2012-2013,Chris Duhon,LAL,46,17.8
2012-2013,Tim Duncan,SAS,69,30.1
2012-2013,Mike Dunleavy,MIL,75,25.9
2012-2013,Kevin Durant,OKC,81,38.5
2012-2013,Wayne Ellington,CLE,78,21.3
2012-2013,Monta Ellis,MIL,82,37.5
2011-2012,Greg Stiemsma,BOS,55,13.9
2011-2012,Amar'e Stoudemire,NYK,47,32.8
2011-2012,Rodney Stuckey,DET,55,29.9
2011-2012,Jeff Teague,ATL,66,33.1
2011-2012,Sebastian Telfair,PHX,60,14.9
2011-2012,Jason Terry,DAL,63,31.7
2011-2012,Isaiah Thomas,SAC,65,25.5
2011-2012,Kurt Thomas,POR,53,15.1
2011-2012,Lance Thomas,NOP,42,15.0
2011-2012,Tyrus Thomas,CHA,54,18.8
2011-2012,Jason Thompson,SAC,64,25.9
2011-2012,Klay Thompson,GSW,66,24.4
2011-2012,Tristan Thompson,CLE,60,23.7
2011-2012,Marcus Thornton,SAC,51,34.9
2011-2012,Jamaal Tinsley,UTA,37,13.7
2011-2012,Anthony Tolliver,MIN,51,17.3
2011-2012,Ronny Turiaf,MIA,17,16.4
2011-2012,Hedo Turkoglu,ORL,53,31.2
2011-2012,Evan Turner,PHI,65,26.3
2011-2012,Jeremy Tyler,GSW,42,13.5
2011-2012,Ekpe Udoh,MIL,61,21.1
2011-2012,Beno Udrih,MIL,59,18.3
2011-2012,Anderson Varejao,CLE,25,31.4
2011-2012,Greivis Vasquez,NOP,66,25.8
2011-2012,Jan Vesely,WAS,57,18.9
2011-2012,Nikola Vucevic,PHI,51,15.9
2011-2012,Dwyane Wade,MIA,49,33.2
2011-2012,Von Wafer,ORL,33,14.2
2011-2012,Henry Walker,NYK,33,18.8
2011-2012,Kemba Walker,CHA,66,27.2
2011-2012,John Wall,WAS,66,36.2
2011-2012,Ben Wallace,DET,62,15.8
2011-2012,Gerald Wallace,NJN,58,35.8
2011-2012,Hakim Warrick,PHX,35,14.4
2011-2012,C.J. Watson,CHI,49,23.7
2011-2012,Earl Watson,UTA,50,20.6
2011-2012,Martell Webster,MIN,47,24.2
2011-2012,David West,IND,66,29.2
2011-2012,Delonte West,DAL,44,24.1
2011-2012,Russell Westbrook,OKC,66,35.3
2011-2012,D.J. White,CHA,58,18.9
2011-2012,Chris Wilcox,BOS,28,17.2
2011-2012,Damien Wilkins,DET,60,15.4
2011-2012,Deron Williams,NJN,55,36.3
2011-2012,Derrick Williams,MIN,66,21.5
2011-2012,Jordan Williams,NJN,43,14.8
2011-2012,Lou Williams,PHI,64,26.3
2011-2012,Marvin Williams,ATL,57,26.3
2011-2012,Mo Williams,LAC,52,28.3
2011-2012,Reggie Williams,CHA,33,22.6
2011-2012,Shawne Williams,NJN,25,20.6
2011-2012,Shelden Williams,NJN,58,22.0
2011-2012,Terrence Williams,SAC,30,18.3
2011-2012,Metta World Peace,LAL,64,26.9
2011-2012,Brandan Wright,DAL,49,16.2
2011-2012,Dorell Wright,GSW,61,27.0
2011-2012,Nick Young,LAC,62,27.9
2011-2012,Thaddeus Young,PHI,63,27.9
2011-2012,Rashard Lewis,WAS,28,26.0
2011-2012,Jeremy Lin,NYK,35,26.9
2011-2012,Shaun Livingston,MIL,58,18.8
2011-2012,Robin Lopez,PHX,64,14.0
2011-2012,Kevin Love,MIN,55,39.0
2011-2012,Kyle Lowry,HOU,47,32.1
2011-2012,John Lucas,CHI,49,14.8
2011-2012,Shelvin Mack,WAS,64,12.2
2011-2012,Corey Maggette,CHA,32,27.5
2011-2012,Ian Mahinmi,DAL,61,18.7
2011-2012,Shawn Marion,DAL,63,30.5
2011-2012,Kenyon Martin,LAC,42,22.4
2011-2012,Kevin Martin,HOU,40,31.6
2011-2012,Roger Mason,WAS,52,13.4
2011-2012,Wesley Matthews,POR,66,33.8
2011-2012,Jason Maxiell,DET,65,22.5
2011-2012,O.J. Mayo,MEM,66,26.8
2011-2012,Luc Mbah a Moute,MIL,43,23.5
2011-2012,JaVale McGee,DEN,61,25.2
2011-2012,Tracy McGrady,ATL,52,16.1
2011-2012,Dominic McGuire,GSW,64,17.6
2011-2012,Josh McRoberts,LAL,50,14.4
2011-2012,Jodie Meeks,PHI,66,24.9
2011-2012,C.J. Miles,UTA,56,20.4
2011-2012,Darko Milicic,MIN,29,16.3
2011-2012,Andre Miller,DEN,66,27.4
2011-2012,Mike Miller,MIA,39,19.3
2011-2012,Paul Millsap,UTA,64,32.8
2011-2012,Nazr Mohammed,OKC,63,11.0
2011-2012,Greg Monroe,DET,66,31.5
2011-2012,E'Twaun Moore,BOS,38,8.7
2011-2012,Markieff Morris,PHX,63,19.5
2011-2012,Anthony Morrow,NJN,62,26.4
2011-2012,Timofey Mozgov,DEN,44,15.6
2011-2012,Byron Mullens,CHA,65,22.5
2011-2012,Troy Murphy,LAL,59,16.2
2011-2012,Steve Nash,PHX,62,31.6
2011-2012,Gary Neal,SAS,56,21.5
2011-2012,Jameer Nelson,ORL,57,29.9
2011-2012,Maybyner Nene,WAS,39,28.5
2011-2012,Joakim Noah,CHI,64,30.4
2011-2012,Steve Novak,NYK,54,18.9
2011-2012,Dirk Nowitzki,DAL,62,33.5
2011-2012,Jermaine O'Neal,BOS,25,22.8
2011-2012,Lamar Odom,DAL,50,20.5
2011-2012,Emeka Okafor,NOP,27,28.9
2011-2012,Mehmet Okur,NJN,17,26.7
2011-2012,Travis Outlaw,SAC,39,12.8
2011-2012,Zaza Pachulia,ATL,58,28.3
2011-2012,Jannero Pargo,ATL,50,13.4
2011-2012,Jeremy Pargo,MEM,44,9.6
2011-2012,Anthony Parker,CLE,51,25.1
2011-2012,Tony Parker,SAS,60,32.1
2011-2012,Chandler Parsons,HOU,63,28.6
2011-2012,Patrick Patterson,HOU,64,23.2
2011-2012,Chris Paul,LAC,60,36.3
2011-2012,Sasha Pavlovic,BOS,45,11.7
2011-2012,Nikola Pekovic,MIN,47,26.9
2011-2012,Kendrick Perkins,OKC,65,26.8
2011-2012,Johan Petro,NJN,59,15.6
2011-2012,Paul Pierce,BOS,61,34.0
2011-2012,Mickael Pietrus,BOS,42,21.9
2011-2012,Quincy Pondexter,MEM,64,15.7
2011-2012,A.J. Price,IND,44,12.9
2011-2012,Ronnie Price,PHX,36,14.4
2011-2012,Tayshaun Prince,DET,63,33.1
2011-2012,Joel Przybilla,POR,27,16.6
2011-2012,Vladimir Radmanovic,ATL,49,15.4
2011-2012,Anthony Randolph,MIN,34,15.2
2011-2012,Zach Randolph,MEM,28,26.2
2011-2012,Michael Redd,PHX,51,15.1
2011-2012,J.J. Redick,ORL,65,27.1
2011-2012,Jason Richardson,ORL,54,29.5
2011-2012,Quentin Richardson,ORL,48,18.0
2011-2012,Luke Ridnour,MIN,53,33.0
2011-2012,Nate Robinson,GSW,51,23.4
2011-2012,Rajon Rondo,BOS,53,36.9
2011-2012,Derrick Rose,CHI,39,35.2
2011-2012,Ricky Rubio,MIN,41,34.2
2011-2012,Brandon Rush,GSW,65,26.4
2011-2012,John Salmons,SAC,46,27.2
2011-2012,Samardo Samuels,CLE,54,15.3
2011-2012,Larry Sanders,MIL,52,12.4
2011-2012,Luis Scola,HOU,66,31.3
2011-2012,Thabo Sefolosha,OKC,42,21.8
2011-2012,Kevin Seraphin,WAS,57,20.6
2011-2012,Ramon Sessions,LAL,64,26.7
2011-2012,Iman Shumpert,NYK,59,28.9
2011-2012,Bobby Simmons,LAC,28,14.9
2011-2012,Chris Singleton,WAS,66,21.7
2011-2012,Donald Sloan,CLE,33,20.3
2011-2012,Craig Smith,POR,47,9.9
2011-2012,J.R. Smith,NYK,35,27.6
2011-2012,Jason Smith,NOP,40,23.7
2011-2012,Josh Smith,ATL,66,35.3
2011-2012,Nolan Smith,POR,44,12.3
2011-2012,Marreese Speights,MEM,60,22.4
2011-2012,Tiago Splitter,SAS,59,19.0
2011-2012,Lance Stephenson,IND,42,10.5
2011-2012,DeShawn Stevenson,NJN,51,18.8
2011-2012,Jordan Farmar,NJN,39,21.3
2011-2012,Derrick Favors,UTA,65,21.2
2011-2012,Raymond Felton,POR,60,31.8
2011-2012,Rudy Fernandez,DEN,31,22.9
2011-2012,Landry Fields,NYK,66,28.7
2011-2012,Derek Fisher,OKC,63,23.9
2011-2012,Jonny Flynn,POR,29,14.3
2011-2012,Gary Forbes,TOR,48,14.9
2011-2012,Randy Foye,LAC,65,25.9
2011-2012,Jimmer Fredette,SAC,61,18.6
2011-2012,Channing Frye,PHX,64,26.1
2011-2012,Sundiata Gaines,NJN,57,13.9
2011-2012,Danilo Gallinari,DEN,43,31.4
2011-2012,Francisco Garcia,SAC,49,16.3
2011-2012,Kevin Garnett,BOS,60,31.1
2011-2012,Marc Gasol,MEM,65,36.5
2011-2012,Pau Gasol,LAL,65,37.4
2011-2012,Rudy Gay,MEM,65,37.3
2011-2012,Alonzo Gee,CLE,63,29.0
2011-2012,Paul George,IND,66,29.7
2011-2012,Daniel Gibson,CLE,35,26.2
2011-2012,Taj Gibson,CHI,63,20.4
2011-2012,Manu Ginobili,SAS,34,23.3
2011-2012,Ryan Gomes,LAC,32,13.3
2011-2012,Drew Gooden,MIL,56,26.2
2011-2012,Ben Gordon,DET,52,26.9
2011-2012,Marcin Gortat,PHX,66,32.0
2011-2012,Andrew Goudelock,LAL,40,10.5
2011-2012,Danny Granger,IND,62,33.3
2011-2012,Aaron Gray,TOR,49,16.6
2011-2012,Danny Green,SAS,66,23.1
2011-2012,Gerald Green,NJN,31,25.2
