season,player,team,games_played,minutes_per_game,Number of Games,percentage of games missed,height,weight
07-08,Marko Jaric,MIN,75,29.2,82,8.5,6-7,198
08-09,Marko Jaric,MEM,53,11.4,82,35.4,6-7,198
02-03,Mehmet Okur,DET,72,19.0,82,12.2,6-11,249
03-04,Mehmet Okur,DET,71,22.3,82,13.4,6-11,249
04-05,Mehmet Okur,UTA,82,28.1,82,0.0,6-11,249
05-06,Mehmet Okur,UTA,82,35.9,82,0.0,6-11,249
06-07,Mehmet Okur,UTA,80,33.3,82,2.4,6-11,249
07-08,Mehmet Okur,UTA,72,33.2,82,12.2,6-11,249
08-09,Mehmet Okur,UTA,72,33.5,82,12.2,6-11,249
09-10,Mehmet Okur,UTA,73,29.4,82,11.0,6-11,249
11-12,Mehmet Okur,NJN,17,26.7,66,74.2,6-11,249
02-03,Melvin Ely,LAC,52,15.4,82,36.6,6-10,260
03-04,Melvin Ely,LAC,42,12.1,82,48.8,6-10,260
04-05,Melvin Ely,CHA,79,20.9,82,3.7,6-10,260
05-06,Melvin Ely,CHA,57,23.7,82,30.5,6-10,260
07-08,Melvin Ely,NOP,52,11.9,82,36.6,6-10,260
02-03,Michael Bradley,TOR,67,19.6,82,18.3,6-10,245
02-03,Mike Batiste,MEM,75,16.7,82,8.5,6-8,225
02-03,Mike Dunleavy,GSW,82,15.9,82,0.0,6-3,180
02-03,Mike Dunleavy,GSW,82,15.9,82,0.0,6-9,230
03-04,Mike Dunleavy,GSW,75,31.1,82,8.5,6-3,180
03-04,Mike Dunleavy,GSW,75,31.1,82,8.5,6-9,230
04-05,Mike Dunleavy,GSW,79,32.5,82,3.7,6-3,180
04-05,Mike Dunleavy,GSW,79,32.5,82,3.7,6-9,230
05-06,Mike Dunleavy,GSW,81,31.8,82,1.2,6-3,180
05-06,Mike Dunleavy,GSW,81,31.8,82,1.2,6-9,230
06-07,Mike Dunleavy,IND,82,31.5,82,0.0,6-3,180
06-07,Mike Dunleavy,IND,82,31.5,82,0.0,6-9,230
07-08,Mike Dunleavy,IND,82,36.0,82,0.0,6-3,180
07-08,Mike Dunleavy,IND,82,36.0,82,0.0,6-9,230
09-10,Mike Dunleavy,IND,67,22.2,82,18.3,6-3,180
09-10,Mike Dunleavy,IND,67,22.2,82,18.3,6-9,230
10-11,Mike Dunleavy,IND,61,27.6,82,25.6,6-3,180
10-11,Mike Dunleavy,IND,61,27.6,82,25.6,6-9,230
11-12,Mike Dunleavy,MIL,55,26.3,66,16.7,6-3,180
11-12,Mike Dunleavy,MIL,55,26.3,66,16.7,6-9,230
12-13,Mike Dunleavy,MIL,75,25.9,82,8.5,6-3,180
12-13,Mike Dunleavy,MIL,75,25.9,82,8.5,6-9,230
13-14,Mike Dunleavy,CHI,82,31.5,82,0.0,6-3,180
13-14,Mike Dunleavy,CHI,82,31.5,82,0.0,6-9,230
14-15,Mike Dunleavy,CHI,63,29.2,82,23.2,6-3,180
14-15,Mike Dunleavy,CHI,63,29.2,82,23.2,6-9,230
15-16,Mike Dunleavy,CHI,31,22.7,82,62.2,6-3,180
15-16,Mike Dunleavy,CHI,31,22.7,82,62.2,6-9,230
16-17,Mike Dunleavy,ATL,53,15.9,82,35.4,6-3,180
16-17,Mike Dunleavy,ATL,53,15.9,82,35.4,6-9,230
02-03,Mike James,MIA,78,22.1,82,4.9,6-2,188
02-03,Mike James,MIA,78,22.1,82,4.9,6-1,189
03-04,Mike James,DET,81,27.1,82,1.2,6-2,188
03-04,Mike James,DET,81,27.1,82,1.2,6-1,189
04-05,Mike James,HOU,74,25.1,82,9.8,6-2,188
04-05,Mike James,HOU,74,25.1,82,9.8,6-1,189
05-06,Mike James,TOR,79,37.0,82,3.7,6-2,188
05-06,Mike James,TOR,79,37.0,82,3.7,6-1,189
06-07,Mike James,MIN,82,25.2,82,0.0,6-2,188
06-07,Mike James,MIN,82,25.2,82,0.0,6-1,189
07-08,Mike James,NOP,54,13.3,82,34.1,6-2,188
07-08,Mike James,NOP,54,13.3,82,34.1,6-1,189
08-09,Mike James,WAS,61,27.0,82,25.6,6-2,188
08-09,Mike James,WAS,61,27.0,82,25.6,6-1,189
12-13,Mike James,DAL,45,19.2,82,45.1,6-2,188
12-13,Mike James,DAL,45,19.2,82,45.1,6-1,189
17-18,Mike James,NOP,36,19.1,82,56.1,6-2,188
17-18,Mike James,NOP,36,19.1,82,56.1,6-1,189
02-03,Mike Wilks,MIN,46,15.0,82,43.9,5-10,220
06-07,Mike Wilks,SEA,47,11.4,82,42.7,5-10,220
02-03,Nikoloz Tskitishvili,DEN,81,16.4,82,1.2,7-0,225
02-03,Pat Burke,ORL,62,12.6,82,24.4,6-11,250
02-03,Rasual Butler,MIA,72,21.0,82,12.2,6-7,215
03-04,Rasual Butler,MIA,45,15.0,82,45.1,6-7,215
04-05,Rasual Butler,MIA,65,18.5,82,20.7,6-7,215
05-06,Rasual Butler,NOP,79,23.7,82,3.7,6-7,215
06-07,Rasual Butler,NOP,81,27.4,82,1.2,6-7,215
07-08,Rasual Butler,NOP,51,17.2,82,37.8,6-7,215
08-09,Rasual Butler,NOP,82,31.9,82,0.0,6-7,215
09-10,Rasual Butler,LAC,82,33.0,82,0.0,6-7,215
10-11,Rasual Butler,CHI,47,16.4,82,42.7,6-7,215
11-12,Rasual Butler,TOR,33,13.7,66,50.0,6-7,215
14-15,Rasual Butler,WAS,75,20.1,82,8.5,6-7,215
02-03,Reggie Evans,SEA,67,20.4,82,18.3,6-8,245
03-04,Reggie Evans,SEA,75,17.1,82,8.5,6-8,245
04-05,Reggie Evans,SEA,79,23.8,82,3.7,6-8,245
05-06,Reggie Evans,DEN,67,20.8,82,18.3,6-8,245
06-07,Reggie Evans,DEN,66,17.1,82,19.5,6-8,245
07-08,Reggie Evans,PHI,81,23.2,82,1.2,6-8,245
08-09,Reggie Evans,PHI,79,14.4,82,3.7,6-8,245
10-11,Reggie Evans,TOR,30,26.6,82,63.4,6-8,245
11-12,Reggie Evans,LAC,56,13.8,66,15.2,6-8,245
12-13,Reggie Evans,BRK,80,24.6,82,2.4,6-8,245
13-14,Reggie Evans,SAC,54,16.6,82,34.1,6-8,245
14-15,Reggie Evans,SAC,47,16.3,82,42.7,6-8,245
02-03,Rodney White,DEN,72,21.7,82,12.2,6-9,210
03-04,Rodney White,DEN,72,13.7,82,12.2,6-9,210
04-05,Rodney White,GSW,58,11.7,82,29.3,6-9,210
02-03,Smush Parker,CLE,66,16.7,82,19.5,6-4,190
05-06,Smush Parker,LAL,82,33.8,82,0.0,6-4,190
06-07,Smush Parker,LAL,82,30.0,82,0.0,6-4,190
07-08,Smush Parker,LAC,28,21.2,82,65.9,6-4,190
02-03,Tayshaun Prince,DET,42,10.4,82,48.8,6-9,212
03-04,Tayshaun Prince,DET,82,32.9,82,0.0,6-9,212
04-05,Tayshaun Prince,DET,82,37.1,82,0.0,6-9,212
05-06,Tayshaun Prince,DET,82,35.3,82,0.0,6-9,212
06-07,Tayshaun Prince,DET,82,36.6,82,0.0,6-9,212
07-08,Tayshaun Prince,DET,82,32.9,82,0.0,6-9,212
08-09,Tayshaun Prince,DET,82,37.3,82,0.0,6-9,212
09-10,Tayshaun Prince,DET,49,34.0,82,40.2,6-9,212
10-11,Tayshaun Prince,DET,78,32.8,82,4.9,6-9,212
11-12,Tayshaun Prince,DET,63,33.1,66,4.5,6-9,212
12-13,Tayshaun Prince,MEM,82,32.1,82,0.0,6-9,212
13-14,Tayshaun Prince,MEM,76,25.6,82,7.3,6-9,212
14-15,Tayshaun Prince,DET,58,24.1,82,29.3,6-9,212
15-16,Tayshaun Prince,MIN,77,19.0,82,6.1,6-9,212
02-03,Tremaine Fowlkes,LAC,37,15.5,82,54.9,6-8,220
02-03,Vincent Yarbrough,DEN,59,23.4,82,28.0,6-7,210
02-03,Yao Ming,HOU,82,29.1,82,0.0,7-6,310
03-04,Yao Ming,HOU,82,32.8,82,0.0,7-6,310
04-05,Yao Ming,HOU,80,30.6,82,2.4,7-6,310
05-06,Yao Ming,HOU,57,34.2,82,30.5,7-6,310
06-07,Yao Ming,HOU,48,33.8,82,41.5,7-6,310
07-08,Yao Ming,HOU,55,37.2,82,32.9,7-6,310
08-09,Yao Ming,HOU,77,33.6,82,6.1,7-6,310
02-03,Zach Randolph,POR,77,16.9,82,6.1,6-9,250
03-04,Zach Randolph,POR,81,37.9,82,1.2,6-9,250
04-05,Zach Randolph,POR,46,34.8,82,43.9,6-9,250
05-06,Zach Randolph,POR,74,34.4,82,9.8,6-9,250
06-07,Zach Randolph,POR,68,35.7,82,17.1,6-9,250
07-08,Zach Randolph,NYK,69,32.5,82,15.9,6-9,250
08-09,Zach Randolph,LAC,50,35.1,82,39.0,6-9,250
09-10,Zach Randolph,MEM,81,37.7,82,1.2,6-9,250
10-11,Zach Randolph,MEM,75,36.3,82,8.5,6-9,250
11-12,Zach Randolph,MEM,28,26.2,66,57.6,6-9,250
12-13,Zach Randolph,MEM,76,34.3,82,7.3,6-9,250
13-14,Zach Randolph,MEM,79,34.2,82,3.7,6-9,250
14-15,Zach Randolph,MEM,71,32.4,82,13.4,6-9,250
15-16,Zach Randolph,MEM,68,29.7,82,17.1,6-9,250
16-17,Zach Randolph,MEM,73,24.5,82,11.0,6-9,250
17-18,Zach Randolph,SAC,59,25.6,82,28.0,6-9,250
03-04,Amal McCaskill,PHI,59,10.8,82,28.0,6-11,235
03-04,Ansu Sesay,SEA,57,10.2,82,30.5,6-9,225
03-04,Bobby Simmons,LAC,56,24.6,82,31.7,6-7,210
04-05,Bobby Simmons,LAC,75,37.3,82,8.5,6-7,210
05-06,Bobby Simmons,MIL,75,33.8,82,8.5,6-7,210
07-08,Bobby Simmons,MIL,70,21.7,82,14.6,6-7,210
08-09,Bobby Simmons,NJN,71,24.4,82,13.4,6-7,210
11-12,Bobby Simmons,LAC,28,14.9,66,57.6,6-7,210
03-04,Boris Diaw,ATL,76,25.2,82,7.3,6-8,250
04-05,Boris Diaw,ATL,66,18.2,82,19.5,6-8,250
05-06,Boris Diaw,PHX,81,35.5,82,1.2,6-8,250
06-07,Boris Diaw,PHX,73,31.1,82,11.0,6-8,250
07-08,Boris Diaw,PHX,82,28.1,82,0.0,6-8,250
08-09,Boris Diaw,CHA,81,34.0,82,1.2,6-8,250
09-10,Boris Diaw,CHA,82,35.4,82,0.0,6-8,250
10-11,Boris Diaw,CHA,82,33.9,82,0.0,6-8,250
11-12,Boris Diaw,SAS,57,25.0,66,13.6,6-8,250
12-13,Boris Diaw,SAS,75,22.8,82,8.5,6-8,250
13-14,Boris Diaw,SAS,79,25.0,82,3.7,6-8,250
14-15,Boris Diaw,SAS,81,24.5,82,1.2,6-8,250
15-16,Boris Diaw,SAS,76,18.2,82,7.3,6-8,250
16-17,Boris Diaw,UTA,73,17.6,82,11.0,6-8,250
03-04,Bostjan Nachbar,HOU,45,11.5,82,45.1,6-9,221
04-05,Bostjan Nachbar,NOP,71,18.9,82,13.4,6-9,221
05-06,Bostjan Nachbar,NJN,36,13.9,82,56.1,6-9,221
06-07,Bostjan Nachbar,NJN,76,20.2,82,7.3,6-9,221
07-08,Bostjan Nachbar,NJN,75,22.1,82,8.5,6-9,221
03-04,Brian Cardinal,GSW,76,21.5,82,7.3,6-8,245
04-05,Brian Cardinal,MEM,58,24.7,82,29.3,6-8,245
08-09,Brian Cardinal,MIN,64,14.2,82,22.0,6-8,245
10-11,Brian Cardinal,DAL,56,11.0,82,31.7,6-8,245
03-04,Brian Cook,LAL,35,12.6,82,57.3,6-9,234
04-05,Brian Cook,LAL,72,15.1,82,12.2,6-9,234
05-06,Brian Cook,LAL,81,18.9,82,1.2,6-9,234
06-07,Brian Cook,LAL,65,15.7,82,20.7,6-9,234
07-08,Brian Cook,ORL,51,12.3,82,37.8,6-9,234
03-04,Carlos Arroyo,UTA,71,28.3,82,13.4,6-2,202
04-05,Carlos Arroyo,DET,70,20.7,82,14.6,6-2,202
05-06,Carlos Arroyo,ORL,77,15.5,82,6.1,6-2,202
06-07,Carlos Arroyo,ORL,72,18.1,82,12.2,6-2,202
07-08,Carlos Arroyo,ORL,62,20.5,82,24.4,6-2,202
09-10,Carlos Arroyo,MIA,72,22.0,82,12.2,6-2,202
10-11,Carlos Arroyo,BOS,64,18.5,82,22.0,6-2,202
03-04,Carmelo Anthony,DEN,82,36.5,82,0.0,6-8,240
04-05,Carmelo Anthony,DEN,75,34.8,82,8.5,6-8,240
05-06,Carmelo Anthony,DEN,80,36.8,82,2.4,6-8,240
06-07,Carmelo Anthony,DEN,65,38.2,82,20.7,6-8,240
07-08,Carmelo Anthony,DEN,77,36.4,82,6.1,6-8,240
08-09,Carmelo Anthony,DEN,66,34.5,82,19.5,6-8,240
09-10,Carmelo Anthony,DEN,69,38.2,82,15.9,6-8,240
10-11,Carmelo Anthony,NYK,77,35.7,82,6.1,6-8,240
11-12,Carmelo Anthony,NYK,55,34.1,66,16.7,6-8,240
12-13,Carmelo Anthony,NYK,67,37.0,82,18.3,6-8,240
13-14,Carmelo Anthony,NYK,77,38.7,82,6.1,6-8,240
14-15,Carmelo Anthony,NYK,40,35.7,82,51.2,6-8,240
15-16,Carmelo Anthony,NYK,72,35.1,82,12.2,6-8,240
16-17,Carmelo Anthony,NYK,74,34.3,82,9.8,6-8,240
17-18,Carmelo Anthony,OKC,78,32.1,82,4.9,6-8,240
03-04,Chris Bosh,TOR,75,33.5,82,8.5,6-11,235
04-05,Chris Bosh,TOR,81,37.2,82,1.2,6-11,235
05-06,Chris Bosh,TOR,70,39.3,82,14.6,6-11,235
06-07,Chris Bosh,TOR,69,38.5,82,15.9,6-11,235
07-08,Chris Bosh,TOR,67,36.2,82,18.3,6-11,235
08-09,Chris Bosh,TOR,77,38.0,82,6.1,6-11,235
09-10,Chris Bosh,TOR,70,36.1,82,14.6,6-11,235
10-11,Chris Bosh,MIA,77,36.3,82,6.1,6-11,235
11-12,Chris Bosh,MIA,57,35.2,66,13.6,6-11,235
12-13,Chris Bosh,MIA,74,33.2,82,9.8,6-11,235
13-14,Chris Bosh,MIA,79,32.0,82,3.7,6-11,235
14-15,Chris Bosh,MIA,44,35.4,82,46.3,6-11,235
15-16,Chris Bosh,MIA,53,33.5,82,35.4,6-11,235
03-04,Chris Kaman,LAC,82,22.5,82,0.0,7-0,265
04-05,Chris Kaman,LAC,63,25.9,82,23.2,7-0,265
05-06,Chris Kaman,LAC,78,32.8,82,4.9,7-0,265
06-07,Chris Kaman,LAC,75,29.0,82,8.5,7-0,265
07-08,Chris Kaman,LAC,56,37.2,82,31.7,7-0,265
08-09,Chris Kaman,LAC,31,29.7,82,62.2,7-0,265
09-10,Chris Kaman,LAC,76,34.3,82,7.3,7-0,265
10-11,Chris Kaman,LAC,32,26.2,82,61.0,7-0,265
11-12,Chris Kaman,NOP,47,29.2,66,28.8,7-0,265
12-13,Chris Kaman,DAL,66,20.7,82,19.5,7-0,265
13-14,Chris Kaman,LAL,39,18.9,82,52.4,7-0,265
14-15,Chris Kaman,POR,74,18.9,82,9.8,7-0,265
03-04,Chris Wilcox,LAC,65,20.6,82,20.7,6-10,165
04-05,Chris Wilcox,LAC,54,18.6,82,34.1,6-10,165
05-06,Chris Wilcox,SEA,77,19.9,82,6.1,6-10,165
06-07,Chris Wilcox,SEA,82,31.5,82,0.0,6-10,165
07-08,Chris Wilcox,SEA,62,28.0,82,24.4,6-10,165
08-09,Chris Wilcox,NYK,62,16.9,82,24.4,6-10,165
10-11,Chris Wilcox,DET,57,17.5,82,30.5,6-10,165
11-12,Chris Wilcox,BOS,28,17.2,66,57.6,6-10,165
12-13,Chris Wilcox,BOS,61,13.6,82,25.6,6-10,165
03-04,Darius Songaila,SAC,73,13.4,82,11.0,6-9,248
04-05,Darius Songaila,SAC,81,20.6,82,1.2,6-9,248
05-06,Darius Songaila,CHI,62,21.4,82,24.4,6-9,248
06-07,Darius Songaila,WAS,37,18.9,82,54.9,6-9,248
07-08,Darius Songaila,WAS,80,19.4,82,2.4,6-9,248
08-09,Darius Songaila,WAS,77,19.8,82,6.1,6-9,248
09-10,Darius Songaila,NOP,75,18.8,82,8.5,6-9,248
03-04,David West,NOP,71,13.1,82,13.4,6-9,180
04-05,David West,NOP,30,18.4,82,63.4,6-9,180
05-06,David West,NOP,74,34.1,82,9.8,6-9,180
06-07,David West,NOP,52,36.5,82,36.6,6-9,180
07-08,David West,NOP,76,37.8,82,7.3,6-9,180
08-09,David West,NOP,76,39.2,82,7.3,6-9,180
09-10,David West,NOP,81,36.4,82,1.2,6-9,180
10-11,David West,NOP,70,35.0,82,14.6,6-9,180
11-12,David West,IND,66,29.2,66,0.0,6-9,180
12-13,David West,IND,73,33.4,82,11.0,6-9,180
13-14,David West,IND,80,30.9,82,2.4,6-9,180
14-15,David West,IND,66,28.7,82,19.5,6-9,180
15-16,David West,SAS,78,18.0,82,4.9,6-9,180
16-17,David West,GSW,68,12.6,82,17.1,6-9,180
17-18,David West,GSW,73,13.7,82,11.0,6-9,180
03-04,Devin Brown,SAS,58,10.8,82,29.3,6-5,220
04-05,Devin Brown,SAS,67,18.5,82,18.3,6-5,220
05-06,Devin Brown,UTA,81,21.1,82,1.2,6-5,220
06-07,Devin Brown,NOP,58,28.7,82,29.3,6-5,220
07-08,Devin Brown,CLE,78,22.6,82,4.9,6-5,220
08-09,Devin Brown,NOP,63,13.8,82,23.2,6-5,220
09-10,Devin Brown,CHI,50,21.2,82,39.0,6-5,220
03-04,Doug Overton,LAC,61,16.9,82,25.6,6-3,190
03-04,Dwyane Wade,MIA,61,34.9,82,25.6,6-4,220
04-05,Dwyane Wade,MIA,77,38.6,82,6.1,6-4,220
05-06,Dwyane Wade,MIA,75,38.6,82,8.5,6-4,220
06-07,Dwyane Wade,MIA,51,37.9,82,37.8,6-4,220
07-08,Dwyane Wade,MIA,51,38.3,82,37.8,6-4,220
08-09,Dwyane Wade,MIA,79,38.6,82,3.7,6-4,220
09-10,Dwyane Wade,MIA,77,36.3,82,6.1,6-4,220
10-11,Dwyane Wade,MIA,76,37.1,82,7.3,6-4,220
11-12,Dwyane Wade,MIA,49,33.2,66,25.8,6-4,220
12-13,Dwyane Wade,MIA,69,34.6,82,15.9,6-4,220
13-14,Dwyane Wade,MIA,54,32.9,82,34.1,6-4,220
14-15,Dwyane Wade,MIA,62,31.8,82,24.4,6-4,220
15-16,Dwyane Wade,MIA,74,30.5,82,9.8,6-4,220
16-17,Dwyane Wade,CHI,60,29.9,82,26.8,6-4,220
17-18,Dwyane Wade,MIA,67,22.9,82,18.3,6-4,220
03-04,Francisco Elson,DEN,62,14.1,82,24.4,7-0,235
04-05,Francisco Elson,DEN,67,14.0,82,18.3,7-0,235
05-06,Francisco Elson,DEN,72,21.9,82,12.2,7-0,235
06-07,Francisco Elson,SAS,70,19.0,82,14.6,7-0,235
07-08,Francisco Elson,SEA,63,12.9,82,23.2,7-0,235
08-09,Francisco Elson,MIL,59,16.6,82,28.0,7-0,235
10-11,Francisco Elson,UTA,62,9.8,82,24.4,7-0,235
03-04,Fred Jones,IND,81,18.6,82,1.2,6-4,210
04-05,Fred Jones,IND,77,29.5,82,6.1,6-4,210
05-06,Fred Jones,IND,68,27.0,82,17.1,6-4,210
06-07,Fred Jones,POR,63,20.9,82,23.2,6-4,210
07-08,Fred Jones,NYK,70,25.1,82,14.6,6-4,210
08-09,Fred Jones,LAC,52,28.8,82,36.6,6-4,210
03-04,Jared Jeffries,WAS,82,23.3,82,0.0,6-11,230
04-05,Jared Jeffries,WAS,77,26.1,82,6.1,6-11,230
05-06,Jared Jeffries,WAS,77,25.3,82,6.1,6-11,230
06-07,Jared Jeffries,NYK,55,23.8,82,32.9,6-11,230
07-08,Jared Jeffries,NYK,73,18.1,82,11.0,6-11,230
08-09,Jared Jeffries,NYK,56,23.4,82,31.7,6-11,230
09-10,Jared Jeffries,HOU,70,25.6,82,14.6,6-11,230
10-11,Jared Jeffries,NYK,42,14.3,82,48.8,6-11,230
11-12,Jared Jeffries,NYK,39,18.7,66,40.9,6-11,230
03-04,Jarvis Hayes,WAS,70,29.2,82,14.6,6-7,220
04-05,Jarvis Hayes,WAS,54,28.9,82,34.1,6-7,220
05-06,Jarvis Hayes,WAS,21,24.6,82,74.4,6-7,220
06-07,Jarvis Hayes,WAS,81,20.1,82,1.2,6-7,220
07-08,Jarvis Hayes,DET,82,15.7,82,0.0,6-7,220
08-09,Jarvis Hayes,NJN,74,24.8,82,9.8,6-7,220
09-10,Jarvis Hayes,NJN,45,22.9,82,45.1,6-7,220
03-04,Jason Collier,ATL,20,27.2,82,75.6,7-0,260
04-05,Jason Collier,ATL,70,13.5,82,14.6,7-0,260
03-04,Jason Hart,SAS,53,12.5,82,35.4,6-3,185
04-05,Jason Hart,CHA,74,25.5,82,9.8,6-3,185
05-06,Jason Hart,SAC,66,12.4,82,19.5,6-3,185
06-07,Jason Hart,LAC,36,23.5,82,56.1,6-3,185
07-08,Jason Hart,UTA,57,10.6,82,30.5,6-3,185
03-04,Jiri Welsch,BOS,81,26.9,82,1.2,6-7,208
04-05,Jiri Welsch,CLE,71,18.6,82,13.4,6-7,208
05-06,Jiri Welsch,MIL,58,14.9,82,29.3,6-7,208
03-04,Josh Howard,DAL,67,23.7,82,18.3,6-7,210
04-05,Josh Howard,DAL,76,32.2,82,7.3,6-7,210
05-06,Josh Howard,DAL,59,32.5,82,28.0,6-7,210
06-07,Josh Howard,DAL,70,35.1,82,14.6,6-7,210
07-08,Josh Howard,DAL,76,36.3,82,7.3,6-7,210
08-09,Josh Howard,DAL,52,32.0,82,36.6,6-7,210
09-10,Josh Howard,WAS,35,26.2,82,57.3,6-7,210
11-12,Josh Howard,UTA,43,23.0,66,34.8,6-7,210
03-04,Keith Bogans,ORL,73,24.5,82,11.0,6-5,215
04-05,Keith Bogans,CHA,74,24.2,82,9.8,6-5,215
05-06,Keith Bogans,HOU,72,26.6,82,12.2,6-5,215
06-07,Keith Bogans,ORL,59,16.8,82,28.0,6-5,215
07-08,Keith Bogans,ORL,82,26.8,82,0.0,6-5,215
08-09,Keith Bogans,MIL,65,19.6,82,20.7,6-5,215
09-10,Keith Bogans,SAS,79,19.7,82,3.7,6-5,215
10-11,Keith Bogans,CHI,82,17.8,82,0.0,6-5,215
12-13,Keith Bogans,BRK,74,19.0,82,9.8,6-5,215
03-04,Kirk Hinrich,CHI,76,35.6,82,7.3,6-4,190
04-05,Kirk Hinrich,CHI,77,36.4,82,6.1,6-4,190
05-06,Kirk Hinrich,CHI,81,36.5,82,1.2,6-4,190
06-07,Kirk Hinrich,CHI,80,35.5,82,2.4,6-4,190
07-08,Kirk Hinrich,CHI,75,31.7,82,8.5,6-4,190
08-09,Kirk Hinrich,CHI,51,26.2,82,37.8,6-4,190
09-10,Kirk Hinrich,CHI,74,33.5,82,9.8,6-4,190
10-11,Kirk Hinrich,ATL,72,30.0,82,12.2,6-4,190
11-12,Kirk Hinrich,ATL,48,25.8,66,27.3,6-4,190
12-13,Kirk Hinrich,CHI,60,29.4,82,26.8,6-4,190
13-14,Kirk Hinrich,CHI,73,29.0,82,11.0,6-4,190
14-15,Kirk Hinrich,CHI,66,24.4,82,19.5,6-4,190
15-16,Kirk Hinrich,ATL,46,13.7,82,43.9,6-4,190
03-04,Kyle Korver,PHI,74,11.9,82,9.8,6-8,215
04-05,Kyle Korver,PHI,82,32.5,82,0.0,6-8,215
05-06,Kyle Korver,PHI,82,31.3,82,0.0,6-8,215
06-07,Kyle Korver,PHI,74,30.9,82,9.8,6-8,215
07-08,Kyle Korver,UTA,75,23.1,82,8.5,6-8,215
08-09,Kyle Korver,UTA,78,24.0,82,4.9,6-8,215
09-10,Kyle Korver,UTA,52,18.3,82,36.6,6-8,215
10-11,Kyle Korver,CHI,82,20.1,82,0.0,6-8,215
11-12,Kyle Korver,CHI,65,22.6,66,1.5,6-8,215
12-13,Kyle Korver,ATL,74,30.5,82,9.8,6-8,215
13-14,Kyle Korver,ATL,71,33.9,82,13.4,6-8,215
14-15,Kyle Korver,ATL,75,32.2,82,8.5,6-8,215
15-16,Kyle Korver,ATL,80,30.0,82,2.4,6-8,215
16-17,Kyle Korver,CLE,67,26.2,82,18.3,6-8,215
17-18,Kyle Korver,CLE,73,21.6,82,11.0,6-8,215
03-04,LeBron James,CLE,79,39.5,82,3.7,6-8,250
04-05,LeBron James,CLE,80,42.4,82,2.4,6-8,250
05-06,LeBron James,CLE,79,42.5,82,3.7,6-8,250
06-07,LeBron James,CLE,78,40.9,82,4.9,6-8,250
07-08,LeBron James,CLE,75,40.4,82,8.5,6-8,250
08-09,LeBron James,CLE,81,37.7,82,1.2,6-8,250
09-10,LeBron James,CLE,76,39.0,82,7.3,6-8,250
10-11,LeBron James,MIA,79,38.8,82,3.7,6-8,250
11-12,LeBron James,MIA,62,37.5,66,6.1,6-8,250
12-13,LeBron James,MIA,76,37.9,82,7.3,6-8,250
13-14,LeBron James,MIA,77,37.7,82,6.1,6-8,250
14-15,LeBron James,CLE,69,36.1,82,15.9,6-8,250
15-16,LeBron James,CLE,76,35.6,82,7.3,6-8,250
16-17,LeBron James,CLE,74,37.8,82,9.8,6-8,250
17-18,LeBron James,CLE,82,36.9,82,0.0,6-8,250
03-04,Leandro Barbosa,PHX,70,21.4,82,14.6,6-3,194
04-05,Leandro Barbosa,PHX,63,17.3,82,23.2,6-3,194
05-06,Leandro Barbosa,PHX,57,27.9,82,30.5,6-3,194
06-07,Leandro Barbosa,PHX,80,32.7,82,2.4,6-3,194
07-08,Leandro Barbosa,PHX,82,29.5,82,0.0,6-3,194
08-09,Leandro Barbosa,PHX,70,24.4,82,14.6,6-3,194
09-10,Leandro Barbosa,PHX,44,17.9,82,46.3,6-3,194
10-11,Leandro Barbosa,TOR,58,24.0,82,29.3,6-3,194
11-12,Leandro Barbosa,IND,64,21.6,66,3.0,6-3,194
12-13,Leandro Barbosa,BOS,41,12.5,82,50.0,6-3,194
14-15,Leandro Barbosa,GSW,66,14.9,82,19.5,6-3,194
15-16,Leandro Barbosa,GSW,68,15.9,82,17.1,6-3,194
16-17,Leandro Barbosa,PHX,67,14.4,82,18.3,6-3,194
03-04,Linton Johnson,CHI,41,18.0,82,50.0,6-8,205
05-06,Linton Johnson,NOP,36,14.6,82,56.1,6-8,205
06-07,Linton Johnson,NOP,54,13.3,82,34.1,6-8,205
03-04,Luke Ridnour,SEA,69,16.2,82,15.9,6-2,175
04-05,Luke Ridnour,SEA,82,31.4,82,0.0,6-2,175
05-06,Luke Ridnour,SEA,79,33.2,82,3.7,6-2,175
06-07,Luke Ridnour,SEA,71,29.5,82,13.4,6-2,175
07-08,Luke Ridnour,SEA,61,20.0,82,25.6,6-2,175
08-09,Luke Ridnour,MIL,72,28.2,82,12.2,6-2,175
09-10,Luke Ridnour,MIL,82,21.4,82,0.0,6-2,175
10-11,Luke Ridnour,MIN,71,30.4,82,13.4,6-2,175
11-12,Luke Ridnour,MIN,53,33.0,66,19.7,6-2,175
12-13,Luke Ridnour,MIN,82,30.2,82,0.0,6-2,175
13-14,Luke Ridnour,CHA,61,18.7,82,25.6,6-2,175
14-15,Luke Ridnour,ORL,47,14.5,82,42.7,6-2,175
03-04,Luke Walton,LAL,72,10.1,82,12.2,6-8,235
04-05,Luke Walton,LAL,61,12.6,82,25.6,6-8,235
05-06,Luke Walton,LAL,69,19.3,82,15.9,6-8,235
06-07,Luke Walton,LAL,60,33.0,82,26.8,6-8,235
07-08,Luke Walton,LAL,74,23.4,82,9.8,6-8,235
08-09,Luke Walton,LAL,65,17.9,82,20.7,6-8,235
12-13,Luke Walton,CLE,50,17.1,82,39.0,6-8,235
03-04,Marcus Banks,BOS,81,17.1,82,1.2,6-2,200
