player,player_salary,season
Terrance Roberson,"$316,969",2000/01
AJ Guyton,"$316,969",2000/01
Jake Voskuhl,"$316,969",2000/01
Khalid El-Amin,"$316,969",2000/01
Eduardo Najera,"$316,969",2000/01
Brian Cardinal,"$316,969",2000/01
Torraye Braggs,"$316,969",2000/01
Marc Jackson,"$316,969",2000/01
Chris Porter,"$316,969",2000/01
Dan Langhi,"$316,969",2000/01
Zendon Hamilton,"$316,969",2000/01
Stanislav Medvedenko,"$316,969",2000/01
Mike Penberthy,"$316,969",2000/01
Eddie House,"$316,969",2000/01
Jason Hart,"$316,969",2000/01
Michael Redd,"$316,969",2000/01
Lavor Postell,"$316,969",2000/01
Pete Mickeal,"$316,969",2000/01
Olumide Oyedeji,"$316,969",2000/01
Ruben Wolkowyski,"$316,969",2000/01
Pepe Sanchez,"$316,969",2000/01
Ademola Okulaja,"$316,969",2000/01
Daniel Santiago,"$316,969",2000/01
Paul McPherson,"$316,969",2000/01
Ruben Garces,"$316,969",2000/01
Jabari Smith,"$316,969",2000/01
Ira Newble,"$316,969",2000/01
Chris Carrawell,"$316,969",2000/01
Garth Joseph,"$316,969",2000/01
Mike Smith,"$316,969",2000/01
Mark Karcher,"$50,000",2000/01
Anthony Miller,"$40,000",2000/01
Jamal Robinson,"$40,000",2000/01
Shaquille O'Neal,"$20,000,000",2005/06
Allan Houston,"$19,125,000",2005/06
Chris Webber,"$19,125,000",2005/06
Michael Finley,"$18,612,500",2005/06
Kevin Garnett,"$18,000,000",2005/06
Stephon Marbury,"$16,453,125",2005/06
Allen Iverson,"$16,453,125",2005/06
Jason Kidd,"$16,440,000",2005/06
Jermaine O'Neal,"$16,440,000",2005/06
Brian Grant,"$16,006,220",2005/06
Kobe Bryant,"$15,946,875",2005/06
Tim Duncan,"$15,845,156",2005/06
Anfernee Hardaway,"$15,750,000",2005/06
Keith Van Horn,"$15,694,250",2005/06
Tracy McGrady,"$15,694,250",2005/06
Grant Hill,"$15,694,250",2005/06
Jalen Rose,"$15,694,250",2005/06
Eddie Jones,"$14,576,250",2005/06
Tim Thomas,"$13,975,000",2005/06
Antonio Davis,"$13,925,000",2005/06
Paul Pierce,"$13,843,156",2005/06
Vince Carter,"$13,843,156",2005/06
Dirk Nowitzki,"$13,843,156",2005/06
Antawn Jamison,"$13,843,156",2005/06
Baron Davis,"$13,700,000",2005/06
Steve Francis,"$13,700,000",2005/06
Shawn Marion,"$13,700,000",2005/06
Ray Allen,"$13,223,140",2005/06
Elton Brand,"$13,152,000",2005/06
Joe Johnson,"$12,000,000",2005/06
Michael Redd,"$12,000,000",2005/06
Theo Ratliff,"$11,666,666",2005/06
Carlos Boozer,"$11,593,816",2005/06
Mike Bibby,"$11,500,000",2005/06
Lamar Odom,"$11,465,333",2005/06
Pau Gasol,"$10,993,000",2005/06
Andrei Kirilenko,"$10,983,000",2005/06
Rasheed Wallace,"$10,860,000",2005/06
Derek Anderson,"$10,763,000",2005/06
Zach Randolph,"$10,666,667",2005/06
Kenyon Martin,"$10,636,364",2005/06
Raef LaFrentz,"$10,623,288",2005/06
Larry Hughes,"$10,344,900",2005/06
Gilbert Arenas,"$10,243,200",2005/06
Richard Jefferson,"$10,200,000",2005/06
Jamal Mashburn,"$10,075,000",2005/06
Wally Szczerbiak,"$10,000,000",2005/06
Doug Christie,"$9,775,000",2005/06
Steve Nash,"$9,625,000",2005/06
Vin Baker,"$9,183,333",2005/06
Marcus Camby,"$9,150,000",2005/06
Maurice Taylor,"$9,100,000",2005/06
Tyson Chandler,"$9,000,000",2005/06
Shandon Anderson,"$8,935,000",2005/06
Jason Richardson,"$8,888,888",2005/06
Brad Miller,"$8,750,000",2005/06
Zydrunas Ilgauskas,"$8,740,000",2005/06
Erick Dampier,"$8,662,500",2005/06
Kelvin Cato,"$8,640,000",2005/06
Richard Hamilton,"$8,625,000",2005/06
Rashard Lewis,"$8,571,429",2005/06
Jamaal Magloire,"$8,533,333",2005/06
Aaron McKie,"$8,500,000",2005/06
Samuel Dalembert,"$8,470,000",2005/06
Tony Parker,"$8,400,000",2005/06
Jerry Stackhouse,"$8,367,187",2005/06
Mehmet Okur,"$8,250,000",2005/06
Andre Miller,"$8,100,000",2005/06
Bobby Simmons,"$8,000,000",2005/06
PJ Brown,"$8,000,000",2005/06
Bonzi Wells,"$8,000,000",2005/06
Austin Croshere,"$7,900,000",2005/06
Lorenzen Wright,"$7,700,000",2005/06
Jason Williams,"$7,562,500",2005/06
Ben Wallace,"$7,500,000",2005/06
Kwame Brown,"$7,500,000",2005/06
Predrag Stojakovic,"$7,500,000",2005/06
Manu Ginobili,"$7,428,937",2005/06
Eddy Curry,"$7,390,000",2005/06
Troy Murphy,"$7,365,079",2005/06
Desmond Mason,"$7,333,333",2005/06
Adonal Foyle,"$7,312,500",2005/06
Calvin Booth,"$7,255,098",2005/06
Darius Miles,"$7,250,000",2005/06
Cuttino Mobley,"$7,200,000",2005/06
Jonathan Bender,"$7,175,000",2005/06
Corey Maggette,"$7,000,000",2005/06
Al Harrington,"$6,957,500",2005/06
Quentin Richardson,"$6,940,000",2005/06
Antoine Walker,"$6,880,000",2005/06
Sam Cassell,"$6,875,000",2005/06
Metta World Peace,"$6,842,105",2005/06
Mike Miller,"$6,750,000",2005/06
Radoslav Nesterovic,"$6,720,000",2005/06
Jason Terry,"$6,666,667",2005/06
Jerome Williams,"$6,620,063",2005/06
Kurt Thomas,"$6,620,062",2005/06
Kenny Thomas,"$6,500,000",2005/06
Jamal Crawford,"$6,480,000",2005/06
Lamond Murray,"$6,388,500",2005/06
Clarence Weatherspoon,"$6,353,200",2005/06
Joe Smith,"$6,353,200",2005/06
Todd MacCulloch,"$6,353,200",2005/06
Ruben Patterson,"$6,353,200",2005/06
Alvin Williams,"$6,300,000",2005/06
Scot Pollard,"$6,274,937",2005/06
Danny Fortson,"$6,207,670",2005/06
Malik Rose,"$6,008,750",2005/06
Reggie Miller,"$6,000,000",2005/06
Corliss Williamson,"$6,000,000",2005/06
Howard Eisley,"$5,926,984",2005/06
Ricky Davis,"$5,909,800",2005/06
Chauncey Billups,"$5,909,800",2005/06
Juwan Howard,"$5,900,400",2005/06
James Posey,"$5,900,400",2005/06
Michael Olowokandi,"$5,900,400",2005/06
Stephen Jackson,"$5,610,000",2005/06
Yao Ming,"$5,594,906",2005/06
Mark Blount,"$5,515,875",2005/06
Jason Collins,"$5,500,000",2005/06
Nazr Mohammed,"$5,500,000",2005/06
Eric Snow,"$5,484,375",2005/06
Eddie Robinson,"$5,444,444",2005/06
Jamaal Tinsley,"$5,400,000",2005/06
Marquis Daniels,"$5,393,300",2005/06
Antonio McDyess,"$5,393,300",2005/06
Derek Fisher,"$5,393,300",2005/06
Brian Cardinal,"$5,393,300",2005/06
Hidayet Turkoglu,"$5,393,300",2005/06
Etan Thomas,"$5,393,300",2005/06
Troy Hudson,"$5,253,000",2005/06
Tony Battie,"$5,200,000",2005/06
Alonzo Mourning,"$5,138,500",2005/06
David Wesley,"$5,070,000",2005/06
Matt Harpring,"$5,020,000",2005/06
Devean George,"$5,000,600",2005/06
Gerald Wallace,"$5,000,000",2005/06
Earl Watson,"$5,000,000",2005/06
Stromile Swift,"$5,000,000",2005/06
Jeff Foster,"$5,000,000",2005/06
Udonis Haslem,"$5,000,000",2005/06
Marko Jaric,"$5,000,000",2005/06
Jerome James,"$5,000,000",2005/06
Shareef Abdur-Rahim,"$5,000,000",2005/06
Antonio Daniels,"$5,000,000",2005/06
Brian Skinner,"$4,950,000",2005/06
Shane Battier,"$4,903,000",2005/06
Donyell Marshall,"$4,799,108",2005/06
Dan Gadzuric,"$4,750,000",2005/06
Brent Barry,"$4,691,390",2005/06
LeBron James,"$4,621,800",2005/06
Brevin Knight,"$4,600,000",2005/06
Marc Jackson,"$4,550,000",2005/06
Morris Peterson,"$4,550,000",2005/06
Mike Dunleavy,"$4,506,261",2005/06
Shawn Bradley,"$4,500,000",2005/06
Chucky Atkins,"$4,500,000",2005/06
Dwight Howard,"$4,493,160",2005/06
Greg Ostertag,"$4,400,000",2005/06
Trenton Hassell,"$4,350,000",2005/06
Andrew Bogut,"$4,340,520",2005/06
Raja Bell,"$4,250,000",2005/06
Moochie Norris,"$4,200,000",2005/06
Eduardo Najera,"$4,190,476",2005/06
Darko Milicic,"$4,135,200",2005/06
Drew Gooden,"$4,065,811",2005/06
Emeka Okafor,"$4,020,120",2005/06
Zaza Pachulia,"$4,000,000",2005/06
Carlos Arroyo,"$4,000,000",2005/06
Sarunas Jasikevicius,"$4,000,000",2005/06
Gordan Giricek,"$4,000,000",2005/06
Brendan Haywood,"$4,000,000",2005/06
Eric Williams,"$3,938,000",2005/06
Marvin Williams,"$3,883,560",2005/06
Rafer Alston,"$3,850,000",2005/06
Chris Mihm,"$3,792,817",2005/06
Damon Stoudamire,"$3,750,000",2005/06
Carmelo Anthony,"$3,713,640",2005/06
Evan Eschmeyer,"$3,711,400",2005/06
Tariq Abdul-Wahad,"$3,656,250",2005/06
Kyle Korver,"$3,630,363",2005/06
Ben Gordon,"$3,610,200",2005/06
Speedy Claxton,"$3,600,000",2005/06
Greg Buckner,"$3,595,926",2005/06
Damon Jones,"$3,590,000",2005/06
Voshon Lenard,"$3,520,000",2005/06
Bob Sura,"$3,520,000",2005/06
Tyronn Lue,"$3,500,000",2005/06
Othella Harrington,"$3,500,000",2005/06
Dale Davis,"$3,500,000",2005/06
Chris Andersen,"$3,500,000",2005/06
Deron Williams,"$3,487,400",2005/06
Mike James,"$3,410,000",2005/06
Jeff McInnis,"$3,400,000",2005/06
Tony Delk,"$3,375,000",2005/06
Bobby Jackson,"$3,375,000",2005/06
Bruce Bowen,"$3,375,000",2005/06
Aaron Williams,"$3,375,000",2005/06
Chris Bosh,"$3,348,000",2005/06
Vitaly Potapenko,"$3,320,000",2005/06
Shaun Livingston,"$3,254,880",2005/06
Pat Garrity,"$3,231,250",2005/06
George Lynch,"$3,200,000",2005/06
Vladimir Radmanovic,"$3,166,155",2005/06
Chris Paul,"$3,144,240",2005/06
Keyon Dooling,"$3,100,000",2005/06
Nenê,"$3,039,889",2005/06
Dwyane Wade,"$3,031,920",2005/06
Kareem Rush,"$3,000,000",2005/06
Eric Piatkowski,"$3,000,000",2005/06
Zeljko Rebraca,"$3,000,000",2005/06
Stanislav Medvedenko,"$3,000,000",2005/06
Robert Horry,"$3,000,000",2005/06
Ira Newble,"$2,950,200",2005/06
Kevin Ollie,"$2,950,200",2005/06
Devin Harris,"$2,947,440",2005/06
Iakovos Tsakalidis,"$2,900,000",2005/06
Raymond Felton,"$2,847,360",2005/06
Chris Wilcox,"$2,812,239",2005/06
Chris Duhon,"$2,800,000",2005/06
Steven Hunter,"$2,800,000",2005/06
Andres Nocioni,"$2,775,000",2005/06
Chris Kaman,"$2,753,760",2005/06
Primoz Brezec,"$2,750,000",2005/06
Earl Boykins,"$2,750,000",2005/06
DeShawn Stevenson,"$2,750,000",2005/06
Josh Childress,"$2,677,200",2005/06
Michael Doleac,"$2,640,000",2005/06
Jim Jackson,"$2,640,000",2005/06
Amare Stoudemire,"$2,589,023",2005/06
Brian Scalabrine,"$2,586,207",2005/06
Martell Webster,"$2,586,120",2005/06
Kirk Hinrich,"$2,513,880",2005/06
Clifford Robinson,"$2,500,000",2005/06
Eddie Griffin,"$2,500,000",2005/06
Arvydas Macijauskas,"$2,500,000",2005/06
Bostjan Nachbar,"$2,500,000",2005/06
Damien Wilkins,"$2,500,000",2005/06
Juan Dixon,"$2,500,000",2005/06
Devin Brown,"$2,500,000",2005/06
Caron Butler,"$2,461,617",2005/06
Luol Deng,"$2,443,920",2005/06
Jared Jeffries,"$2,433,824",2005/06
Anthony Johnson,"$2,420,000",2005/06
Melvin Ely,"$2,401,027",2005/06
James Jones,"$2,400,000",2005/06
Charlie Villanueva,"$2,360,880",2005/06
Fred Jones,"$2,328,843",2005/06
Fabricio Oberto,"$2,325,000",2005/06
TJ Ford,"$2,303,040",2005/06
Dan Dickau,"$2,250,000",2005/06
Rafael Araujo,"$2,238,960",2005/06
Darius Songaila,"$2,200,000",2005/06
Jose Calderon,"$2,190,000",2005/06
Jiri Welsch,"$2,177,114",2005/06
Channing Frye,"$2,162,880",2005/06
Mike Sweetney,"$2,116,920",2005/06
Andre Iguodala,"$2,058,000",2005/06
Jarvis Hayes,"$2,011,080",2005/06
Derrick Coleman,"$2,000,000",2005/06
Dikembe Mutombo,"$2,000,000",2005/06
Vlade Divac,"$2,000,000",2005/06
Toni Kukoc,"$2,000,000",2005/06
Mark Madsen,"$2,000,000",2005/06
Matt Bonner,"$2,000,000",2005/06
Ike Diogu,"$1,988,160",2005/06
Curtis Borchardt,"$1,969,993",2005/06
Luke Jackson,"$1,955,160",2005/06
Jake Voskuhl,"$1,937,500",2005/06
Mickael Pietrus,"$1,910,520",2005/06
Andrew Bynum,"$1,888,680",2005/06
Jumaine Jones,"$1,875,000",2005/06
Charlie Ward,"$1,870,000",2005/06
Andris Biedrins,"$1,857,360",2005/06
DeSagana Diop,"$1,850,000",2005/06
Nick Collison,"$1,815,000",2005/06
Jon Barry,"$1,800,000",2005/06
Robert Swift,"$1,764,480",2005/06
Tayshaun Prince,"$1,763,115",2005/06
Ron Mercer,"$1,760,000",2005/06
Lindsey Hunter,"$1,760,000",2005/06
Calbert Cheaney,"$1,760,000",2005/06
Wesley Person,"$1,760,000",2005/06
Maurice Williams,"$1,760,000",2005/06
Fred Hoiberg,"$1,760,000",2005/06
Ibo Kutluay,"$1,760,000",2005/06
Raul Lopez,"$1,744,313",2005/06
Marcus Banks,"$1,724,280",2005/06
Yaroslav Korolev,"$1,704,480",2005/06
Jarron Collins,"$1,700,000",2005/06
Sebastian Telfair,"$1,676,280",2005/06
Scott Padgett,"$1,670,000",2005/06
Malik Allen,"$1,670,000",2005/06
Michael Ruffin,"$1,670,000",2005/06
John Salmons,"$1,669,001",2005/06
Jason Collier,"$1,650,000",2005/06
Luke Ridnour,"$1,638,000",2005/06
Sean May,"$1,619,280",2005/06
Kris Humphries,"$1,592,400",2005/06
Joel Przybilla,"$1,560,000",2005/06
Reece Gaines,"$1,556,160",2005/06
Jason Hart,"$1,540,000",2005/06
Rashad McCants,"$1,538,400",2005/06
Al Jefferson,"$1,512,840",2005/06
Maurice Evans,"$1,500,000",2005/06
Troy Bell,"$1,478,280",2005/06
Antoine Wright,"$1,461,360",2005/06
Kirk Snyder,"$1,437,240",2005/06
Zarko Cabarkapa,"$1,404,360",2005/06
Milt Palacio,"$1,400,000",2005/06
Joey Graham,"$1,388,400",2005/06
Josh Smith,"$1,365,360",2005/06
Jermaine Jackson,"$1,355,067",2005/06
David West,"$1,334,160",2005/06
Danny Granger,"$1,318,920",2005/06
Rasual Butler,"$1,300,000",2005/06
JR Smith,"$1,297,080",2005/06
Aleksandar Pavlovic,"$1,274,160",2005/06
Gerald Green,"$1,253,040",2005/06
Luke Walton,"$1,250,000",2005/06
Keith McLeod,"$1,250,000",2005/06
Dorell Wright,"$1,238,640",2005/06
Dahntay Jones,"$1,223,160",2005/06
Hakim Warrick,"$1,196,520",2005/06
Jameer Nelson,"$1,189,200",2005/06
Boris Diaw,"$1,174,200",2005/06
Julius Hodge,"$1,148,760",2005/06
Pavel Podkolzin,"$1,141,560",2005/06
Alan Henderson,"$1,138,500",2005/06
Darrell Armstrong,"$1,138,500",2005/06
Bryon Russell,"$1,138,500",2005/06
Gary Payton,"$1,138,500",2005/06
Ervin Johnson,"$1,138,500",2005/06
Bo Outlaw,"$1,138,500",2005/06
Stacey Augmon,"$1,138,500",2005/06
Nick Van Exel,"$1,138,500",2005/06
Zoran Planinic,"$1,127,280",2005/06
Nate Robinson,"$1,102,680",2005/06
Matt Carroll,"$1,100,000",2005/06
Jason Kapono,"$1,100,000",2005/06
Reggie Evans,"$1,100,000",2005/06
Viktor Khryapa,"$1,095,960",2005/06
Jacque Vaughn,"$1,094,550",2005/06
Travis Outlaw,"$1,082,160",2005/06
Jarrett Jack,"$1,058,640",2005/06
Brian Cook,"$1,038,960",2005/06
Walter McCarty,"$1,035,000",2005/06
Rick Brunson,"$1,029,873",2005/06
Mikki Moore,"$1,020,000",2005/06
Sergey Monya,"$1,016,400",2005/06
Francisco Garcia,"$1,016,400",2005/06
Delonte West,"$1,010,040",2005/06
Nenad Krstic,"$1,010,040",2005/06
John Edwards,"$1,000,000",2005/06
Steve Blake,"$1,000,000",2005/06
Luther Head,"$975,600",2005/06
Tony Allen,"$969,696",2005/06
Carlos Delfino,"$969,696",2005/06
Ndudi Ebi,"$964,320",2005/06
Darrick Martin,"$946,646",2005/06
Kevin Martin,"$937,440",2005/06
Johan Petro,"$936,600",2005/06
Kendrick Perkins,"$936,480",2005/06
Leandro Barbosa,"$930,600",2005/06
Josh Howard,"$923,880",2005/06
Sasha Vujacic,"$910,440",2005/06
Jason Maxiell,"$905,640",2005/06
Beno Udrih,"$904,800",2005/06
Ryan Bowen,"$900,498",2005/06
Anthony Carter,"$900,498",2005/06
Maciej Lampe,"$900,000",2005/06
David Harrison,"$898,200",2005/06
Jannero Pargo,"$895,248",2005/06
Ronald Murray,"$895,248",2005/06
Didier Ilunga-Mbenga,"$880,000",2005/06
Linas Kleiza,"$879,360",2005/06
Keith Bogans,"$869,373",2005/06
Wayne Simien,"$867,720",2005/06
Anderson Varejao,"$866,800",2005/06
David Lee,"$861,360",2005/06
DerMarr Johnson,"$835,810",2005/06
Terence Morris,"$835,810",2005/06
Lee Nailon,"$835,810",2005/06
Eddie House,"$835,810",2005/06
Sean Marks,"$835,810",2005/06
Eddie Gill,"$819,551",2005/06
Michael Bradley,"$819,550",2005/06
Loren Woods,"$780,000",2005/06
Charles Smith,"$771,123",2005/06
Adrian Griffin,"$768,718",2005/06
Pat Burke,"$750,000",2005/06
Mike Wilks,"$745,248",2005/06
Lonny Baxter,"$745,248",2005/06
Laron Profit,"$745,248",2005/06
Smush Parker,"$745,248",2005/06
Nikoloz Tskitishvili,"$745,248",2005/06
Linton Johnson,"$719,373",2005/06
Francisco Elson,"$719,373",2005/06
Richie Frahm,"$719,373",2005/06
Ronald Dupree,"$719,373",2005/06
Jamal Sampson,"$719,373",2005/06
Quinton Ross,"$700,000",2005/06
Matt Barnes,"$683,862",2005/06
Jackson Vroman,"$682,051",2005/06
Trevor Ariza,"$682,051",2005/06
Romain Sato,"$682,051",2005/06
Lionel Chalmers,"$682,050",2005/06
Mario Kasun,"$682,050",2005/06
Salim Stoudamire,"$675,000",2005/06
Peter John Ramos,"$660,000",2005/06
Donta Smith,"$641,748",2005/06
Royal Ivey,"$641,748",2005/06
Justin Reed,"$641,748",2005/06
Bernard Robinson,"$641,748",2005/06
Antonio Burks,"$641,748",2005/06
Andre Emmett,"$641,748",2005/06
Charlie Bell,"$641,748",2005/06
Ha Seung-Jin,"$641,748",2005/06
Pape Sow,"$641,748",2005/06
Awvee Storey,"$641,748",2005/06
James Singleton,"$625,000",2005/06
Qyntel Woods,"$599,834",2005/06
Daniel Ewing,"$450,000",2005/06
Louis Williams,"$450,000",2005/06
Monta Ellis,"$448,762",2005/06
Ryan Gomes,"$428,762",2005/06
Chris Taft,"$423,762",2005/06
Esteban Batista,"$398,762",2005/06
Orien Greene,"$398,762",2005/06
Alan Anderson,"$398,762",2005/06
Kevin Burleson,"$398,762",2005/06
Eddie Basden,"$398,762",2005/06
Martynas Andriuskevicius,"$398,762",2005/06
Josh Powell,"$398,762",2005/06
Rawle Marshall,"$398,762",2005/06
Alex Acker,"$398,762",2005/06
Amir Johnson,"$398,762",2005/06
Boniface N'Dong,"$398,762",2005/06
Von Wafer,"$398,762",2005/06
Devin Green,"$398,762",2005/06
Anthony Roberson,"$398,762",2005/06
Lawrence Roberts,"$398,762",2005/06
Earl Barron,"$398,762",2005/06
Ersan Ilyasova,"$398,762",2005/06
Bracey Wright,"$398,762",2005/06
Dwayne Jones,"$398,762",2005/06
Brandon Bass,"$398,762",2005/06
Jackie Butler,"$398,762",2005/06
Travis Diener,"$398,762",2005/06
Shavlik Randolph,"$398,762",2005/06
Dijon Thompson,"$398,762",2005/06
Ronnie Price,"$398,762",2005/06
CJ Miles,"$398,762",2005/06
Robert Whaley,"$398,762",2005/06
Andre Owens,"$398,762",2005/06
Andray Blatche,"$398,762",2005/06
Donell Taylor,"$398,762",2005/06
Samaki Walker,"$364,223",2005/06
Gerald Fitch,"$359,858",2005/06
Zendon Hamilton,"$329,138",2005/06
Mateen Cleaves,"$305,784",2005/06
John Thomas,"$282,118",2005/06
Jared Reiner,"$242,612",2005/06
Josh Davis,"$193,003",2005/06
Dion Glover,"$163,085",2005/06
Aaron Miles,"$155,614",2005/06
Sean Banks,"$150,751",2005/06
James Thomas,"$148,698",2005/06
Sharrod Ford,"$116,711",2005/06
Deng Gai,"$92,396",2005/06
Anthony Goldwire,"$74,652",2005/06
Randy Holcomb,"$52,033",2005/06
Stephen Graham,"$48,630",2005/06
Matt Walsh,"$38,904",2005/06
Ben Handlogten,"$35,091",2005/06
John Lucas,"$34,041",2005/06
Kaniel Dickens,"$31,305",2005/06
Alex Scales,"$24,315",2005/06
Melvin Sanders,"$24,315",2005/06
Kevin Garnett,"$21,000,000",2006/07
Shaquille O'Neal,"$20,000,000",2006/07
Michael Finley,"$19,030,999",2006/07
Chris Webber,"$18,261,024",2006/07
Jason Kidd,"$18,084,000",2006/07
Jermaine O'Neal,"$18,084,000",2006/07
Kobe Bryant,"$17,718,750",2006/07
Tim Duncan,"$17,429,672",2006/07
Allen Iverson,"$17,184,375",2006/07
Stephon Marbury,"$17,184,375",2006/07
Tracy McGrady,"$16,901,500",2006/07
Grant Hill,"$16,901,500",2006/07
Brian Grant,"$16,786,950",2006/07
Jalen Rose,"$16,141,500",2006/07
Ben Wallace,"$16,000,000",2006/07
Eddie Jones,"$15,395,472",2006/07
Paul Pierce,"$15,101,625",2006/07
Vince Carter,"$15,101,625",2006/07
Dirk Nowitzki,"$15,101,625",2006/07
Antawn Jamison,"$15,101,625",2006/07
Baron Davis,"$15,070,000",2006/07
Steve Francis,"$15,070,000",2006/07
Shawn Marion,"$15,070,000",2006/07
Ray Allen,"$14,611,570",2006/07
Elton Brand,"$14,248,000",2006/07
Larry Hughes,"$13,363,012",2006/07
Michael Redd,"$13,260,000",2006/07
Joe Johnson,"$12,744,189",2006/07
Mike Bibby,"$12,500,000",2006/07
Yao Ming,"$12,455,000",2006/07
Amare Stoudemire,"$12,455,000",2006/07
Pau Gasol,"$12,364,000",2006/07
Andrei Kirilenko,"$12,364,000",2006/07
Lamar Odom,"$12,348,596",2006/07
Kenyon Martin,"$12,068,182",2006/07
Zach Randolph,"$12,000,000",2006/07
Wally Szczerbiak,"$11,775,000",2006/07
Theo Ratliff,"$11,666,666",2006/07
Rasheed Wallace,"$11,650,000",2006/07
Raef LaFrentz,"$11,532,037",2006/07
Carlos Boozer,"$11,260,483",2006/07
Richard Jefferson,"$11,200,000",2006/07
Gilbert Arenas,"$11,096,800",2006/07
Derek Anderson,"$11,043,897",2006/07
Predrag Stojakovic,"$10,800,000",2006/07
Steve Nash,"$10,500,000",2006/07
Jason Richardson,"$9,999,999",2006/07
Erick Dampier,"$9,628,000",2006/07
Brad Miller,"$9,625,000",2006/07
Samuel Dalembert,"$9,464,307",2006/07
Tony Parker,"$9,450,000",2006/07
Zydrunas Ilgauskas,"$9,442,697",2006/07
Rashard Lewis,"$9,350,649",2006/07
Jerry Stackhouse,"$9,296,874",2006/07
Richard Hamilton,"$9,187,500",2006/07
Tyson Chandler,"$9,150,000",2006/07
Marcus Camby,"$8,800,000",2006/07
Andre Miller,"$8,733,333",2006/07
Bobby Simmons,"$8,640,000",2006/07
Maurice Taylor,"$8,565,918",2006/07
PJ Brown,"$8,560,000",2006/07
Jamaal Magloire,"$8,433,334",2006/07
Kwame Brown,"$8,287,500",2006/07
Troy Murphy,"$8,285,714",2006/07
Manu Ginobili,"$8,254,375",2006/07
Jason Williams,"$8,250,000",2006/07
Mehmet Okur,"$8,250,000",2006/07
Eddy Curry,"$8,171,103",2006/07
Adonal Foyle,"$8,125,000",2006/07
Cuttino Mobley,"$8,125,000",2006/07
Jason Terry,"$8,100,000",2006/07
Aaron McKie,"$8,070,874",2006/07
Desmond Mason,"$8,037,037",2006/07
Nenê,"$8,000,000",2006/07
Tayshaun Prince,"$7,851,240",2006/07
Kurt Thomas,"$7,821,482",2006/07
Darius Miles,"$7,750,000",2006/07
Calvin Booth,"$7,628,858",2006/07
Al Harrington,"$7,625,000",2006/07
Mike Miller,"$7,623,813",2006/07
Antoine Walker,"$7,606,820",2006/07
Metta World Peace,"$7,526,316",2006/07
Quentin Richardson,"$7,525,500",2006/07
Malik Rose,"$7,525,397",2006/07
Mike Dunleavy,"$7,438,016",2006/07
Caron Butler,"$7,438,000",2006/07
Austin Croshere,"$7,300,000",2006/07
Mark Blount,"$7,288,165",2006/07
Radoslav Nesterovic,"$7,280,000",2006/07
Shandon Anderson,"$7,244,726",2006/07
Jamal Crawford,"$7,200,000",2006/07
Kenny Thomas,"$7,187,500",2006/07
Jerome Williams,"$7,014,400",2006/07
Corey Maggette,"$7,000,000",2006/07
Speedy Claxton,"$6,854,546",2006/07
Sam Cassell,"$6,850,000",2006/07
Ruben Patterson,"$6,807,000",2006/07
Joe Smith,"$6,807,000",2006/07
Alonzo Mourning,"$6,725,433",2006/07
Drew Gooden,"$6,645,402",2006/07
Danny Fortson,"$6,596,990",2006/07
Corliss Williamson,"$6,500,000",2006/07
Matt Harpring,"$6,500,000",2006/07
Juwan Howard,"$6,392,100",2006/07
James Posey,"$6,392,100",2006/07
Chauncey Billups,"$6,364,400",2006/07
Ricky Davis,"$6,364,400",2006/07
Chris Wilcox,"$6,250,000",2006/07
Stephen Jackson,"$6,120,000",2006/07
Eric Snow,"$6,093,750",2006/07
Antonio McDyess,"$5,883,600",2006/07
Marquis Daniels,"$5,883,600",2006/07
Hidayet Turkoglu,"$5,883,600",2006/07
Derek Fisher,"$5,883,600",2006/07
Etan Thomas,"$5,883,600",2006/07
Jamaal Tinsley,"$5,850,000",2006/07
LeBron James,"$5,828,090",2006/07
Jason Collins,"$5,800,000",2006/07
Tony Battie,"$5,746,000",2006/07
Donyell Marshall,"$5,633,037",2006/07
Troy Hudson,"$5,603,000",2006/07
Gerald Wallace,"$5,525,000",2006/07
Udonis Haslem,"$5,525,000",2006/07
Marko Jaric,"$5,525,000",2006/07
Jeff Foster,"$5,500,000",2006/07
Brian Cardinal,"$5,400,000",2006/07
Stromile Swift,"$5,400,000",2006/07
Brian Skinner,"$5,400,000",2006/07
Jerome James,"$5,400,000",2006/07
Earl Watson,"$5,400,000",2006/07
Shareef Abdur-Rahim,"$5,400,000",2006/07
Antonio Daniels,"$5,400,000",2006/07
Shane Battier,"$5,393,300",2006/07
Vin Baker,"$5,329,555",2006/07
Bobby Jackson,"$5,259,000",2006/07
Dan Gadzuric,"$5,252,065",2006/07
Darko Milicic,"$5,218,622",2006/07
Nazr Mohammed,"$5,215,000",2006/07
Tim Thomas,"$5,215,000",2006/07
Vladimir Radmanovic,"$5,215,000",2006/07
Mike James,"$5,215,000",2006/07
Jared Jeffries,"$5,215,000",2006/07
Joel Przybilla,"$5,215,000",2006/07
Greg Buckner,"$5,182,074",2006/07
Brent Barry,"$5,117,880",2006/07
Marc Jackson,"$4,875,000",2006/07
Dwight Howard,"$4,806,720",2006/07
Shawn Bradley,"$4,800,000",2006/07
Carmelo Anthony,"$4,694,041",2006/07
Andrew Bogut,"$4,665,960",2006/07
Alvin Williams,"$4,587,508",2006/07
Eduardo Najera,"$4,571,428",2006/07
Morris Peterson,"$4,550,000",2006/07
Andrea Bargnani,"$4,501,200",2006/07
Raja Bell,"$4,500,000",2006/07
