,season,Number of Games,player,team,height,weight,games_played,games missed,percentage of games missed,minutes_per_game
1623,02-03,82,Tim Duncan,SAS,6-11,250,81,1,1.2,39.3
1624,03-04,82,Tim Duncan,SAS,6-11,250,69,13,15.9,36.6
1625,04-05,82,Tim Duncan,SAS,6-11,250,66,16,19.5,33.4
1626,05-06,82,Tim Duncan,SAS,6-11,250,80,2,2.4,34.8
1627,06-07,82,Tim Duncan,SAS,6-11,250,80,2,2.4,34.1
1628,07-08,82,Tim Duncan,SAS,6-11,250,78,4,4.9,34.0
1629,08-09,82,Tim Duncan,SAS,6-11,250,75,7,8.5,33.6
1630,09-10,82,Tim Duncan,SAS,6-11,250,78,4,4.9,31.3
1631,10-11,82,Tim Duncan,SAS,6-11,250,76,6,7.3,28.4
1632,11-12,66,Tim Duncan,SAS,6-11,250,58,8,12.1,28.2
1633,12-13,82,Tim Duncan,SAS,6-11,250,69,13,15.9,30.1
1634,13-14,82,Tim Duncan,SAS,6-11,250,74,8,9.8,29.2
1635,14-15,82,Tim Duncan,SAS,6-11,250,77,5,6.1,28.9
1636,15-16,82,Tim Duncan,SAS,6-11,250,61,21,25.6,25.2
1637,98-99,50,Tim Hardaway,MIA,6-0,175,48,2,4.0,36.9
1638,98-99,50,Tim Hardaway,MIA,6-6,205,48,2,4.0,36.9
1639,99-00,82,Tim Hardaway,MIA,6-0,175,52,30,36.6,32.2
1640,99-00,82,Tim Hardaway,MIA,6-6,205,52,30,36.6,32.2
1641,00-01,82,Tim Hardaway,MIA,6-0,175,77,5,6.1,33.9
1642,00-01,82,Tim Hardaway,MIA,6-6,205,77,5,6.1,33.9
1643,01-02,82,Tim Hardaway,DEN,6-0,175,68,14,17.1,23.5
1644,01-02,82,Tim Hardaway,DEN,6-6,205,68,14,17.1,23.5
1645,98-99,50,Tim Legler,WAS,6-4,180,30,20,40.0,12.6
1646,98-99,50,Tim Thomas,MIL,6-10,230,50,0,0.0,16.2
1647,99-00,82,Tim Thomas,MIL,6-10,230,80,2,2.4,26.2
1648,00-01,82,Tim Thomas,MIL,6-10,230,76,6,7.3,27.4
1649,01-02,82,Tim Thomas,MIL,6-10,230,74,8,9.8,26.9
1650,02-03,82,Tim Thomas,MIL,6-10,230,80,2,2.4,29.5
1651,03-04,82,Tim Thomas,NYK,6-10,230,66,16,19.5,31.7
1652,04-05,82,Tim Thomas,NYK,6-10,230,71,11,13.4,27.3
1653,05-06,82,Tim Thomas,PHX,6-10,230,29,53,64.6,22.9
1654,06-07,82,Tim Thomas,LAC,6-10,230,76,6,7.3,27.0
1655,07-08,82,Tim Thomas,LAC,6-10,230,63,19,23.2,30.8
1656,08-09,82,Tim Thomas,CHI,6-10,230,64,18,22.0,19.5
1657,98-99,50,Todd Fuller,UTA,6-11,255,42,8,16.0,11.0
1658,98-99,50,Tom Gugliotta,PHX,6-10,240,43,7,14.0,36.3
1659,99-00,82,Tom Gugliotta,PHX,6-10,240,54,28,34.1,32.7
1660,00-01,82,Tom Gugliotta,PHX,6-10,240,57,25,30.5,20.3
1661,01-02,82,Tom Gugliotta,PHX,6-10,240,44,38,46.3,25.7
1662,03-04,82,Tom Gugliotta,UTA,6-10,240,55,27,32.9,14.9
1663,04-05,82,Tom Gugliotta,ATL,6-10,240,47,35,42.7,20.6
1664,98-99,50,Tom Hammonds,MIN,6-9,215,49,1,2.0,14.6
1665,98-99,50,Toni Kukoc,CHI,7-0,230,44,6,12.0,37.6
1666,99-00,82,Toni Kukoc,PHI,7-0,230,56,26,31.7,31.9
1667,00-01,82,Toni Kukoc,ATL,7-0,230,65,17,20.7,24.6
1668,01-02,82,Toni Kukoc,ATL,7-0,230,59,23,28.0,25.3
1669,02-03,82,Toni Kukoc,MIL,7-0,230,63,19,23.2,27.0
1670,03-04,82,Toni Kukoc,MIL,7-0,230,73,9,11.0,20.8
1671,04-05,82,Toni Kukoc,MIL,7-0,230,53,29,35.4,20.7
1672,05-06,82,Toni Kukoc,MIL,7-0,230,65,17,20.7,15.7
1673,98-99,50,Tony Battie,BOS,6-11,230,50,0,0.0,22.4
1674,99-00,82,Tony Battie,BOS,6-11,230,82,0,0.0,18.4
1675,00-01,82,Tony Battie,BOS,6-11,230,40,42,51.2,21.1
1676,01-02,82,Tony Battie,BOS,6-11,230,74,8,9.8,24.6
1677,02-03,82,Tony Battie,BOS,6-11,230,67,15,18.3,25.1
1678,03-04,82,Tony Battie,CLE,6-11,230,73,9,11.0,20.2
1679,04-05,82,Tony Battie,ORL,6-11,230,81,1,1.2,23.4
1680,05-06,82,Tony Battie,ORL,6-11,230,82,0,0.0,27.0
1681,06-07,82,Tony Battie,ORL,6-11,230,66,16,19.5,23.9
1682,08-09,82,Tony Battie,ORL,6-11,230,77,5,6.1,15.6
1683,98-99,50,Tony Delk,GSW,6-1,189,36,14,28.0,17.5
1684,99-00,82,Tony Delk,SAC,6-1,189,46,36,43.9,14.8
1685,00-01,82,Tony Delk,PHX,6-1,189,82,0,0.0,27.9
1686,01-02,82,Tony Delk,BOS,6-1,189,63,19,23.2,23.0
1687,02-03,82,Tony Delk,BOS,6-1,189,67,15,18.3,28.0
1688,03-04,82,Tony Delk,DAL,6-1,189,33,49,59.8,15.4
1689,04-05,82,Tony Delk,ATL,6-1,189,56,26,31.7,23.9
1690,05-06,82,Tony Delk,DET,6-1,189,24,58,70.7,16.0
1691,98-99,50,Tony Massenburg,VAN,6-9,220,43,7,14.0,26.6
1692,00-01,82,Tony Massenburg,VAN,6-9,220,52,30,36.6,15.8
1693,01-02,82,Tony Massenburg,MEM,6-9,220,73,9,11.0,17.0
1694,02-03,82,Tony Massenburg,UTA,6-9,220,58,24,29.3,13.7
1695,03-04,82,Tony Massenburg,SAC,6-9,220,59,23,28.0,13.4
1696,04-05,82,Tony Massenburg,SAS,6-9,220,61,21,25.6,11.5
1697,98-99,50,Tracy McGrady,TOR,6-8,210,49,1,2.0,22.6
1698,99-00,82,Tracy McGrady,TOR,6-8,210,79,3,3.7,31.2
1699,00-01,82,Tracy McGrady,ORL,6-8,210,77,5,6.1,40.1
1700,01-02,82,Tracy McGrady,ORL,6-8,210,76,6,7.3,38.3
1701,02-03,82,Tracy McGrady,ORL,6-8,210,75,7,8.5,39.4
1702,03-04,82,Tracy McGrady,ORL,6-8,210,67,15,18.3,39.9
1703,04-05,82,Tracy McGrady,HOU,6-8,210,78,4,4.9,40.8
1704,05-06,82,Tracy McGrady,HOU,6-8,210,47,35,42.7,37.1
1705,06-07,82,Tracy McGrady,HOU,6-8,210,71,11,13.4,35.8
1706,07-08,82,Tracy McGrady,HOU,6-8,210,66,16,19.5,37.0
1707,08-09,82,Tracy McGrady,HOU,6-8,210,35,47,57.3,33.8
1708,09-10,82,Tracy McGrady,NYK,6-8,210,30,52,63.4,22.4
1709,10-11,82,Tracy McGrady,DET,6-8,210,72,10,12.2,23.4
1710,11-12,66,Tracy McGrady,ATL,6-8,210,52,14,21.2,16.1
1711,98-99,50,Tracy Murray,WAS,6-7,225,36,14,28.0,18.1
1712,99-00,82,Tracy Murray,WAS,6-7,225,80,2,2.4,22.9
1713,00-01,82,Tracy Murray,TOR,6-7,225,51,31,37.8,11.5
1714,98-99,50,Travis Best,IND,5-11,182,49,1,2.0,21.3
1715,99-00,82,Travis Best,IND,5-11,182,82,0,0.0,20.6
1716,00-01,82,Travis Best,IND,5-11,182,77,5,6.1,31.9
1717,01-02,82,Travis Best,CHI,5-11,182,74,8,9.8,23.6
1718,02-03,82,Travis Best,MIA,5-11,182,72,10,12.2,25.1
1719,03-04,82,Travis Best,DAL,5-11,182,61,21,25.6,12.5
1720,04-05,82,Travis Best,NJN,5-11,182,76,6,7.3,19.2
1721,98-99,50,Travis Knight,LAL,6-7,215,37,13,26.0,14.2
1723,98-99,50,Troy Hudson,LAC,6-1,170,25,25,50.0,21.0
1724,99-00,82,Troy Hudson,LAC,6-1,170,62,20,24.4,25.7
1725,00-01,82,Troy Hudson,ORL,6-1,170,75,7,8.5,13.4
1726,01-02,82,Troy Hudson,ORL,6-1,170,81,1,1.2,22.9
1727,02-03,82,Troy Hudson,MIN,6-1,170,79,3,3.7,32.9
1728,03-04,82,Troy Hudson,MIN,6-1,170,29,53,64.6,17.3
1729,04-05,82,Troy Hudson,MIN,6-1,170,79,3,3.7,21.9
1730,05-06,82,Troy Hudson,MIN,6-1,170,36,46,56.1,22.2
1731,06-07,82,Troy Hudson,MIN,6-1,170,34,48,58.5,16.3
1732,98-99,50,Tyrone Corbin,ATL,6-6,210,47,3,6.0,22.7
1733,99-00,82,Tyrone Corbin,SAC,6-6,210,54,28,34.1,17.4
1734,98-99,50,Tyrone Hill,PHI,6-9,240,38,12,24.0,29.1
1735,99-00,82,Tyrone Hill,PHI,6-9,240,68,14,17.1,31.7
1736,00-01,82,Tyrone Hill,PHI,6-9,240,76,6,7.3,31.1
1737,01-02,82,Tyrone Hill,CLE,6-9,240,26,56,68.3,31.2
1738,02-03,82,Tyrone Hill,PHI,6-9,240,56,26,31.7,24.1
1739,98-99,50,Tyrone Nesby,LAC,6-6,225,50,0,0.0,25.8
1740,99-00,82,Tyrone Nesby,LAC,6-6,225,73,9,11.0,31.7
1741,00-01,82,Tyrone Nesby,WAS,6-6,225,62,20,24.4,25.1
1742,01-02,82,Tyrone Nesby,WAS,6-6,225,70,12,14.6,21.3
1743,98-99,50,Vernon Maxwell,SAC,6-4,180,46,4,8.0,21.9
1744,99-00,82,Vernon Maxwell,SEA,6-4,180,47,35,42.7,21.0
1745,00-01,82,Vernon Maxwell,DAL,6-4,180,43,39,47.6,15.3
1746,98-99,50,Vin Baker,SEA,6-11,232,34,16,32.0,34.2
1747,99-00,82,Vin Baker,SEA,6-11,232,79,3,3.7,36.1
1748,00-01,82,Vin Baker,SEA,6-11,232,76,6,7.3,28.0
1749,01-02,82,Vin Baker,SEA,6-11,232,55,27,32.9,31.1
1750,02-03,82,Vin Baker,BOS,6-11,232,52,30,36.6,18.1
1751,03-04,82,Vin Baker,NYK,6-11,232,54,28,34.1,24.3
1752,98-99,50,Vince Carter,TOR,6-6,220,50,0,0.0,35.2
1753,99-00,82,Vince Carter,TOR,6-6,220,82,0,0.0,38.1
1754,00-01,82,Vince Carter,TOR,6-6,220,75,7,8.5,39.7
1755,01-02,82,Vince Carter,TOR,6-6,220,60,22,26.8,39.8
1756,02-03,82,Vince Carter,TOR,6-6,220,43,39,47.6,34.2
1757,03-04,82,Vince Carter,TOR,6-6,220,73,9,11.0,38.2
1758,04-05,82,Vince Carter,NJN,6-6,220,77,5,6.1,36.7
1759,05-06,82,Vince Carter,NJN,6-6,220,79,3,3.7,36.8
1760,06-07,82,Vince Carter,NJN,6-6,220,82,0,0.0,38.1
1761,07-08,82,Vince Carter,NJN,6-6,220,76,6,7.3,38.9
1762,08-09,82,Vince Carter,NJN,6-6,220,80,2,2.4,36.8
1763,09-10,82,Vince Carter,ORL,6-6,220,75,7,8.5,30.8
1764,10-11,82,Vince Carter,PHX,6-6,220,73,9,11.0,28.1
1765,11-12,66,Vince Carter,DAL,6-6,220,61,5,7.6,25.3
1766,12-13,82,Vince Carter,DAL,6-6,220,81,1,1.2,25.8
1767,13-14,82,Vince Carter,DAL,6-6,220,81,1,1.2,24.4
1768,14-15,82,Vince Carter,MEM,6-6,220,66,16,19.5,16.5
1769,15-16,82,Vince Carter,MEM,6-6,220,60,22,26.8,16.8
1770,16-17,82,Vince Carter,MEM,6-6,220,73,9,11.0,24.7
1771,17-18,82,Vince Carter,SAC,6-6,220,58,24,29.3,17.7
1772,98-99,50,Vinny Del Negro,MIL,6-4,185,48,2,4.0,22.8
1773,99-00,82,Vinny Del Negro,MIL,6-4,185,67,15,18.3,18.1
1774,00-01,82,Vinny Del Negro,PHX,6-4,185,65,17,20.7,14.2
1775,98-99,50,Vitaly Potapenko,BOS,6-10,280,50,0,0.0,27.9
1776,99-00,82,Vitaly Potapenko,BOS,6-10,280,79,3,3.7,22.7
1777,00-01,82,Vitaly Potapenko,BOS,6-10,280,82,0,0.0,23.2
1778,01-02,82,Vitaly Potapenko,BOS,6-10,280,79,3,3.7,17.0
1779,03-04,82,Vitaly Potapenko,SEA,6-10,280,65,17,20.7,21.8
1780,98-99,50,Vlade Divac,SAC,7-1,243,50,0,0.0,35.2
1781,99-00,82,Vlade Divac,SAC,7-1,243,82,0,0.0,29.0
1782,00-01,82,Vlade Divac,SAC,7-1,243,81,1,1.2,29.9
1783,01-02,82,Vlade Divac,SAC,7-1,243,80,2,2.4,30.2
1784,02-03,82,Vlade Divac,SAC,7-1,243,80,2,2.4,29.8
1785,03-04,82,Vlade Divac,SAC,7-1,243,81,1,1.2,28.6
1786,98-99,50,Vladimir Stepania,SEA,7-0,236,23,27,54.0,13.6
1787,01-02,82,Vladimir Stepania,MIA,7-0,236,67,15,18.3,13.2
1788,02-03,82,Vladimir Stepania,MIA,7-0,236,79,3,3.7,20.2
1789,98-99,50,Walt Williams,POR,6-8,195,48,2,4.0,21.8
1790,99-00,82,Walt Williams,HOU,6-8,195,76,6,7.3,24.5
1791,00-01,82,Walt Williams,HOU,6-8,195,72,10,12.2,22.0
1792,01-02,82,Walt Williams,HOU,6-8,195,48,34,41.5,23.3
1793,02-03,82,Walt Williams,DAL,6-8,195,66,16,19.5,17.6
1794,98-99,50,Walter McCarty,BOS,6-10,230,32,18,36.0,20.6
1795,99-00,82,Walter McCarty,BOS,6-10,230,61,21,25.6,14.4
1796,01-02,82,Walter McCarty,BOS,6-10,230,56,26,31.7,12.8
1797,02-03,82,Walter McCarty,BOS,6-10,230,82,0,0.0,23.8
1798,03-04,82,Walter McCarty,BOS,6-10,230,77,5,6.1,24.7
1799,04-05,82,Walter McCarty,PHX,6-10,230,72,10,12.2,12.6
1800,98-99,50,Wesley Person,CLE,6-6,195,45,5,10.0,29.8
1801,99-00,82,Wesley Person,CLE,6-6,195,79,3,3.7,26.0
1802,00-01,82,Wesley Person,CLE,6-6,195,44,38,46.3,21.8
1803,01-02,82,Wesley Person,CLE,6-6,195,78,4,4.9,35.8
1804,02-03,82,Wesley Person,MEM,6-6,195,66,16,19.5,29.4
1805,03-04,82,Wesley Person,ATL,6-6,195,58,24,29.3,17.9
1806,04-05,82,Wesley Person,DEN,6-6,195,41,41,50.0,16.3
1807,98-99,50,Will Perdue,SAS,7-0,240,37,13,26.0,12.0
1808,99-00,82,Will Perdue,CHI,7-0,240,67,15,18.3,15.1
1809,99-00,82,Adrian Griffin,BOS,6-5,217,72,10,12.2,26.8
1810,01-02,82,Adrian Griffin,DAL,6-5,217,58,24,29.3,23.8
1811,02-03,82,Adrian Griffin,DAL,6-5,217,74,8,9.8,18.6
1812,04-05,82,Adrian Griffin,CHI,6-5,217,69,13,15.9,9.7
1813,05-06,82,Adrian Griffin,DAL,6-5,217,52,30,36.6,24.0
1814,06-07,82,Adrian Griffin,CHI,6-5,217,54,28,34.1,10.8
1815,99-00,82,Al Harrington,IND,6-9,230,50,32,39.0,17.1
1816,00-01,82,Al Harrington,IND,6-9,230,78,4,4.9,24.3
1817,01-02,82,Al Harrington,IND,6-9,230,44,38,46.3,29.8
1818,02-03,82,Al Harrington,IND,6-9,230,82,0,0.0,30.1
1819,03-04,82,Al Harrington,IND,6-9,230,79,3,3.7,30.9
1820,04-05,82,Al Harrington,ATL,6-9,230,66,16,19.5,38.6
1821,05-06,82,Al Harrington,ATL,6-9,230,76,6,7.3,36.6
1822,06-07,82,Al Harrington,GSW,6-9,230,78,4,4.9,32.9
1823,07-08,82,Al Harrington,GSW,6-9,230,81,1,1.2,27.0
1824,08-09,82,Al Harrington,NYK,6-9,230,73,9,11.0,34.9
1825,09-10,82,Al Harrington,NYK,6-9,230,72,10,12.2,30.5
1826,10-11,82,Al Harrington,DEN,6-9,230,73,9,11.0,22.8
1827,11-12,66,Al Harrington,DEN,6-9,230,64,2,3.0,27.5
1828,13-14,82,Al Harrington,WAS,6-9,230,34,48,58.5,15.0
1829,99-00,82,Andre Miller,CLE,6-3,200,82,0,0.0,25.6
1830,00-01,82,Andre Miller,CLE,6-3,200,82,0,0.0,34.7
1831,01-02,82,Andre Miller,CLE,6-3,200,81,1,1.2,37.3
1832,02-03,82,Andre Miller,LAC,6-3,200,80,2,2.4,36.4
1833,03-04,82,Andre Miller,DEN,6-3,200,82,0,0.0,34.6
1834,04-05,82,Andre Miller,DEN,6-3,200,82,0,0.0,34.8
1835,05-06,82,Andre Miller,DEN,6-3,200,82,0,0.0,35.8
1836,06-07,82,Andre Miller,PHI,6-3,200,80,2,2.4,37.1
1837,07-08,82,Andre Miller,PHI,6-3,200,82,0,0.0,36.8
1838,08-09,82,Andre Miller,PHI,6-3,200,82,0,0.0,36.3
1839,09-10,82,Andre Miller,POR,6-3,200,82,0,0.0,30.5
1840,10-11,82,Andre Miller,POR,6-3,200,81,1,1.2,32.7
1841,11-12,66,Andre Miller,DEN,6-3,200,66,0,0.0,27.4
1842,12-13,82,Andre Miller,DEN,6-3,200,82,0,0.0,26.2
1843,13-14,82,Andre Miller,WAS,6-3,200,58,24,29.3,16.9
1844,14-15,82,Andre Miller,SAC,6-3,200,81,1,1.2,15.5
1845,99-00,82,Anthony Carter,MIA,6-1,190,79,3,3.7,23.5
1846,00-01,82,Anthony Carter,MIA,6-1,190,72,10,12.2,22.6
1847,01-02,82,Anthony Carter,MIA,6-1,190,46,36,43.9,22.8
1848,02-03,82,Anthony Carter,MIA,6-1,190,49,33,40.2,18.6
1849,04-05,82,Anthony Carter,MIN,6-1,190,66,16,19.5,11.2
1850,05-06,82,Anthony Carter,MIN,6-1,190,45,37,45.1,13.1
1851,07-08,82,Anthony Carter,DEN,6-1,190,70,12,14.6,28.0
1852,08-09,82,Anthony Carter,DEN,6-1,190,78,4,4.9,22.9
1853,09-10,82,Anthony Carter,DEN,6-1,190,54,28,34.1,15.9
1854,10-11,82,Anthony Carter,NYK,6-1,190,33,49,59.8,14.0
1855,99-00,82,Anthony Mason,CHA,6-7,250,82,0,0.0,38.2
1856,00-01,82,Anthony Mason,MIA,6-7,250,80,2,2.4,40.7
1857,01-02,82,Anthony Mason,MIL,6-7,250,82,0,0.0,38.3
1858,02-03,82,Anthony Mason,MIL,6-7,250,65,17,20.7,32.6
1859,99-00,82,Austin Croshere,IND,6-9,235,81,1,1.2,23.3
1860,00-01,82,Austin Croshere,IND,6-9,235,81,1,1.2,23.1
1861,01-02,82,Austin Croshere,IND,6-9,235,76,6,7.3,16.9
1862,02-03,82,Austin Croshere,IND,6-9,235,49,33,40.2,12.9
1863,03-04,82,Austin Croshere,IND,6-9,235,77,5,6.1,13.6
1864,04-05,82,Austin Croshere,IND,6-9,235,73,9,11.0,25.0
1865,05-06,82,Austin Croshere,IND,6-9,235,50,32,39.0,23.0
1866,06-07,82,Austin Croshere,DAL,6-9,235,61,21,25.6,11.9
1867,99-00,82,Baron Davis,CHA,6-3,209,82,0,0.0,18.6
1868,00-01,82,Baron Davis,CHA,6-3,209,82,0,0.0,38.9
1869,01-02,82,Baron Davis,CHA,6-3,209,82,0,0.0,40.5
1870,02-03,82,Baron Davis,NOP,6-3,209,50,32,39.0,37.8
1871,03-04,82,Baron Davis,NOP,6-3,209,67,15,18.3,40.1
1872,04-05,82,Baron Davis,GSW,6-3,209,46,36,43.9,34.4
1873,05-06,82,Baron Davis,GSW,6-3,209,54,28,34.1,36.5
1874,06-07,82,Baron Davis,GSW,6-3,209,63,19,23.2,35.3
1875,07-08,82,Baron Davis,GSW,6-3,209,82,0,0.0,39.0
1876,08-09,82,Baron Davis,LAC,6-3,209,65,17,20.7,34.6
1877,09-10,82,Baron Davis,LAC,6-3,209,75,7,8.5,33.6
1878,10-11,82,Baron Davis,CLE,6-3,209,58,24,29.3,28.4
1879,11-12,66,Baron Davis,NYK,6-3,209,29,37,56.1,20.5
1880,99-00,82,Bonzi Wells,POR,6-5,210,66,16,19.5,17.8
1881,00-01,82,Bonzi Wells,POR,6-5,210,75,7,8.5,26.6
1882,01-02,82,Bonzi Wells,POR,6-5,210,74,8,9.8,31.7
1883,02-03,82,Bonzi Wells,POR,6-5,210,75,7,8.5,32.0
1884,03-04,82,Bonzi Wells,MEM,6-5,210,72,10,12.2,26.0
1885,04-05,82,Bonzi Wells,MEM,6-5,210,69,13,15.9,21.6
1886,05-06,82,Bonzi Wells,SAC,6-5,210,52,30,36.6,32.4
1887,06-07,82,Bonzi Wells,HOU,6-5,210,28,54,65.9,21.1
1888,07-08,82,Bonzi Wells,NOP,6-5,210,73,9,11.0,21.4
1889,99-00,82,Brian Shaw,LAL,6-6,190,74,8,9.8,16.9
1890,00-01,82,Brian Shaw,LAL,6-6,190,80,2,2.4,22.9
1891,01-02,82,Brian Shaw,LAL,6-6,190,58,24,29.3,10.9
1892,02-03,82,Brian Shaw,LAL,6-6,190,71,11,13.4,12.7
1893,99-00,82,Brian Skinner,LAC,6-9,255,33,49,59.8,23.5
1894,00-01,82,Brian Skinner,LAC,6-9,255,39,43,52.4,15.0
1895,01-02,82,Brian Skinner,CLE,6-9,255,65,17,20.7,17.0
1896,02-03,82,Brian Skinner,PHI,6-9,255,77,5,6.1,17.9
1897,03-04,82,Brian Skinner,MIL,6-9,255,56,26,31.7,28.2
1898,04-05,82,Brian Skinner,SAC,6-9,255,49,33,40.2,19.2
1899,05-06,82,Brian Skinner,POR,6-9,255,65,17,20.7,14.5
1900,06-07,82,Brian Skinner,MIL,6-9,255,67,15,18.3,22.7
1901,07-08,82,Brian Skinner,PHX,6-9,255,66,16,19.5,12.8
1902,08-09,82,Brian Skinner,LAC,6-9,255,51,31,37.8,16.5
1903,99-00,82,Carlos Rogers,HOU,6-11,220,53,29,35.4,20.8
1904,00-01,82,Carlos Rogers,HOU,6-11,220,39,43,52.4,13.9
1905,99-00,82,Chris Herren,DEN,6-2,197,45,37,45.1,13.3
1906,99-00,82,Chucky Atkins,ORL,5-11,160,82,0,0.0,19.8
1907,00-01,82,Chucky Atkins,DET,5-11,160,81,1,1.2,29.2
1908,01-02,82,Chucky Atkins,DET,5-11,160,79,3,3.7,28.9
1909,02-03,82,Chucky Atkins,DET,5-11,160,65,17,20.7,21.5
1910,03-04,82,Chucky Atkins,BOS,5-11,160,64,18,22.0,24.1
1911,04-05,82,Chucky Atkins,LAL,5-11,160,82,0,0.0,35.4
1912,05-06,82,Chucky Atkins,MEM,5-11,160,71,11,13.4,24.1
1913,06-07,82,Chucky Atkins,MEM,5-11,160,75,7,8.5,27.5
1914,09-10,82,Chucky Atkins,DET,5-11,160,40,42,51.2,16.1
1915,99-00,82,Corey Maggette,ORL,6-6,218,77,5,6.1,17.8
1916,00-01,82,Corey Maggette,LAC,6-6,218,69,13,15.9,19.7
1917,01-02,82,Corey Maggette,LAC,6-6,218,63,19,23.2,25.6
1918,02-03,82,Corey Maggette,LAC,6-6,218,64,18,22.0,31.3
1919,03-04,82,Corey Maggette,LAC,6-6,218,73,9,11.0,36.0
1920,04-05,82,Corey Maggette,LAC,6-6,218,66,16,19.5,36.9
1921,05-06,82,Corey Maggette,LAC,6-6,218,32,50,61.0,29.5
1922,06-07,82,Corey Maggette,LAC,6-6,218,75,7,8.5,30.5
1923,07-08,82,Corey Maggette,LAC,6-6,218,70,12,14.6,35.7
1924,08-09,82,Corey Maggette,GSW,6-6,218,51,31,37.8,31.1
1925,09-10,82,Corey Maggette,GSW,6-6,218,70,12,14.6,29.7
1926,10-11,82,Corey Maggette,MIL,6-6,218,67,15,18.3,20.9
1927,11-12,66,Corey Maggette,CHA,6-6,218,32,34,51.5,27.5
1928,99-00,82,Darvin Ham,MIL,6-7,220,35,47,57.3,22.6
1929,00-01,82,Darvin Ham,MIL,6-7,220,29,53,64.6,18.6
1930,01-02,82,Darvin Ham,MIL,6-7,220,70,12,14.6,17.3
1931,02-03,82,Darvin Ham,ATL,6-7,220,75,7,8.5,12.3
1932,03-04,82,Darvin Ham,DET,6-7,220,54,28,34.1,9.0
1933,99-00,82,Dedric Willoughby,CHI,6-3,185,25,57,69.5,20.3
1934,99-00,82,Doug West,VAN,6-6,175,38,44,53.7,15.3
1935,99-00,82,Eddie Robinson,CHA,6-8,210,67,15,18.3,16.6
1936,00-01,82,Eddie Robinson,CHA,6-8,210,67,15,18.3,17.9
1937,01-02,82,Eddie Robinson,CHI,6-8,210,29,53,64.6,22.5
1938,02-03,82,Eddie Robinson,CHI,6-8,210,64,18,22.0,21.2
1939,03-04,82,Eddie Robinson,CHI,6-8,210,51,31,37.8,20.1
1940,99-00,82,Elliot Perry,NJN,6-0,150,60,22,26.8,13.4
1941,00-01,82,Elliot Perry,PHX,6-0,150,49,33,40.2,10.2
1942,99-00,82,Elton Brand,CHI,6-8,275,81,1,1.2,37.0
1943,00-01,82,Elton Brand,CHI,6-8,275,74,8,9.8,39.3
1944,01-02,82,Elton Brand,LAC,6-8,275,80,2,2.4,37.8
1945,02-03,82,Elton Brand,LAC,6-8,275,62,20,24.4,39.6
1946,03-04,82,Elton Brand,LAC,6-8,275,69,13,15.9,38.7
1947,04-05,82,Elton Brand,LAC,6-8,275,81,1,1.2,37.0
1948,05-06,82,Elton Brand,LAC,6-8,275,79,3,3.7,39.2
1949,06-07,82,Elton Brand,LAC,6-8,275,80,2,2.4,38.5
1950,08-09,82,Elton Brand,PHI,6-8,275,29,53,64.6,31.7
1951,09-10,82,Elton Brand,PHI,6-8,275,76,6,7.3,30.2
1952,10-11,82,Elton Brand,PHI,6-8,275,81,1,1.2,34.7
1953,11-12,66,Elton Brand,PHI,6-8,275,60,6,9.1,28.9
1954,12-13,82,Elton Brand,DAL,6-8,275,72,10,12.2,21.2
1955,13-14,82,Elton Brand,ATL,6-8,275,73,9,11.0,19.4
1956,14-15,82,Elton Brand,ATL,6-8,275,36,46,56.1,13.5
1957,99-00,82,Emanual Davis,SEA,6-4,195,54,28,34.1,13.0
1958,00-01,82,Emanual Davis,SEA,6-4,195,62,20,24.4,20.8
1959,01-02,82,Emanual Davis,ATL,6-4,195,28,54,65.9,27.6
1960,99-00,82,Fred Hoiberg,CHI,6-4,203,31,51,62.2,27.3
1961,00-01,82,Fred Hoiberg,CHI,6-4,203,74,8,9.8,30.4
1962,01-02,82,Fred Hoiberg,CHI,6-4,203,79,3,3.7,17.8
1963,02-03,82,Fred Hoiberg,CHI,6-4,203,63,19,23.2,12.4
1964,03-04,82,Fred Hoiberg,MIN,6-4,203,79,3,3.7,22.8
1965,04-05,82,Fred Hoiberg,MIN,6-4,203,76,6,7.3,16.7
1966,99-00,82,Gerard King,WAS,6-2,175,62,20,24.4,17.1
1967,00-01,82,Gerard King,WAS,6-2,175,45,37,45.1,15.7
1968,99-00,82,Greg Buckner,DAL,6-4,210,48,34,41.5,19.2
1969,00-01,82,Greg Buckner,DAL,6-4,210,37,45,54.9,22.2
1970,01-02,82,Greg Buckner,DAL,6-4,210,44,38,46.3,20.1
1971,02-03,82,Greg Buckner,PHI,6-4,210,75,7,8.5,20.2
1972,03-04,82,Greg Buckner,PHI,6-4,210,53,29,35.4,13.3
1973,04-05,82,Greg Buckner,DEN,6-4,210,70,12,14.6,21.8
1974,05-06,82,Greg Buckner,DEN,6-4,210,73,9,11.0,24.1
1975,06-07,82,Greg Buckner,DAL,6-4,210,76,6,7.3,18.0
1976,07-08,82,Greg Buckner,MIN,6-4,210,31,51,62.2,16.8
1977,08-09,82,Greg Buckner,MEM,6-4,210,63,19,23.2,13.9
1978,99-00,82,Jacque Vaughn,UTA,6-1,190,78,4,4.9,11.3
1979,00-01,82,Jacque Vaughn,UTA,6-1,190,82,0,0.0,19.8
1980,01-02,82,Jacque Vaughn,ATL,6-1,190,82,0,0.0,22.6
1981,02-03,82,Jacque Vaughn,ORL,6-1,190,80,2,2.4,21.1
